best,average,min,species,neurons,links
490.0,70.55,-160.0,1,22,57
545.0,94.2,-170.0,1,22,57
860.0,159.15,-125.0,1,22,57
545.0,135.15,-190.0,1,22,57
885.0,164.3,-180.0,1,22,57
605.0,172.45,-210.0,1,22,57
740.0,153.55,-145.0,1,22,57
755.0,188.1,-105.0,3,22,57
875.0,205.6,-95.0,8,24,59
775.0,173.45,-120.0,12,23,57
800.0,196.5,-140.0,10,24,60
655.0,200.9,-125.0,11,24,59
850.0,250.7,-135.0,10,24,60
1050.0,232.05,-125.0,11,23,57
1100.0,260.15,-80.0,7,23,57
850.0,291.9,-110.0,6,23,57
1075.0,307.85,-120.0,5,24,60
1175.0,352.1,-115.0,5,25,65
1425.0,491.8,-125.0,5,24,60
1500.0,633.15,-105.0,5,24,60
1650.0,645.85,0.0,5,24,60
1500.0,645.45,-95.0,5,24,60
1625.0,745.8,0.0,6,26,65
1550.0,750.4,0.0,6,24,60
1575.0,658.65,0.0,5,24,60
1550.0,789.8,-15.0,5,26,65
1625.0,810.4,0.0,6,26,65
1600.0,812.95,0.0,5,24,61
1850.0,822.95,-75.0,5,23,57
1800.0,874.35,-10.0,5,23,57
1700.0,872.15,-50.0,5,25,64
1550.0,859.0,0.0,5,26,65
1650.0,837.7,0.0,6,25,63
1975.0,884.9,-120.0,6,23,57
1925.0,976.8,-45.0,6,26,65
1925.0,969.25,0.0,5,23,57
1725.0,988.75,0.0,5,23,57
1975.0,1047.0,0.0,5,26,65
1825.0,1007.0,0.0,6,25,61
1875.0,1032.0,0.0,6,26,66
1900.0,1044.25,0.0,6,23,57
2225.0,1009.25,0.0,6,26,65
2025.0,1011.0,0.0,7,26,66
1950.0,1040.0,0.0,6,26,66
2125.0,1054.25,0.0,6,26,65
2275.0,1220.0,0.0,6,26,65
1975.0,1077.25,0.0,7,26,65
2000.0,1076.0,0.0,8,28,74
1975.0,1175.75,0.0,8,28,75
2150.0,1164.0,0.0,7,26,65
2075.0,1107.75,0.0,7,28,75
2025.0,1166.5,0.0,7,28,75
2000.0,1195.0,125.0,7,27,67
2175.0,1168.25,0.0,8,27,67
2425.0,1122.75,0.0,8,27,67
1900.0,1184.75,0.0,8,26,66
2075.0,1154.75,75.0,9,27,67
2475.0,1144.5,0.0,9,27,67
2200.0,1098.75,0.0,9,27,71
2025.0,1091.25,0.0,10,27,67
2125.0,1114.5,0.0,10,29,70
2250.0,1073.5,0.0,10,27,67
2000.0,1175.4,0.0,10,27,67
2100.0,1222.75,0.0,10,29,69
2175.0,1129.25,50.0,10,27,67
2075.0,1198.25,0.0,11,34,89
