best,average,min,species,neurons,links
1205.0,320.1,-165.0,1,22,57
1475.0,519.15,-210.0,1,22,57
2090.0,715.85,-105.0,1,22,57
2140.0,804.6,-170.0,1,22,56
2210.0,890.65,-210.0,1,22,57
1960.0,971.4,-155.0,1,22,56
2565.0,1087.85,55.0,4,22,57
2830.0,1014.3,-20.0,3,22,57
2790.0,1109.3,-90.0,5,22,57
2660.0,1082.1,-115.0,6,24,57
2540.0,1194.1,-210.0,6,22,57
2410.0,1023.1,5.0,7,22,57
2445.0,922.55,-115.0,9,23,55
2800.0,1037.15,-125.0,11,23,55
2665.0,1031.9,70.0,10,23,55
2985.0,1148.9,-70.0,10,23,55
2505.0,1157.4,-90.0,10,23,55
2585.0,926.1,-210.0,9,23,55
2575.0,1033.05,-30.0,9,26,58
2560.0,1151.8,-50.0,9,26,58
2610.0,1053.95,-140.0,10,26,58
2505.0,1167.1,-95.0,10,23,55
2335.0,1017.0,-135.0,10,23,55
2735.0,1012.8,95.0,9,23,55
2590.0,1011.75,-70.0,9,23,55
2325.0,988.3,-210.0,10,27,65
2480.0,1015.25,-65.0,10,23,56
2145.0,992.85,155.0,10,23,57
2350.0,987.65,-35.0,10,23,57
2715.0,1142.2,-60.0,10,23,57
2510.0,943.05,-210.0,10,23,57
2280.0,1006.6,105.0,10,27,60
2395.0,1101.35,35.0,9,23,57
2460.0,970.7,-50.0,8,27,60
2305.0,998.5,90.0,8,23,57
2510.0,1031.7,-135.0,8,27,60
2425.0,1129.0,-135.0,9,27,60
2635.0,1090.85,-5.0,9,23,58
2260.0,974.5,-85.0,9,23,58
2770.0,1167.45,165.0,9,23,58
2690.0,1057.05,-95.0,9,23,58
2595.0,1245.25,5.0,9,23,58
2860.0,1174.25,-110.0,9,27,60
2720.0,1136.0,-210.0,8,23,59
2810.0,1228.45,70.0,8,23,59
2590.0,1221.1,-210.0,8,23,59
2620.0,1300.15,10.0,8,27,60
2890.0,1238.75,50.0,8,27,60
2695.0,1268.7,315.0,8,27,60
2555.0,1430.25,155.0,8,27,64
2820.0,1243.95,40.0,8,27,64
2910.0,1384.3,135.0,8,23,59
2845.0,1373.8,180.0,8,28,68
2875.0,1347.35,-35.0,8,27,64
2540.0,1449.6,10.0,7,24,57
2770.0,1364.15,10.0,7,27,64
2910.0,1357.75,15.0,7,27,60
2985.0,1396.95,-105.0,7,27,60
2745.0,1352.5,120.0,8,27,64
2610.0,1418.9,320.0,8,27,64
2525.0,1374.8,-45.0,8,27,64
2690.0,1215.45,-210.0,8,27,64
3010.0,1322.8,55.0,8,27,60
