best,average,min,species,neurons,links
890.0,79.0,-420.0,1,22,57
1290.0,292.9,-315.0,1,22,57
1235.0,414.1,-270.0,1,22,57
1475.0,451.7,-220.0,1,22,57
1430.0,431.85,-280.0,1,22,57
1360.0,441.8,-345.0,2,22,57
1340.0,378.8,-230.0,2,23,59
1585.0,523.8,-360.0,3,23,59
1530.0,620.95,-195.0,3,22,57
1925.0,729.15,-220.0,3,22,57
1835.0,702.55,-280.0,3,22,57
2025.0,667.1,-170.0,3,22,57
1865.0,744.35,-190.0,4,22,57
1810.0,720.05,-130.0,4,22,57
2030.0,774.8,-195.0,7,26,64
2005.0,773.75,-160.0,8,22,57
1590.0,708.05,-195.0,8,25,63
1810.0,696.25,-210.0,8,25,63
1800.0,766.65,-245.0,8,26,65
1725.0,712.85,-145.0,8,25,63
1825.0,747.55,-240.0,8,24,62
2075.0,782.0,-255.0,9,25,63
2395.0,827.4,-195.0,9,25,63
2045.0,839.7,25.0,9,25,63
2410.0,875.75,-195.0,9,25,64
2140.0,860.15,-160.0,9,25,64
2465.0,857.95,-215.0,9,25,64
2210.0,835.45,-220.0,8,25,64
2335.0,917.6,-30.0,8,25,64
2165.0,984.45,-150.0,9,25,64
2115.0,848.5,-130.0,9,25,64
2560.0,942.1,-20.0,9,25,64
2550.0,914.3,0.0,10,25,64
2250.0,884.7,-140.0,10,27,72
1970.0,850.95,-85.0,10,25,64
2020.0,1000.15,-155.0,9,26,65
2015.0,1025.6,85.0,9,25,64
2030.0,960.85,-155.0,9,25,64
2430.0,1036.4,-270.0,9,26,64
2495.0,1000.65,-120.0,9,27,72
2475.0,1082.95,25.0,8,25,65
2110.0,1155.75,85.0,8,25,65
2380.0,1149.9,-35.0,7,25,65
2435.0,1219.6,-10.0,7,27,72
2450.0,1068.05,-155.0,7,27,73
2170.0,1097.5,265.0,7,25,64
2385.0,1118.8,110.0,7,25,66
2580.0,1112.1,15.0,7,27,72
2415.0,1128.4,-240.0,7,27,72
2555.0,1212.85,30.0,7,27,72
2185.0,1088.2,-280.0,7,27,73
3080.0,1061.35,-120.0,7,27,72
2835.0,1083.5,-70.0,7,27,72
3150.0,1115.8,-30.0,7,25,64
2190.0,1125.7,165.0,7,27,72
2665.0,1171.2,-40.0,7,25,64
2730.0,1118.7,-15.0,7,27,72
2645.0,1161.75,80.0,7,27,73
2520.0,1133.05,-25.0,7,27,72
2445.0,1173.65,5.0,7,25,64
2770.0,1065.55,20.0,7,27,72
2205.0,1077.75,-230.0,7,25,68
2760.0,1038.25,-80.0,7,25,68
2270.0,1073.0,125.0,7,25,68
2240.0,1087.9,-180.0,8,25,68
2110.0,1090.35,20.0,8,27,73
