best,average,min,species,neurons,links
1515.0,259.65,-210.0,1,22,57
1245.0,340.7,-210.0,1,22,57
1870.0,434.1,-155.0,1,22,57
1740.0,665.25,-135.0,1,22,57
1825.0,789.15,-120.0,1,22,57
1915.0,717.1,-60.0,1,22,57
2310.0,844.1,-110.0,1,22,57
2430.0,990.85,-35.0,3,23,58
2390.0,1091.35,95.0,4,23,58
2265.0,1066.7,15.0,4,22,57
2275.0,1178.35,85.0,7,23,58
2355.0,1039.05,70.0,7,23,58
2170.0,1051.0,-85.0,9,23,58
2575.0,1079.1,15.0,8,23,58
2205.0,1148.8,0.0,8,26,62
2160.0,951.9,40.0,9,25,61
2120.0,1036.85,-65.0,9,25,59
1945.0,1016.8,150.0,9,25,59
2390.0,1155.55,90.0,9,23,58
2455.0,1105.4,-210.0,9,26,61
2400.0,1112.45,-35.0,9,25,59
1960.0,1093.85,-135.0,9,25,59
2535.0,1089.7,-35.0,9,23,57
1925.0,1027.1,-115.0,9,24,62
2410.0,1011.35,-150.0,10,25,59
2165.0,997.1,40.0,10,25,61
2080.0,1106.3,-30.0,11,25,61
2415.0,1089.0,-70.0,10,25,60
2195.0,1086.75,-110.0,10,25,60
2270.0,1107.25,45.0,10,25,60
2325.0,1096.3,15.0,10,25,61
2160.0,1027.85,-65.0,11,28,73
2150.0,1040.6,-110.0,11,23,56
2430.0,1104.15,5.0,11,25,61
2415.0,1117.65,-10.0,11,25,61
1985.0,1089.6,-130.0,11,25,61
2170.0,1047.25,-10.0,11,26,62
2635.0,1103.85,110.0,11,25,61
2590.0,1080.9,-85.0,11,25,61
2365.0,963.7,-210.0,10,26,62
2235.0,1073.85,-60.0,10,26,62
2590.0,1058.9,-100.0,11,26,62
2670.0,1011.45,-60.0,10,26,62
2930.0,1079.55,-50.0,10,26,63
2895.0,1076.1,230.0,10,26,63
2345.0,1011.2,55.0,10,25,62
2510.0,1091.75,-40.0,10,26,63
2280.0,1027.85,-35.0,10,28,76
2325.0,979.8,10.0,10,26,63
2190.0,982.85,-165.0,10,25,62
2960.0,1095.5,55.0,10,25,62
2945.0,1119.55,-95.0,10,26,62
2540.0,999.25,140.0,10,25,62
2615.0,1100.8,-60.0,10,26,62
2560.0,1148.0,155.0,10,26,72
2450.0,1009.75,-110.0,10,26,62
2440.0,1138.0,170.0,9,29,87
3340.0,1063.55,-40.0,8,29,87
2210.0,1203.0,130.0,7,25,63
2365.0,1250.7,175.0,7,25,63
2565.0,1204.3,85.0,7,29,88
2715.0,1190.25,0.0,7,29,88
2250.0,1174.2,-5.0,7,29,88
2305.0,1130.5,60.0,7,25,63
2670.0,1291.15,190.0,7,25,63
2640.0,1310.4,-165.0,7,29,88
2675.0,1231.8,205.0,7,29,88
2640.0,1302.45,270.0,7,25,63
2585.0,1275.4,-45.0,7,29,88
2460.0,1202.8,-60.0,7,29,88
2545.0,1242.0,95.0,7,25,63
2695.0,1308.3,-60.0,7,29,88
2435.0,1353.1,80.0,7,29,88
2505.0,1230.9,-15.0,8,29,88
2585.0,1288.75,255.0,7,29,88
2635.0,1261.35,105.0,7,29,88
2455.0,1183.9,5.0,7,29,88
2365.0,1240.65,130.0,7,29,89
2895.0,1251.65,-35.0,7,29,89
2685.0,1177.8,140.0,7,29,89
2955.0,1214.35,20.0,7,29,89
2960.0,1352.85,40.0,7,29,89
2650.0,1212.9,175.0,7,29,89
2255.0,1142.75,90.0,7,25,63
3250.0,1251.1,120.0,7,29,89
2675.0,1257.05,-70.0,7,29,89
3055.0,1256.15,225.0,7,25,63
2555.0,1235.05,195.0,7,29,89
2600.0,1233.7,165.0,7,25,63
3030.0,1163.7,15.0,8,25,63
2425.0,1169.1,195.0,7,29,89
2825.0,1332.05,90.0,6,25,63
3230.0,1209.1,90.0,7,29,89
2730.0,1321.35,135.0,7,29,89
2780.0,1147.7,15.0,7,25,63
2665.0,1252.6,115.0,7,25,63
2705.0,1270.75,90.0,7,29,89
2600.0,1243.4,165.0,7,25,63
2560.0,1135.25,95.0,7,29,89
2535.0,1143.2,20.0,7,25,63
2870.0,1100.55,15.0,7,25,63
2290.0,1164.6,-210.0,7,29,89
2580.0,1176.35,-155.0,7,25,63
2865.0,1243.3,250.0,6,29,89
2895.0,1295.5,185.0,5,29,89
3230.0,1300.95,280.0,5,29,89
3015.0,1331.65,0.0,5,29,89
3485.0,1389.65,185.0,5,25,63
2605.0,1315.55,90.0,5,26,64
2980.0,1485.9,170.0,5,30,91
2900.0,1451.35,370.0,5,26,64
3075.0,1364.3,80.0,5,26,64
2485.0,1369.35,15.0,5,31,91
2695.0,1413.4,175.0,5,30,90
2915.0,1381.9,40.0,5,26,64
3120.0,1486.5,-60.0,5,31,91
2485.0,1348.9,140.0,5,26,64
2855.0,1423.6,330.0,5,32,92
2800.0,1337.15,-95.0,5,26,63
3105.0,1353.3,290.0,5,32,92
2865.0,1319.95,-5.0,5,32,92
3025.0,1462.2,10.0,5,32,92
2760.0,1459.7,-60.0,5,26,63
3175.0,1312.9,15.0,5,32,92
3045.0,1434.75,85.0,5,32,92
2925.0,1475.7,220.0,5,26,63
2770.0,1497.05,165.0,5,32,92
2670.0,1425.1,380.0,5,32,92
2770.0,1452.3,285.0,5,32,92
3260.0,1482.85,230.0,5,32,92
2760.0,1417.85,130.0,5,32,92
2805.0,1413.65,195.0,5,26,63
3070.0,1405.25,55.0,5,32,92
3195.0,1437.3,-75.0,5,26,63
2470.0,1486.9,190.0,6,26,63
2650.0,1482.6,15.0,7,26,63
2570.0,1316.85,-15.0,7,32,92
2460.0,1356.85,100.0,7,26,63
2430.0,1245.85,-135.0,7,32,92
2245.0,1300.2,200.0,7,34,104
2700.0,1289.8,-60.0,7,26,63
2750.0,1338.25,-135.0,8,27,64
2830.0,1362.45,210.0,8,27,64
2410.0,1279.85,15.0,8,27,64
2595.0,1264.6,-135.0,8,27,64
2505.0,1298.9,240.0,8,28,69
2745.0,1371.45,370.0,8,27,64
2745.0,1299.0,205.0,8,32,92
2565.0,1466.35,175.0,8,32,92
2265.0,1331.35,5.0,7,28,69
2695.0,1404.3,-15.0,7,28,69
2580.0,1371.85,340.0,7,27,64
2990.0,1458.3,165.0,7,28,69
2945.0,1392.85,105.0,7,33,93
2645.0,1414.55,265.0,7,33,93
2630.0,1373.15,110.0,7,33,93
2800.0,1449.65,365.0,7,33,93
2640.0,1481.5,220.0,7,33,94
2695.0,1423.15,245.0,7,27,64
2780.0,1460.75,280.0,7,27,64
2440.0,1462.05,470.0,6,37,106
3120.0,1378.3,170.0,6,28,68
2775.0,1381.1,275.0,6,28,68
2735.0,1436.15,165.0,6,37,106
2970.0,1494.1,390.0,6,28,66
3070.0,1531.2,340.0,6,28,66
3025.0,1486.15,240.0,6,28,68
2960.0,1514.95,245.0,6,37,106
2940.0,1483.3,10.0,6,28,66
2940.0,1488.35,530.0,6,28,68
2475.0,1335.4,-15.0,6,28,66
2380.0,1331.95,0.0,6,37,106
2560.0,1395.15,-60.0,7,28,66
2590.0,1407.1,330.0,7,28,66
3020.0,1438.4,425.0,7,28,66
2455.0,1315.25,240.0,7,28,66
2600.0,1358.2,0.0,7,28,66
2360.0,1444.95,130.0,7,28,68
2705.0,1396.15,-155.0,7,37,107
2570.0,1387.15,190.0,7,37,107
2610.0,1367.65,-20.0,7,37,108
2325.0,1348.2,85.0,7,28,68
2590.0,1340.45,380.0,7,28,68
2705.0,1382.35,330.0,7,28,68
2675.0,1484.5,180.0,7,28,68
2360.0,1434.2,240.0,7,45,139
2995.0,1452.6,370.0,7,28,68
2760.0,1478.55,-135.0,7,45,139
3090.0,1372.65,15.0,7,45,139
2920.0,1478.35,360.0,7,37,108
2690.0,1481.2,-15.0,7,28,68
2855.0,1479.45,525.0,7,28,68
2545.0,1409.25,335.0,7,28,68
2865.0,1491.95,180.0,7,28,68
3015.0,1438.65,180.0,7,28,68
2695.0,1475.05,355.0,7,28,68
2940.0,1463.65,315.0,7,28,68
3005.0,1399.65,-35.0,7,29,68
2905.0,1468.6,160.0,7,37,107
3055.0,1567.0,420.0,7,45,140
2740.0,1437.95,320.0,7,28,68
3280.0,1560.1,365.0,7,28,68
3000.0,1567.2,310.0,7,28,68
3075.0,1462.6,285.0,7,45,140
3675.0,1557.5,250.0,7,28,68
3265.0,1537.2,340.0,7,28,69
2820.0,1463.35,-135.0,7,29,67
2730.0,1549.7,325.0,7,28,69
3240.0,1407.5,-210.0,7,45,141
3095.0,1525.15,370.0,7,28,69
2815.0,1519.5,155.0,7,28,69
3235.0,1514.2,290.0,7,37,107
3125.0,1504.2,190.0,8,45,141
2895.0,1513.1,245.0,8,29,70
3020.0,1595.5,355.0,8,29,70
3305.0,1448.6,-135.0,8,45,141
2705.0,1619.9,480.0,8,29,67
2795.0,1509.9,-10.0,8,29,70
2785.0,1590.55,80.0,9,46,142
3025.0,1439.15,285.0,9,29,70
3290.0,1526.55,240.0,9,29,70
3175.0,1520.75,-45.0,9,46,142
2780.0,1521.75,125.0,9,29,70
2605.0,1462.25,-145.0,9,46,142
3055.0,1564.45,-20.0,10,29,67
3390.0,1459.0,-30.0,9,46,142
2820.0,1464.9,205.0,9,37,108
2975.0,1480.15,40.0,9,37,109
2840.0,1488.3,220.0,9,43,135
3120.0,1489.65,-5.0,9,37,109
2805.0,1492.25,245.0,9,46,142
2735.0,1535.65,20.0,9,50,163
2870.0,1503.2,-10.0,9,46,142
2765.0,1481.4,-20.0,9,46,142
2855.0,1448.0,-15.0,9,46,142
3275.0,1544.05,-95.0,9,42,127
2850.0,1389.65,-145.0,9,29,70
2905.0,1422.35,210.0,9,50,164
2900.0,1451.3,380.0,9,43,136
3265.0,1623.6,30.0,10,29,70
3135.0,1573.6,180.0,10,34,93
3240.0,1551.85,-135.0,10,29,68
3105.0,1596.0,105.0,10,29,68
3960.0,1620.8,315.0,10,34,93
2785.0,1597.4,520.0,10,43,136
2945.0,1547.4,90.0,10,29,70
2960.0,1403.9,-15.0,10,47,144
3260.0,1543.35,405.0,9,29,69
3070.0,1664.25,205.0,8,35,93
2960.0,1591.25,445.0,9,35,93
3920.0,1654.05,-45.0,8,29,69
3015.0,1596.6,195.0,8,47,144
2820.0,1586.95,215.0,8,29,69
3055.0,1594.5,-60.0,8,35,94
3265.0,1635.95,205.0,7,35,95
2775.0,1586.95,230.0,7,35,95
2820.0,1517.4,565.0,7,29,69
3055.0,1652.0,20.0,6,48,145
3305.0,1559.0,340.0,6,29,69
3210.0,1602.75,105.0,6,29,69
3270.0,1619.45,240.0,6,29,69
3750.0,1682.7,480.0,6,48,145
3100.0,1683.55,660.0,6,48,145
2930.0,1711.0,425.0,6,29,69
3335.0,1826.2,-15.0,6,35,94
2725.0,1720.35,490.0,6,29,69
2850.0,1702.1,410.0,6,29,69
3040.0,1697.55,0.0,6,29,69
3505.0,1713.6,130.0,6,35,94
2995.0,1718.5,370.0,6,29,69
2935.0,1654.55,345.0,6,50,166
3245.0,1787.1,450.0,6,35,94
3015.0,1624.9,190.0,6,29,69
3210.0,1627.3,-30.0,6,29,69
3445.0,1667.45,390.0,6,29,69
3110.0,1673.75,245.0,6,29,69
3055.0,1675.15,305.0,7,35,95
2955.0,1627.55,445.0,8,35,95
3300.0,1599.0,120.0,8,29,69
3300.0,1502.4,-140.0,8,35,95
3305.0,1572.25,135.0,8,35,96
3130.0,1553.55,280.0,8,29,69
3575.0,1551.2,215.0,8,29,69
3220.0,1571.5,340.0,8,29,69
2670.0,1530.85,370.0,8,50,168
2975.0,1554.9,150.0,8,48,145
2545.0,1517.55,120.0,8,48,145
2990.0,1633.75,415.0,7,29,69
3685.0,1599.2,440.0,7,29,69
3055.0,1539.2,110.0,7,48,145
3505.0,1540.7,200.0,7,29,69
3090.0,1545.4,330.0,7,29,69
3290.0,1525.75,140.0,7,29,69
3305.0,1636.55,470.0,7,29,69
3480.0,1658.25,510.0,7,29,69
3340.0,1593.2,-60.0,7,29,69
3280.0,1712.1,405.0,7,29,68
2985.0,1606.9,260.0,7,55,172
3285.0,1580.6,280.0,7,48,144
2855.0,1626.25,235.0,6,29,68
3295.0,1665.6,135.0,6,29,68
3260.0,1586.55,-110.0,6,29,68
3445.0,1751.55,75.0,6,29,68
3095.0,1753.15,5.0,6,29,68
3345.0,1755.65,340.0,6,29,69
3295.0,1703.55,315.0,6,29,69
3605.0,1590.25,-135.0,6,29,69
3400.0,1594.3,165.0,6,29,69
3520.0,1754.4,380.0,6,29,69
3075.0,1775.4,440.0,6,29,69
3405.0,1647.7,420.0,6,29,69
3030.0,1681.3,430.0,6,29,69
2735.0,1563.85,30.0,6,35,97
3025.0,1763.6,195.0,5,57,175
3010.0,1724.2,620.0,5,29,69
3070.0,1745.6,220.0,5,57,175
3145.0,1663.1,385.0,5,57,175
3000.0,1666.05,165.0,5,35,97
3465.0,1717.35,460.0,5,29,69
2945.0,1765.1,325.0,5,29,69
3125.0,1724.6,390.0,4,47,143
3140.0,1709.7,90.0,4,29,69
2930.0,1781.75,245.0,4,29,69
3335.0,1754.55,-60.0,4,29,68
