best,average,min,species,neurons,links
2041.0,121.28,-952.0,1,38,105
1690.0,290.21,-1097.0,1,38,105
1353.0,394.23,-527.0,1,38,105
1649.0,452.74,-387.0,1,38,105
1988.0,629.8,-352.0,1,38,104
2644.0,678.34,-152.0,3,38,105
1985.0,597.37,-282.0,3,38,104
2114.0,712.17,-207.0,4,38,104
2689.0,738.38,-462.0,3,38,104
2764.0,870.15,-222.0,5,38,104
2369.0,868.03,-52.0,6,39,105
2183.0,755.39,-501.0,7,40,107
2698.0,947.88,-292.0,9,40,107
2657.0,764.96,-432.0,9,43,110
2614.0,878.54,-187.0,9,39,105
3009.0,794.55,-154.0,9,38,104
2333.0,817.13,-144.0,8,40,108
2473.0,860.08,-402.0,8,40,108
2389.0,721.89,-632.0,7,40,108
2440.0,891.82,-267.0,9,43,110
3413.0,873.73,-357.0,9,40,106
2129.0,852.09,-260.0,7,40,106
2734.0,840.97,-242.0,8,40,106
2650.0,843.91,-317.0,8,38,104
2473.0,849.25,-327.0,8,38,104
2663.0,1058.14,-62.0,8,38,104
3101.0,1027.46,-267.0,8,41,110
2729.0,1031.08,-132.0,8,41,110
2809.0,1015.81,-167.0,8,40,106
2477.0,1011.34,-372.0,8,40,106
3251.0,946.0,-332.0,8,40,106
3228.0,1012.32,-792.0,8,40,107
3112.0,1089.53,-1.99999999999,8,41,110
3330.0,1175.09,-132.0,8,40,107
3815.0,1025.75,-308.0,8,41,110
3022.0,1083.9,-307.0,8,40,107
2872.0,1088.93,111.0,8,40,107
3014.0,987.88,-402.0,8,43,110
3234.0,1118.03,-272.0,8,40,107
2863.0,1065.33,-1218.0,8,40,107
3143.0,1113.99,-527.0,8,41,110
3014.0,1039.88,-512.0,8,38,103
3405.0,1032.18,-114.0,8,40,107
2423.0,904.16,-442.0,9,40,107
2707.0,850.09,-290.0,8,40,107
2723.0,928.72,-352.0,8,41,111
3780.0,1047.0,-792.0,8,40,107
3196.0,1099.46,-76.0,8,41,111
3460.0,1059.97,-312.0,8,41,111
3519.0,1050.51,58.0,8,40,107
2149.0,950.84,-552.0,8,40,107
2919.0,947.27,-732.0,10,40,107
2779.0,962.4,-337.0,9,41,111
2687.0,1033.64,-253.0,8,42,112
3627.0,1171.2,-782.0,9,45,125
2414.0,1034.05,-52.0,8,42,112
3257.0,1092.59,-97.0,9,42,112
3481.0,1074.51,-52.0,9,42,112
2487.0,1126.22,-127.0,8,40,107
2737.0,965.84,-197.0,8,42,112
3543.0,1100.63,-148.0,8,42,112
2788.0,1073.28,-37.0,8,40,107
3334.0,955.94,-130.0,8,42,112
3056.0,1029.46,-17.0,8,46,125
2620.0,1075.64,-257.0,8,46,125
2689.0,963.7,-92.0,8,46,125
3429.0,1031.0,-302.0,8,42,113
3750.0,1005.26,-142.0,8,42,113
3309.0,1097.16,-222.0,8,42,114
2854.0,1081.97,-947.0,8,42,114
3291.0,1018.91,-362.0,10,44,110
2897.0,988.42,-737.0,10,44,110
3283.0,1047.82,-457.0,11,46,124
3115.0,994.43,18.0,12,46,125
2545.0,1005.88,-315.0,11,46,125
2385.0,978.36,-327.0,11,46,125
3375.0,1105.67,13.0,11,46,125
2949.0,1075.29,-257.0,11,44,111
3034.0,991.89,-47.0,10,45,123
3053.0,1001.21,-377.0,10,50,139
2948.0,1031.84,-37.0,10,45,123
2949.0,1043.28,-122.0,11,45,123
2900.0,1152.12,-221.0,11,47,131
3104.0,1139.12,-37.0,11,44,112
2889.0,1069.02,-142.0,11,44,112
2931.0,982.94,-328.0,11,44,112
2881.0,981.95,-742.0,11,45,123
3363.0,1022.94,-557.0,11,42,116
3059.0,1102.85,-907.0,12,40,110
2724.0,1027.92,-52.0,10,47,131
3440.0,1132.65,-122.0,10,45,123
2691.0,1089.13,-222.0,10,50,141
2945.0,1127.51,113.0,10,45,123
2285.0,965.08,-138.0,8,42,116
2973.0,1063.74,-282.0,8,50,141
2979.0,1060.72,-212.0,8,45,123
2804.0,1111.22,-282.0,8,46,124
2801.0,1061.4,-47.0,8,46,124
3602.0,1044.34,-187.0,7,44,112
2708.0,1088.19,-301.0,7,49,133
3230.0,1077.8,-412.0,7,49,133
2667.0,1203.11,7.0,6,49,133
3019.0,1237.83,136.0,6,49,133
3610.0,1183.1,18.0,6,49,133
2818.0,1123.97,-282.0,6,49,133
4237.0,1199.43,-117.0,6,44,117
2933.0,1252.47,-272.0,5,50,141
2605.0,1226.08,143.0,5,49,133
3539.0,1360.45,147.0,5,50,141
3230.0,1249.55,-176.0,5,49,133
4665.0,1332.92,-147.0,5,53,151
3111.0,1313.26,-1.99999999999,5,53,151
3238.0,1208.91,-52.0,5,53,151
3865.0,1286.34,-52.0,5,53,151
3920.0,1292.65,-337.0,5,53,152
3288.0,1304.04,-342.0,5,53,151
3654.0,1426.61,158.0,5,53,151
3935.0,1296.82,-202.0,5,53,151
4114.0,1304.61,-732.0,5,53,151
4032.0,1421.13,-132.0,6,53,151
3701.0,1439.46,-112.0,6,53,151
3985.0,1389.76,-307.0,6,53,151
3529.0,1307.31,-52.0,6,53,153
3380.0,1351.57,-39.0,6,53,153
4579.0,1404.69,-322.0,6,53,153
3336.0,1262.65,-337.0,6,53,153
3691.0,1402.7,-288.0,6,53,153
3567.0,1532.42,149.0,6,53,153
4090.0,1546.59,-18.0,6,53,153
4771.0,1560.38,233.0,6,53,153
3930.0,1424.65,-222.0,6,53,153
3075.0,1432.77,-252.0,6,49,134
3235.0,1505.38,-617.0,6,53,153
4139.0,1458.04,-82.0,6,53,153
3620.0,1494.61,-1.99999999999,6,49,136
3382.0,1482.6,-972.0,6,53,153
4194.0,1492.34,-257.0,6,53,153
3814.0,1679.18,-172.0,6,53,153
3561.0,1472.57,-387.0,6,53,153
3554.0,1583.95,-302.0,6,53,153
3290.0,1456.39,89.0,7,49,137
3278.0,1375.17,-151.0,7,53,153
3529.0,1514.82,58.0,7,53,153
3910.0,1383.39,-112.0,7,53,153
3560.0,1337.74,-124.0,7,53,153
3594.0,1352.12,248.0,7,53,153
5185.0,1497.03,-142.0,7,53,153
3795.0,1450.47,-212.0,7,53,153
4387.0,1589.49,-189.0,7,53,153
4339.0,1408.85,-313.0,7,53,154
4349.0,1610.65,207.0,6,53,154
4336.0,1430.06,-157.0,6,53,154
4829.0,1593.45,-71.0,6,53,154
3599.0,1444.84,-352.0,6,53,154
4193.0,1625.56,-245.0,6,53,154
3868.0,1500.18,-22.0,6,53,155
3141.0,1439.57,-57.0,6,53,155
4141.0,1613.37,-107.0,6,53,154
3682.0,1490.8,-82.0,5,53,155
4715.0,1532.38,-437.0,6,53,154
4421.0,1372.16,-644.0,6,53,155
3914.0,1555.55,-257.0,6,53,154
3957.0,1586.94,-182.0,5,53,154
3687.0,1698.24,48.0,4,53,154
4339.0,1635.79,-72.0,4,53,154
3450.0,1723.09,-287.0,4,53,154
3935.0,1720.43,-242.0,4,53,155
4386.0,1644.99,-157.0,4,53,154
4105.0,1738.91,17.0,4,53,154
4129.0,1691.38,83.0,4,53,154
3749.0,1852.37,214.0,4,53,154
4220.0,1756.08,159.0,4,53,154
4815.0,1661.65,278.0,4,53,155
4179.0,1602.32,-12.0,4,53,155
3739.0,1725.89,-32.0,4,53,153
