best,average,min,species,neurons,links
649.0,-550.11,-2919.0,1,38,105
811.0,-121.43,-2228.0,1,38,105
1010.0,232.83,-808.0,1,38,105
1631.0,230.89,-1120.0,1,38,105
1111.0,295.44,-779.0,1,38,105
1073.0,320.52,-1079.0,1,38,105
1562.0,418.7,-808.0,1,38,105
1562.0,415.0,-889.0,4,38,105
1341.0,245.94,-2258.0,6,39,106
1291.0,325.54,-569.0,6,38,105
1961.0,174.59,-1559.0,6,38,105
1341.0,318.92,-808.0,10,39,106
1392.0,371.51,-1178.0,8,41,108
1252.0,368.96,-808.0,5,40,107
1532.0,408.35,-808.0,7,41,108
1489.0,435.8,-858.0,8,41,109
1530.0,452.99,-1969.0,8,42,111
1272.0,491.21,-519.0,7,41,109
1342.0,469.24,-658.0,7,42,111
1208.0,490.85,-510.0,8,42,111
1851.0,540.06,-609.0,7,38,105
1256.0,446.89,-1329.0,7,40,108
1801.0,431.53,-1408.0,7,40,108
1351.0,481.43,-658.0,7,38,105
1481.0,381.06,-808.0,7,40,108
1794.0,502.17,-1449.0,7,42,112
1622.0,527.73,-778.0,7,40,108
1673.0,444.77,-589.0,7,40,108
1715.0,415.67,-889.0,7,42,112
1991.0,444.0,-828.0,7,42,112
1531.0,406.46,-659.0,7,42,112
1560.0,443.71,-418.0,7,42,112
1582.0,524.14,-409.0,7,42,112
1450.0,490.63,-1299.0,7,42,112
1251.0,325.07,-838.0,8,38,105
1842.0,302.73,-1289.0,7,42,112
1409.0,494.67,-730.0,7,43,113
1580.0,408.1,-808.0,7,43,113
1890.0,422.04,-789.0,8,43,113
1791.0,556.95,-458.0,8,43,113
2112.0,464.19,-519.0,9,43,113
1911.0,369.2,-808.0,8,42,114
1660.0,406.6,-708.0,8,42,114
2301.0,459.46,-808.0,8,42,114
2341.0,515.2,-758.0,8,42,114
1822.0,457.26,-1109.0,8,43,113
2045.0,393.56,-969.0,8,42,115
2004.0,475.42,-408.0,10,42,115
2522.0,464.46,-1029.0,10,42,115
2256.0,521.69,-559.0,9,42,115
2130.0,463.97,-470.0,9,42,115
2230.0,574.78,-1008.0,9,42,115
2098.0,452.2,-600.0,9,42,115
1842.0,473.14,-570.0,9,42,115
1883.0,497.01,-750.0,9,42,115
2540.0,487.25,-1218.0,9,42,116
2040.0,556.81,-979.0,9,42,116
2281.0,567.56,-408.0,9,42,116
2676.0,472.05,-1119.0,9,42,115
2510.0,534.51,-608.0,9,42,115
1861.0,485.79,-558.0,8,42,115
2210.0,496.41,-508.0,8,44,115
2191.0,593.9,-840.0,8,42,115
2347.0,584.56,-1108.0,8,42,115
2060.0,509.58,-770.0,8,42,115
2127.0,516.89,-429.0,9,42,115
