best,average,min,species,neurons,links
1151.0,108.52,-652.0,1,44,315
1982.0,331.71,-1002.0,1,44,315
2184.0,694.5,-892.0,1,44,315
2838.0,870.85,-477.0,1,44,315
2209.0,753.18,-352.0,1,44,315
2478.0,899.38,-567.0,1,44,315
2381.0,1004.17,-1157.0,1,44,315
2768.0,1194.67,-670.0,1,44,315
3294.0,1267.91,-329.0,1,44,315
3894.0,1230.05,-532.0,4,44,315
3449.0,1124.3,-267.0,5,45,316
3470.0,1150.27,-785.0,7,45,317
3998.0,1156.32,-882.0,8,45,317
3499.0,1243.03,-867.0,9,46,317
3929.0,1341.92,-52.0,10,45,317
3742.0,1244.81,-688.0,9,47,318
3297.0,1323.83,-697.0,8,46,318
3954.0,1413.15,-180.0,8,46,320
3569.0,1411.96,-527.0,8,46,320
4447.0,1495.68,-827.0,8,44,315
3880.0,1544.59,-2.0,8,46,320
2936.0,1368.45,-229.0,9,46,318
3192.0,1396.51,-652.0,9,47,318
3498.0,1414.9,-742.0,11,47,318
4078.0,1388.69,-282.0,10,47,318
3594.0,1373.05,-617.0,9,47,318
4144.0,1428.14,-652.0,9,47,318
3580.0,1357.02,-432.0,9,46,317
3695.0,1420.95,85.0,10,46,318
3121.0,1398.39,-302.0,10,48,326
3486.0,1375.22,-52.0,10,46,319
3273.0,1549.4,-432.0,10,46,319
3058.0,1366.39,-527.0,10,46,316
3559.0,1394.37,-242.0,10,46,316
3918.0,1269.76,-822.0,9,47,317
4177.0,1352.83,-385.0,10,48,326
3886.0,1455.16,-382.0,10,47,325
3769.0,1495.13,-652.0,11,48,326
3542.0,1413.39,-867.0,11,46,318
3657.0,1454.96,-552.0,11,46,318
3544.0,1480.28,-691.0,11,46,316
3217.0,1303.95,-584.0,11,48,326
2903.0,1240.75,-501.0,11,48,326
3963.0,1429.01,-472.0,11,46,316
3520.0,1425.75,-772.0,11,46,323
2999.0,1426.88,-402.0,8,46,323
3058.0,1449.56,88.0,9,48,326
2821.0,1276.82,-424.0,8,46,316
4360.0,1389.88,-852.0,9,48,326
3581.0,1399.58,-136.0,9,48,326
3758.0,1490.38,-52.0,9,48,326
3238.0,1326.88,-362.0,9,48,326
3436.0,1350.01,-707.0,9,45,316
4459.0,1401.76,-176.0,8,45,316
3161.0,1532.07,-204.0,8,47,316
3715.0,1529.36,-90.0,8,47,316
3452.0,1544.96,-232.0,8,48,326
3328.0,1412.06,168.0,8,47,316
3519.0,1384.13,-197.0,8,47,316
3259.0,1259.81,-787.0,8,46,324
2683.0,1348.87,-974.0,8,47,316
3052.0,1237.96,-472.0,8,47,316
3274.0,1390.47,-512.0,8,46,324
4135.0,1351.1,173.0,8,47,316
3252.0,1496.8,74.0,7,47,316
3399.0,1439.31,-867.0,7,47,316
3169.0,1505.87,-867.0,7,47,316
4465.0,1498.09,-522.0,7,47,316
3614.0,1555.58,-27.0,7,47,316
3844.0,1423.23,-462.0,7,47,316
3949.0,1615.12,-442.0,7,46,316
3248.0,1476.92,-352.0,7,46,316
4110.0,1452.82,-637.0,7,46,316
3810.0,1523.1,-541.0,7,47,316
3034.0,1442.83,-706.0,7,46,316
2826.0,1283.79,-87.0,7,54,346
3469.0,1491.2,128.0,7,48,325
4271.0,1445.92,-574.0,7,47,320
3552.0,1451.85,401.0,7,48,325
2903.0,1244.27,-382.0,7,46,316
3674.0,1437.25,-552.0,7,47,316
3047.0,1428.1,-148.0,7,47,316
3096.0,1465.85,-497.0,7,48,321
3144.0,1348.02,-352.0,7,48,325
2877.0,1372.35,-302.0,7,46,325
3809.0,1373.4,43.0,7,46,316
4138.0,1436.43,-315.0,7,46,316
3107.0,1563.17,-382.0,7,46,325
3181.0,1391.44,-377.0,7,47,317
3318.0,1481.15,-277.0,7,47,317
3918.0,1465.25,-371.0,7,47,317
3278.0,1569.2,83.0,7,46,325
4149.0,1583.67,-217.0,7,47,317
3317.0,1483.3,-358.0,7,47,317
3489.0,1572.03,226.0,8,47,317
