best,average,min,species,neurons,links
1665.0,270.8,-703.0,1,17,72
2163.0,842.77,-527.0,1,17,72
1953.0,975.87,-52.0,1,17,72
2464.0,1069.67,-382.0,1,17,72
2256.0,1144.25,-57.0,2,17,72
2128.0,1258.19,-17.0,3,17,72
2663.0,1357.57,-272.0,3,17,72
2466.0,1343.68,-52.0,3,17,72
2444.0,1343.71,-326.0,3,18,74
2351.0,1328.36,-52.0,3,18,73
2294.0,1342.72,123.0,3,17,72
2193.0,1371.13,-407.0,4,18,74
2494.0,1360.44,13.0,4,18,74
2644.0,1351.95,138.0,4,18,74
2243.0,1298.23,-267.0,4,18,74
2340.0,1303.14,47.0,4,18,74
3218.0,1369.54,88.0,4,18,74
2699.0,1407.91,-190.0,4,18,74
2804.0,1424.9,161.0,4,18,74
2109.0,1315.66,-592.0,4,18,74
2419.0,1312.52,-212.0,4,19,79
2338.0,1380.95,631.0,4,19,78
2269.0,1317.1,-52.0,4,17,71
2488.0,1334.68,146.0,4,18,74
2329.0,1332.99,-71.0,4,18,74
2419.0,1359.41,123.0,4,18,74
2418.0,1299.76,611.0,4,18,74
2388.0,1352.9,123.0,4,19,78
1996.0,1325.0,443.0,4,18,74
2444.0,1261.01,-122.0,4,18,74
2448.0,1449.7,718.0,4,19,78
2451.0,1298.26,-202.0,4,18,74
2418.0,1403.75,444.0,4,18,74
3650.0,1403.19,-296.0,4,18,74
2344.0,1333.6,91.0,5,19,78
2508.0,1372.85,-52.0,5,17,71
2325.0,1339.76,-317.0,5,19,75
2538.0,1399.2,93.0,6,20,81
2771.0,1381.11,38.0,6,19,77
2214.0,1292.58,-327.0,6,20,81
3014.0,1352.88,-127.0,6,19,76
