best,average,min,species,neurons,links
1648.0,665.47,-72.0,1,44,18
2149.0,751.31,-177.0,1,44,18
2135.0,810.58,-72.0,1,44,19
2457.0,998.39,273.0,3,44,19
2844.0,993.58,243.0,3,45,21
2113.0,1039.52,285.0,3,45,20
2624.0,1174.41,178.0,3,46,21
2393.0,1242.77,263.0,2,45,20
2713.0,1257.41,353.0,3,46,22
2410.0,1244.29,223.0,2,46,22
2688.0,1234.35,260.0,2,46,22
2444.0,1343.64,328.0,3,47,23
2844.0,1389.91,398.0,2,45,20
2384.0,1408.63,343.0,2,47,23
2919.0,1478.53,293.0,2,45,20
2762.0,1394.02,228.0,3,48,24
3075.0,1159.37,178.0,3,45,20
2813.0,1347.27,258.0,3,45,20
2800.0,1437.51,371.0,3,45,20
3596.0,1367.92,268.0,3,48,30
2743.0,1560.13,428.0,3,48,30
2978.0,1447.15,63.0,3,48,30
2876.0,1320.98,178.0,3,48,30
2482.0,1291.72,373.0,3,45,20
2719.0,1369.41,428.0,3,48,24
2457.0,1450.98,403.0,3,48,30
2616.0,1423.81,43.0,3,48,24
2538.0,1456.54,188.0,3,45,20
2463.0,1503.89,403.0,3,48,24
2651.0,1361.02,243.0,3,48,24
2513.0,1444.1,428.0,3,45,20
2863.0,1381.26,328.0,3,45,20
2982.0,1485.22,428.0,3,45,20
2482.0,1565.27,178.0,4,48,30
2205.0,1387.28,181.0,4,49,29
2763.0,1464.88,228.0,4,49,29
2697.0,1486.59,548.0,4,45,20
3125.0,1453.41,347.0,3,48,30
2885.0,1417.61,353.0,4,48,30
2606.0,1482.18,428.0,4,48,24
2613.0,1481.16,398.0,4,48,30
2588.0,1504.71,428.0,4,49,29
2544.0,1516.91,193.0,4,48,30
2544.0,1502.73,347.0,4,48,24
2544.0,1442.44,428.0,4,49,29
2738.0,1461.3,283.0,4,48,30
2719.0,1543.07,573.0,5,50,30
2661.0,1367.59,228.0,4,49,25
2932.0,1448.11,423.0,4,50,30
3244.0,1436.98,273.0,5,48,30
2585.0,1412.55,178.0,5,49,25
2705.0,1354.43,193.0,4,48,30
3010.0,1350.85,428.0,4,45,20
3153.0,1504.72,358.0,4,45,20
2909.0,1467.45,324.0,4,45,20
2899.0,1406.55,233.0,4,51,34
2632.0,1489.42,376.0,4,48,30
3019.0,1488.76,593.0,4,48,30
2598.0,1408.08,428.0,5,51,34
