best,average,min,species,neurons,links
488.0,-581.3,-2044.0,1,38,105
724.0,-284.27,-2062.0,1,38,105
806.0,-64.6,-1162.0,1,38,105
856.0,234.13,-1231.0,1,38,105
688.0,339.38,-712.0,1,38,105
974.0,242.6,-712.0,1,38,105
688.0,394.24,-2026.0,2,38,105
806.0,372.83,-944.0,2,39,105
856.0,405.38,-712.0,4,38,104
756.0,266.64,-1362.0,3,39,105
756.0,424.34,-712.0,4,39,106
706.0,310.22,-1612.0,4,40,107
756.0,276.08,-1562.0,5,39,106
751.0,350.02,-712.0,5,40,107
751.0,390.92,-1849.0,6,40,107
824.0,362.58,-1094.0,6,40,107
724.0,385.98,-1094.0,5,39,106
706.0,442.73,-562.0,5,40,107
806.0,433.28,-462.0,5,38,104
688.0,392.6,-712.0,5,38,104
856.0,439.41,-712.0,6,39,106
806.0,296.89,-912.0,5,41,108
1308.0,434.26,-1581.0,6,41,108
924.0,417.14,-1081.0,5,40,107
756.0,407.32,-812.0,5,39,107
819.0,435.85,-862.0,5,40,107
806.0,473.41,-1362.0,5,41,108
937.0,459.29,-712.0,5,40,108
808.0,449.39,-612.0,5,41,108
688.0,418.2,-1094.0,5,41,108
806.0,484.27,-462.0,5,39,107
856.0,517.13,-549.0,5,41,108
924.0,440.07,-462.0,6,39,107
974.0,455.41,-712.0,6,39,107
1108.0,476.95,-1062.0,7,41,108
756.0,434.78,-752.0,9,39,107
756.0,418.85,-944.0,9,40,107
974.0,397.97,-862.0,9,38,104
892.0,508.41,-676.0,7,40,110
856.0,437.21,-831.0,9,40,109
856.0,505.57,-712.0,9,41,108
751.0,432.2,-362.0,7,40,108
987.0,415.63,-612.0,7,40,109
756.0,394.27,-712.0,7,41,108
1070.0,478.96,-944.0,8,40,109
1192.0,444.47,-1662.0,7,40,109
806.0,349.06,-1697.0,9,41,108
974.0,478.89,-960.0,9,41,108
737.0,520.27,-403.0,9,40,109
756.0,518.93,-549.0,8,41,108
774.0,418.16,-712.0,9,41,108
974.0,454.69,-689.0,9,40,107
1024.0,515.12,-662.0,9,41,108
756.0,457.72,-747.0,9,42,110
1171.0,505.15,-712.0,9,40,111
997.0,433.68,-581.0,9,40,111
1203.0,432.67,-712.0,9,40,111
974.0,436.73,-712.0,8,40,109
974.0,465.25,-712.0,8,41,112
990.0,512.57,-549.0,8,42,113
856.0,476.33,-1499.0,8,41,108
1102.0,505.34,-763.0,8,41,112
1037.0,521.54,-1921.0,7,41,112
856.0,486.88,-512.0,7,42,111
856.0,446.2,-1294.0,7,42,111
688.0,399.24,-979.0,7,41,108
924.0,484.87,-331.0,7,41,110
806.0,412.75,-1612.0,7,42,110
874.0,419.52,-944.0,7,41,110
806.0,361.7,-712.0,7,42,110
1024.0,448.91,-562.0,8,41,110
806.0,423.05,-1444.0,8,41,108
856.0,433.55,-1012.0,8,42,111
856.0,425.84,-612.0,8,41,108
774.0,487.54,-712.0,8,45,123
