best,average,min,species,neurons,links
1143.0,236.39,-1486.0,1,38,105
1114.0,430.05,-2176.0,1,38,105
1701.0,735.83,-2294.0,1,38,105
1701.0,822.82,-1531.0,1,38,105
2038.0,862.69,-2371.0,1,38,105
2245.0,897.38,-1286.0,1,38,105
2125.0,1103.37,-712.0,1,38,105
1965.0,966.1,-931.0,3,38,105
2175.0,746.84,-1994.0,6,40,107
2027.0,932.07,-1757.0,8,38,105
2111.0,926.7,-1976.0,10,39,107
2056.0,1195.96,-1139.0,9,41,109
2014.0,1016.98,-2199.0,9,39,107
1801.0,1106.6,-834.0,8,40,107
2077.0,1096.93,-1126.0,8,39,106
2027.0,1113.49,-1597.0,8,41,108
1985.0,1159.01,-1090.0,8,41,108
1970.0,1163.28,-534.0,9,39,106
2049.0,1193.85,238.0,8,40,109
1888.0,1128.93,-718.0,8,41,108
2038.0,1124.99,-1175.0,8,41,109
2125.0,1204.92,-886.0,8,39,106
2012.0,1124.04,-1036.0,8,39,106
2098.0,1179.84,-490.0,8,39,106
2114.0,1212.78,-444.0,8,39,106
2049.0,1153.86,-1575.0,8,41,110
2055.0,1169.87,-1365.0,8,41,110
2086.0,1224.46,-712.0,8,40,108
1891.0,1168.78,-386.0,8,40,108
2968.0,1196.86,-562.0,8,41,108
2412.0,1206.94,-440.0,8,40,107
2285.0,1167.16,-212.0,8,41,109
1964.0,1139.23,-1297.0,8,40,107
2164.0,1090.48,-1781.0,8,39,106
2277.0,1159.08,-1390.0,8,40,108
2325.0,1208.45,-57.0,8,41,111
2460.0,1167.01,-281.0,8,39,106
2351.0,1249.1,-1364.0,8,39,106
2138.0,1138.1,-1271.0,9,40,107
2514.0,1213.52,-549.0,9,41,108
1875.0,1146.83,-1110.0,9,42,112
2525.0,1299.53,-131.0,9,43,116
1960.0,1083.47,-1826.0,9,43,116
2102.0,1108.82,-568.0,9,42,112
2012.0,1138.88,-601.0,9,40,108
2165.0,1164.49,-757.0,9,39,106
2275.0,1141.52,-852.0,9,40,108
2473.0,1275.21,-620.0,9,39,106
2148.0,1225.25,-549.0,9,42,112
2282.0,1267.28,440.0,8,41,108
2182.0,1230.25,-315.0,8,42,113
1851.0,1231.44,-336.0,8,42,113
1901.0,1155.94,-373.0,8,39,106
2195.0,1255.55,-930.0,8,42,113
2345.0,1117.59,-781.0,8,39,107
2168.0,1196.46,-149.0,8,39,109
2125.0,1170.34,-595.0,8,43,116
2542.0,1192.36,-31.0,8,41,110
2038.0,1110.33,-962.0,8,39,109
2488.0,1242.82,-1644.0,8,39,107
2338.0,1115.16,-1089.0,7,39,108
1914.0,1140.16,-86.0,7,39,108
2501.0,1205.0,-944.0,7,39,107
2188.0,1171.24,-1012.0,7,39,109
2138.0,1220.03,-494.0,7,42,113
2015.0,1160.13,-749.0,7,39,107
2176.0,1229.55,-1415.0,7,42,113
2519.0,1244.18,-850.0,7,40,109
2353.0,1206.26,-1484.0,7,41,108
2174.0,1232.64,-634.0,7,42,112
2502.0,1275.55,-1107.0,7,42,113
1864.0,1233.34,132.0,7,41,109
1999.0,1203.63,-249.0,7,41,108
2430.0,1265.14,6.0,7,43,116
2380.0,1177.9,-1910.0,7,43,116
2238.0,1190.62,-482.0,7,43,116
1864.0,1191.05,-962.0,7,41,108
2127.0,1288.18,688.0,7,42,112
1962.0,1153.39,-1152.0,7,42,114
2401.0,1276.93,-1194.0,7,42,112
2191.0,1305.8,-531.0,7,41,108
2014.0,1295.8,-162.0,7,39,108
2531.0,1236.18,638.0,7,42,112
2332.0,1275.68,461.0,7,39,108
3095.0,1273.39,-1068.0,7,42,112
2286.0,1245.96,688.0,7,40,110
2695.0,1322.01,325.0,7,42,112
2225.0,1337.82,-549.0,7,39,109
2345.0,1274.61,-196.0,7,41,108
2034.0,1274.16,356.0,7,42,112
2107.0,1254.42,-601.0,7,40,110
2341.0,1264.18,88.0,7,43,113
2137.0,1292.97,532.0,7,43,113
2161.0,1286.05,-1868.0,6,43,113
2727.0,1233.2,66.0,6,41,108
2219.0,1266.19,362.0,6,42,113
2182.0,1329.33,363.0,6,41,107
2502.0,1314.49,-181.0,6,41,111
2069.0,1285.89,243.0,6,42,113
2245.0,1334.11,251.0,6,42,113
2199.0,1319.51,581.0,6,43,113
2845.0,1355.39,566.0,6,41,111
2451.0,1333.3,551.0,6,41,107
2007.0,1263.0,288.0,6,43,113
2581.0,1336.06,-194.0,6,39,110
2423.0,1299.6,-712.0,6,42,113
2717.0,1312.01,469.0,6,43,113
2236.0,1221.48,-326.0,6,41,108
2308.0,1190.49,-499.0,6,41,108
2370.0,1306.52,126.0,6,41,111
1964.0,1319.56,189.0,6,42,113
2293.0,1216.58,51.0,6,41,111
2538.0,1206.58,162.0,6,41,108
2364.0,1260.37,-509.0,6,41,108
2392.0,1260.24,156.0,6,42,113
2727.0,1322.84,288.0,6,41,108
2338.0,1297.85,-797.0,6,42,113
2544.0,1244.1,-1344.0,6,41,111
2161.0,1350.68,488.0,6,43,113
2401.0,1252.74,-991.0,6,42,113
2392.0,1337.38,601.0,6,39,111
2397.0,1245.66,688.0,6,41,111
2474.0,1380.67,503.0,5,39,111
2481.0,1271.43,-1181.0,5,41,111
2602.0,1317.67,-312.0,5,41,111
2565.0,1317.45,-123.0,7,41,111
2472.0,1400.42,701.0,7,39,110
2140.0,1394.59,-176.0,7,43,114
2469.0,1313.48,-1136.0,7,43,114
2893.0,1381.9,-753.0,7,41,111
2350.0,1432.66,601.0,7,44,122
2288.0,1397.64,-849.0,7,44,127
2344.0,1376.41,775.0,7,39,112
2175.0,1397.41,14.0,7,44,127
2267.0,1378.79,319.0,7,39,110
2338.0,1349.32,651.0,7,41,111
2164.0,1350.94,-1778.0,7,41,111
2312.0,1337.08,-268.0,6,44,127
2195.0,1354.2,488.0,6,41,111
2445.0,1345.76,-386.0,6,44,123
2302.0,1367.83,69.0,6,44,127
2208.0,1350.71,-1273.0,6,41,111
2518.0,1391.4,638.0,6,44,123
2288.0,1372.03,569.0,6,41,111
2324.0,1384.64,-844.0,6,39,113
2233.0,1368.32,551.0,6,39,113
2412.0,1400.9,-212.0,6,43,114
2173.0,1257.05,-1389.0,6,43,114
2236.0,1366.73,342.0,6,39,110
2664.0,1327.92,-382.0,6,41,111
2264.0,1336.23,-600.0,6,39,110
2136.0,1286.94,-505.0,6,41,111
2351.0,1341.32,-190.0,6,39,114
2857.0,1416.52,-24.0,6,44,127
2302.0,1373.84,301.0,6,39,115
2288.0,1400.55,573.0,6,41,111
2451.0,1321.29,-1350.0,5,41,111
2587.0,1325.6,213.0,5,41,111
2127.0,1321.89,-329.0,5,43,114
2401.0,1400.44,582.0,5,41,111
2451.0,1403.53,688.0,5,44,122
2291.0,1369.58,551.0,5,44,122
2073.0,1326.15,-388.0,5,44,122
2455.0,1369.07,-979.0,5,44,122
2338.0,1424.72,601.0,5,41,111
2906.0,1413.78,-997.0,5,41,111
2417.0,1359.07,-173.0,5,44,127
2351.0,1356.15,-336.0,5,39,115
2432.0,1398.78,-1020.0,5,44,127
2296.0,1345.62,-281.0,5,43,114
2445.0,1330.58,-349.0,5,41,111
2329.0,1367.51,664.0,5,41,111
2037.0,1321.01,688.0,6,44,122
2051.0,1203.08,-1586.0,5,39,115
2265.0,1273.68,-1020.0,4,44,122
