best,average,min,species,neurons,links
890.0,48.91,-1322.0,1,18,45
839.0,332.11,-562.0,1,18,45
1138.0,403.31,-722.0,1,18,45
1293.0,521.18,-397.0,1,18,45
1924.0,645.89,-432.0,1,18,45
1743.0,701.28,-346.0,1,18,45
1643.0,771.19,-281.0,1,18,45
1511.0,718.5,-477.0,2,18,45
1638.0,673.09,-292.0,3,19,46
1718.0,766.02,-257.0,5,20,47
1491.0,699.91,-257.0,9,21,48
1504.0,665.52,-1782.0,9,18,45
1329.0,700.4,-746.0,10,22,50
1554.0,830.1,-277.0,9,18,45
2128.0,759.74,-172.0,9,22,50
2092.0,820.48,-533.0,9,22,50
2243.0,890.86,-352.0,9,22,50
2413.0,860.85,-617.0,9,22,50
1636.0,878.32,-82.0,9,18,45
1732.0,748.74,-172.0,10,20,47
2836.0,842.41,-138.0,10,21,52
2354.0,787.75,-746.0,10,22,50
1713.0,741.97,-902.0,10,23,52
1630.0,808.6,-134.0,9,22,50
2268.0,841.85,-136.0,9,20,46
1980.0,850.25,-352.0,9,23,52
1778.0,843.06,-291.0,8,22,50
1741.0,725.12,-488.0,8,20,46
1804.0,837.42,-52.0,8,22,50
1898.0,886.99,-87.0,8,22,50
2209.0,871.44,-432.0,8,22,50
2093.0,842.36,-451.0,8,22,50
2168.0,893.79,-252.0,8,22,50
2299.0,931.42,-52.0,8,22,50
2298.0,916.57,-257.0,8,22,50
1853.0,915.31,78.0,8,20,45
2590.0,989.2,33.0,8,22,50
2148.0,896.75,-212.0,8,22,50
2435.0,875.97,-52.0,8,22,51
2889.0,851.85,-191.0,9,22,51
2654.0,910.66,33.0,9,22,51
2107.0,911.37,-293.0,9,22,51
2444.0,914.09,-314.0,9,22,51
2023.0,881.03,-482.0,9,20,51
1798.0,861.8,-307.0,9,24,53
2239.0,863.38,-108.0,9,22,51
2115.0,903.89,-167.0,9,21,46
2296.0,883.63,-91.0,9,24,53
2728.0,915.87,-52.0,9,22,51
2272.0,928.23,-599.0,9,24,54
2507.0,906.46,-52.0,9,24,54
2250.0,898.16,-227.0,9,22,51
2089.0,810.08,-527.0,9,25,55
2078.0,866.88,-237.0,9,22,53
2026.0,864.59,-477.0,9,25,55
2736.0,918.48,178.0,10,25,55
2111.0,914.11,-482.0,10,28,72
2227.0,883.01,-17.0,10,25,55
2197.0,874.44,-217.0,10,28,72
3399.0,1052.4,-247.0,10,28,72
2516.0,998.95,-52.0,9,22,52
2006.0,953.94,183.0,9,28,72
2199.0,1000.09,-2.0,9,22,52
2165.0,965.56,-52.0,9,28,72
2246.0,925.25,-302.0,9,25,54
2101.0,1039.38,-107.0,9,22,52
2302.0,1050.0,123.0,9,28,72
2240.0,1000.65,-52.0,9,22,52
2239.0,988.84,-52.0,9,25,54
2268.0,1021.07,-902.0,9,25,54
2904.0,1157.12,-51.0,9,22,53
2360.0,1161.32,-42.0,8,28,71
2068.0,1025.04,-130.0,8,21,53
2539.0,1082.47,102.0,8,22,53
2453.0,1020.34,33.0,8,28,71
2959.0,990.89,-197.0,8,28,71
3456.0,1051.06,-52.0,8,28,71
2069.0,996.18,-287.0,8,22,53
2072.0,1065.43,-52.0,7,22,53
2519.0,1131.62,-52.0,7,22,53
2017.0,1110.75,288.0,7,29,73
2829.0,1129.97,-52.0,7,25,53
2525.0,1122.73,298.0,7,29,73
2837.0,1157.3,-427.0,7,22,53
3309.0,1165.3,228.0,7,22,52
3082.0,1230.33,417.0,7,22,52
2361.0,1172.2,-112.0,7,25,53
2583.0,1118.51,-459.0,7,22,52
2694.0,1106.66,-399.0,7,25,53
2617.0,1137.94,48.0,7,22,52
2799.0,1136.15,205.0,7,22,52
2719.0,1151.21,-52.0,7,29,73
2828.0,1235.44,-52.0,7,22,53
2431.0,1139.19,-247.0,7,22,53
2907.0,1258.18,153.0,7,22,53
2489.0,1174.66,21.0,7,25,53
2749.0,1195.39,-419.0,7,22,54
2491.0,1147.5,165.0,7,29,73
2305.0,1213.35,323.0,7,22,54
