best,average,min,species,neurons,links
1310.0,88.87,-1217.0,1,44,18
2193.0,616.47,-482.0,1,44,18
1725.0,769.47,-752.0,1,44,18
2290.0,906.03,-822.0,1,44,18
2205.0,1074.99,-442.0,1,44,18
2362.0,1146.29,-1032.0,1,44,18
2163.0,1218.12,-212.0,1,44,18
2143.0,1187.08,-377.0,2,44,18
2202.0,1177.96,-217.0,3,44,19
2380.0,1142.49,-212.0,4,45,19
2088.0,1135.72,-732.0,4,45,19
2542.0,1240.02,3.00000000001,5,45,19
2113.0,1274.94,-352.0,7,46,20
2126.0,1268.38,-72.0,8,45,19
2448.0,1354.61,399.0,8,44,18
2776.0,1389.47,583.0,9,46,21
2149.0,1334.62,-53.0,9,47,21
2093.0,1264.91,-267.0,7,47,22
2413.0,1295.33,-527.0,8,47,22
2338.0,1388.9,748.0,8,48,23
2365.0,1320.84,-52.0,9,45,19
2393.0,1285.88,-372.0,9,45,19
2201.0,1272.98,84.0,8,47,25
2219.0,1347.34,-407.0,9,46,21
2190.0,1338.57,-362.0,8,45,19
2281.0,1357.95,-317.0,8,45,20
2061.0,1253.55,-52.0,6,45,19
2114.0,1351.46,-132.0,6,45,19
2235.0,1416.05,753.0,6,45,19
2244.0,1369.28,-57.0,6,48,27
2238.0,1280.1,-633.0,6,47,25
2267.0,1342.92,-507.0,6,46,22
2744.0,1351.29,-162.0,6,45,19
2119.0,1356.24,67.0,6,48,27
2553.0,1362.21,-152.0,6,45,19
2113.0,1367.55,93.0,6,44,21
2101.0,1294.1,-335.0,6,48,27
2064.0,1349.85,-567.0,6,48,27
2808.0,1386.92,-422.0,6,47,21
2184.0,1338.62,-1127.0,6,47,21
2115.0,1351.51,71.0,6,45,19
2574.0,1396.47,59.0,6,45,19
2214.0,1254.89,-342.0,6,45,19
2284.0,1414.0,368.0,6,45,19
2238.0,1349.03,-337.0,6,45,19
2241.0,1392.91,-652.0,6,45,20
2188.0,1350.48,383.0,7,45,20
2174.0,1256.28,-1002.0,7,44,21
2288.0,1327.31,-52.0,7,45,20
2413.0,1335.11,-347.0,7,47,22
2543.0,1365.89,-52.0,7,47,27
2312.0,1307.45,67.0,8,48,27
2281.0,1303.12,-477.0,8,46,22
2809.0,1347.98,-52.0,8,44,23
2172.0,1411.6,-13.0,8,48,27
2241.0,1349.08,-52.0,8,49,28
2026.0,1253.42,-207.0,8,47,21
2673.0,1365.12,-37.0,8,49,28
2289.0,1324.48,3.0,8,48,27
2363.0,1306.45,-662.0,8,47,27
2289.0,1366.68,93.0,8,44,24
2313.0,1330.07,-52.0,8,46,22
2213.0,1358.71,-82.0,8,48,27
2448.0,1417.11,-477.0,8,49,28
2269.0,1320.44,-170.0,9,45,21
2716.0,1401.67,-110.0,10,44,24
2327.0,1290.49,-702.0,10,48,27
2424.0,1344.25,-271.0,10,50,37
2414.0,1435.01,179.0,10,50,37
2513.0,1355.64,-207.0,10,48,28
2370.0,1324.01,59.0,11,44,24
2755.0,1311.05,-52.0,11,48,27
2306.0,1283.69,-677.0,11,44,24
2594.0,1473.7,83.0,11,49,28
2640.0,1373.06,-432.0,8,44,24
2619.0,1367.08,157.0,8,48,27
2636.0,1322.71,158.0,8,44,24
2494.0,1325.6,-427.0,8,48,28
2194.0,1356.93,193.0,8,46,22
2831.0,1292.31,151.0,8,47,27
2605.0,1268.23,-52.0,8,48,28
2285.0,1331.67,-477.0,8,50,37
2386.0,1296.46,-803.0,8,48,28
2113.0,1312.85,-322.0,8,46,22
2463.0,1347.05,-477.0,8,46,23
2388.0,1436.66,-127.0,8,46,23
2288.0,1438.57,153.0,8,49,38
2235.0,1370.75,683.0,8,50,37
2429.0,1385.53,-407.0,8,44,24
2349.0,1396.36,-52.0,8,48,27
2322.0,1363.93,-777.0,8,49,36
2549.0,1388.65,473.0,7,50,37
2373.0,1399.86,-267.0,7,49,38
2634.0,1373.12,298.0,8,49,36
2413.0,1384.0,78.0,7,49,43
2706.0,1415.68,-352.0,7,48,28
2688.0,1442.93,-477.0,7,48,28
2425.0,1413.1,-732.0,7,48,28
3187.0,1409.06,-116.0,6,49,36
2701.0,1347.74,-197.0,7,49,43
2309.0,1331.26,188.0,7,49,43
2772.0,1409.97,-52.0,7,48,28
2363.0,1390.11,-52.0,7,44,25
2413.0,1335.69,-182.0,7,48,29
2244.0,1391.61,193.0,7,49,43
2088.0,1354.19,-234.0,7,48,28
2702.0,1442.54,270.0,7,49,43
2453.0,1264.1,-317.0,7,48,28
2474.0,1323.82,-602.0,7,48,28
2406.0,1358.15,-106.0,7,49,43
2369.0,1468.45,473.0,7,48,28
2476.0,1298.82,83.0,7,48,28
2403.0,1337.55,-366.0,7,49,43
2324.0,1326.38,-247.0,7,50,38
2816.0,1444.8,-142.0,7,48,28
2454.0,1345.3,-262.0,7,48,28
2344.0,1441.31,418.0,7,51,39
2138.0,1378.07,718.0,7,49,43
2195.0,1273.16,115.0,7,48,28
2313.0,1372.53,-827.0,8,49,43
2611.0,1353.8,-52.0,7,49,43
2497.0,1392.45,308.0,7,49,43
2678.0,1339.63,-477.0,7,49,43
2268.0,1299.72,-462.0,8,49,43
2407.0,1429.32,-562.0,7,49,43
2399.0,1400.47,-497.0,7,52,41
2216.0,1385.08,-708.0,7,49,43
2573.0,1380.58,-477.0,7,49,43
2428.0,1348.32,-27.0,7,49,43
2543.0,1350.94,-252.0,7,49,43
2630.0,1353.09,-82.0,7,49,43
2309.0,1362.51,-187.0,6,44,26
2413.0,1471.76,684.0,5,49,43
2614.0,1351.76,-82.0,5,48,28
2664.0,1298.9,578.0,5,49,43
2704.0,1391.89,343.0,5,49,43
2394.0,1448.16,3.63797880709e-12,5,48,28
2508.0,1343.34,-912.0,5,50,49
2463.0,1403.62,130.0,5,49,43
2419.0,1385.74,-532.0,5,49,43
2313.0,1309.37,-257.0,5,48,28
2374.0,1414.37,-52.0,5,49,43
2108.0,1254.76,-337.0,5,48,28
2680.0,1243.49,-337.0,4,49,43
2443.0,1344.44,-512.0,4,49,43
2308.0,1353.68,-612.0,4,49,40
2360.0,1328.9,-1314.0,4,49,43
2760.0,1349.54,-113.0,4,48,28
2519.0,1397.08,403.0,5,49,43
2924.0,1506.27,-114.0,5,49,43
2324.0,1366.48,-305.0,5,48,28
2363.0,1425.43,113.0,5,48,28
2669.0,1452.51,613.0,5,52,59
2955.0,1530.36,-371.0,5,52,59
