best,average,min,species,neurons,links
1098.0,-38.62,-1082.0,1,38,105
1593.0,91.98,-1302.0,1,38,105
963.0,152.45,-747.0,1,38,105
1053.0,310.62,-822.0,1,38,105
913.0,323.15,-612.0,1,38,105
1248.0,470.89,-157.0,1,38,105
963.0,494.87,-52.0,1,38,105
1118.0,583.29,-52.0,3,38,105
1046.0,468.33,-772.0,8,39,106
1005.0,462.72,-317.0,9,40,106
983.0,505.94,-52.0,5,39,106
1128.0,519.87,-259.0,6,40,106
1106.0,481.81,-177.0,5,39,106
1431.0,491.05,-388.0,5,40,107
1609.0,454.06,-352.0,5,40,107
1098.0,439.76,-667.0,5,40,107
1398.0,521.21,-302.0,5,39,106
1168.0,463.0,-337.0,7,40,107
1543.0,518.96,-302.0,7,41,110
1123.0,448.17,-282.0,7,40,107
