best,average,min,species,neurons,links
1273.0,914.78,144.0,1,39,140
1274.0,929.9,144.0,1,39,140
1335.0,899.29,284.0,1,39,140
1484.0,974.19,424.0,1,39,140
2287.0,1074.02,592.0,1,39,140
1978.0,1166.19,424.0,1,39,140
2281.0,1212.03,303.0,1,39,140
2409.0,1194.95,345.0,3,39,140
2416.0,1173.77,144.0,9,39,140
2573.0,1219.85,214.0,7,41,141
2554.0,1352.17,704.0,9,41,141
2571.0,1329.3,529.0,9,41,143
2413.0,1252.51,564.0,10,41,141
2708.0,1334.29,646.0,9,41,142
2448.0,1319.14,750.0,10,41,142
2462.0,1258.17,625.0,8,40,142
2243.0,1329.35,704.0,7,42,144
2607.0,1419.71,474.0,9,43,144
2910.0,1370.95,739.0,9,41,143
2812.0,1430.58,373.0,9,41,143
2780.0,1322.13,564.0,9,41,143
2159.0,1245.27,618.0,8,40,144
2757.0,1455.88,590.0,8,41,142
2853.0,1359.76,389.0,8,43,148
2377.0,1300.43,144.0,8,41,142
2527.0,1359.44,555.0,8,40,144
2157.0,1306.35,494.0,8,41,143
2435.0,1331.9,564.0,8,43,148
2312.0,1310.44,739.0,8,41,143
2493.0,1338.77,581.0,8,40,144
2326.0,1279.93,494.0,8,41,143
2780.0,1281.86,368.0,9,41,143
2479.0,1312.83,704.0,9,43,148
2572.0,1344.45,613.0,9,41,143
2628.0,1286.07,730.0,8,41,143
2663.0,1292.08,144.0,8,41,142
2500.0,1333.42,695.0,8,41,141
2808.0,1283.72,424.0,9,41,141
2086.0,1300.79,684.0,9,41,141
2407.0,1270.54,613.0,9,40,145
2847.0,1315.65,704.0,10,42,144
2422.0,1290.83,529.0,8,40,145
2580.0,1349.9,683.0,9,41,143
2235.0,1269.38,485.0,9,44,153
2702.0,1271.66,368.0,9,41,143
2682.0,1275.56,704.0,9,43,144
2371.0,1309.67,284.0,9,41,144
2650.0,1287.09,590.0,9,41,144
2756.0,1337.35,214.0,9,45,154
2383.0,1235.49,564.0,9,40,145
2340.0,1290.13,395.0,8,41,144
2278.0,1283.52,529.0,9,42,142
2144.0,1223.81,424.0,9,45,154
1944.0,1233.03,144.0,9,42,148
2286.0,1279.74,809.0,9,47,162
3036.0,1256.73,599.0,9,46,156
2661.0,1334.63,709.0,8,47,160
2369.0,1292.08,403.0,8,46,155
