best,average,min,species,neurons,links
1535.0,938.11,-37.0,1,38,105
2335.0,1018.69,99.0,1,38,105
2490.0,1299.16,-2.0,1,38,105
2672.0,1681.78,55.0,1,38,105
3075.0,1721.06,71.0,1,38,105
2925.0,1811.51,78.0,1,38,105
2710.0,1746.13,16.0,1,38,105
2875.0,1816.34,27.0,2,38,105
2850.0,1353.14,5.0,4,38,105
2860.0,1634.56,98.0,7,40,107
2800.0,1789.64,9.0,9,40,107
2745.0,1790.08,20.0,9,39,106
2950.0,1820.39,238.0,7,41,108
2800.0,1827.69,15.0,6,41,109
2800.0,1998.61,3.0,6,38,105
2775.0,1873.41,364.0,6,38,105
2950.0,2051.99,91.0,7,42,110
2900.0,2090.67,485.0,7,42,108
2775.0,1950.23,329.0,8,42,110
2825.0,1999.94,344.0,8,42,109
2825.0,1889.19,21.0,9,44,116
2950.0,1932.4,340.0,9,38,105
2850.0,1919.1,114.0,9,38,105
2900.0,2006.31,261.0,8,38,105
2975.0,2120.95,89.0,8,42,110
2775.0,2022.42,28.0,8,41,107
2975.0,1983.46,126.0,8,42,110
3050.0,2059.73,92.0,8,41,107
2900.0,2013.11,163.0,9,41,107
2900.0,2040.66,138.0,8,41,107
2850.0,2002.35,84.0,8,38,105
2800.0,2096.17,307.0,8,38,105
3000.0,1906.02,150.0,8,44,116
2950.0,1987.28,144.0,8,42,110
2855.0,1979.58,15.0,9,41,108
2950.0,1947.16,48.0,9,41,108
2960.0,1977.16,355.0,9,43,117
3060.0,1913.38,167.0,9,42,110
2970.0,1979.83,490.0,9,42,110
2860.0,2015.22,-32.0,8,42,110
2820.0,1925.08,213.0,8,42,110
2825.0,2000.58,24.0,8,44,116
2850.0,1959.93,109.0,8,44,116
2910.0,2080.34,884.0,8,43,118
2800.0,1974.23,533.0,8,42,113
2900.0,2023.73,49.0,8,42,111
2750.0,1968.3,283.0,8,41,110
2850.0,1949.74,-11.0,8,44,116
2825.0,1927.68,100.0,8,42,111
2900.0,1999.42,64.0,8,41,110
3075.0,2140.42,1017.0,8,42,114
2975.0,2125.68,557.0,8,42,111
3025.0,2079.58,98.0,8,42,115
2975.0,2079.42,-32.0,8,41,110
2900.0,2051.26,227.0,8,42,114
2775.0,2013.57,48.0,8,42,114
2925.0,1977.32,423.0,8,42,114
3175.0,2053.97,269.0,8,41,109
2875.0,1942.75,5.0,8,41,112
2950.0,2134.74,247.0,8,43,117
2925.0,2088.91,56.0,8,44,116
2975.0,2063.92,425.0,8,38,105
2875.0,1992.59,256.0,8,42,115
2850.0,1958.32,5.0,8,43,117
2846.0,2115.16,169.0,8,42,115
2910.0,2061.32,137.0,8,43,112
2750.0,2076.14,150.0,8,41,112
2950.0,2068.67,278.0,8,42,116
2935.0,2116.0,224.0,8,38,105
2925.0,2001.82,345.0,8,42,116
3100.0,2160.3,129.0,8,43,112
2925.0,2112.91,117.0,8,41,111
3000.0,2137.79,664.0,8,42,118
3000.0,2156.93,112.0,8,43,112
3025.0,2084.54,132.0,8,43,119
2975.0,2096.66,155.0,8,41,112
2925.0,2155.09,23.0,9,44,116
2775.0,2000.74,583.0,9,42,119
2850.0,2104.66,260.0,9,42,119
3100.0,2076.6,106.0,8,42,119
2950.0,2095.48,251.0,8,42,119
2875.0,2122.6,203.0,8,43,120
3025.0,2044.53,240.0,8,42,119
2900.0,2087.58,104.0,8,44,122
3075.0,2059.28,112.0,7,44,122
2950.0,2152.0,47.0,7,43,112
3025.0,2049.47,292.0,7,43,112
2850.0,2080.75,197.0,7,44,122
2900.0,2036.17,19.0,7,47,120
2925.0,1973.73,8.52651282912e-14,7,44,123
2825.0,2060.05,256.0,7,44,123
2950.0,2039.59,59.0,7,43,112
2800.0,2065.96,66.0,7,43,112
2975.0,2135.19,112.0,7,47,120
2900.0,2024.12,69.0,7,41,112
3125.0,2154.66,159.0,7,44,123
2875.0,2062.4,12.0,8,42,119
3050.0,2117.92,417.0,8,44,123
3125.0,2085.22,73.0,8,44,123
2975.0,2131.53,35.0,8,45,130
3175.0,2027.71,73.0,8,44,123
3150.0,2175.69,352.0,8,44,123
3200.0,2074.88,-1.0,8,44,123
2975.0,2062.33,37.0,8,44,123
2967.0,2112.7,978.0,8,41,112
3000.0,2027.35,46.0,8,43,112
3050.0,2051.65,70.0,8,44,123
3135.0,2109.42,-26.0,8,41,112
2925.0,2115.82,323.0,8,44,123
2900.0,2054.53,45.0,8,44,123
2900.0,2229.17,1230.0,7,43,112
2925.0,2068.44,255.0,7,41,112
2975.0,2141.51,137.0,7,41,112
3050.0,2182.51,547.0,7,44,123
3075.0,2209.17,628.0,7,44,123
3075.0,2150.23,195.0,7,44,123
2925.0,2213.93,835.0,7,45,124
2925.0,2146.95,487.0,7,41,112
2975.0,2172.39,434.0,7,45,124
2950.0,2156.11,1139.0,7,42,117
3000.0,2204.55,133.0,7,45,124
3000.0,2135.62,1309.0,7,45,124
2875.0,2138.23,80.0,6,45,124
2950.0,2170.45,272.0,6,41,112
2910.0,2103.61,382.0,6,41,112
3050.0,2112.98,151.0,6,42,117
3000.0,2109.86,793.0,6,41,112
3075.0,2193.93,228.0,6,41,112
3100.0,2117.55,564.0,6,47,121
2985.0,2064.63,283.0,6,45,125
3050.0,2030.68,473.0,6,45,125
3075.0,2182.92,692.0,5,41,113
2945.0,2109.71,1180.0,5,41,113
2900.0,2145.19,527.0,5,45,132
2950.0,2063.7,222.0,4,45,125
2950.0,2194.82,637.0,4,45,132
3050.0,2088.06,-16.0,4,45,132
2925.0,2103.47,437.0,4,45,132
3091.0,2287.07,373.0,4,42,114
