best,average,min,species,neurons,links
1758.0,1035.24,606.0,1,21,38
5035.0,1072.25,542.0,1,21,38
4271.0,1413.69,542.0,1,21,38
7075.0,1826.82,638.0,3,21,38
9800.0,1876.83,642.0,3,21,38
8823.0,2033.04,642.0,3,21,38
11100.0,2503.28,706.0,3,21,38
10600.0,2431.39,642.0,3,21,38
10500.0,3085.19,642.0,3,21,38
9700.0,3229.29,642.0,3,21,38
11000.0,2823.53,674.0,3,21,38
10800.0,2691.66,574.0,3,21,38
10200.0,2770.47,642.0,3,21,38
11500.0,2955.51,742.0,3,21,38
11300.0,3202.03,542.0,4,21,38
9600.0,2704.79,642.0,3,21,38
11200.0,3299.66,542.0,3,21,37
10000.0,2830.64,642.0,4,21,37
10500.0,2759.61,542.0,4,21,37
10200.0,2644.1,642.0,6,21,37
10600.0,2887.1,642.0,4,21,37
9000.0,2900.35,542.0,5,21,37
9500.0,2829.48,542.0,6,21,37
10400.0,2246.13,642.0,7,21,37
7623.0,2681.84,642.0,8,23,41
9900.0,2461.06,442.0,7,21,37
8700.0,2770.17,642.0,7,21,37
10800.0,2623.68,542.0,8,21,37
9700.0,2774.31,642.0,8,21,37
10300.0,2446.6,642.0,8,21,37
10100.0,2584.98,642.0,8,21,37
6175.0,2504.6,642.0,8,22,41
10307.0,2808.79,742.0,8,21,37
10400.0,2661.69,742.0,8,21,37
10600.0,3001.74,642.0,8,21,37
10400.0,3108.33,642.0,9,21,37
9000.0,3063.14,742.0,8,21,37
10200.0,3284.6,638.0,9,21,37
9300.0,2988.7,742.0,9,23,42
10800.0,3281.64,606.0,9,21,37
9900.0,3141.98,742.0,9,21,37
7075.0,2638.14,742.0,9,21,37
9500.0,3128.15,742.0,9,21,37
9900.0,3197.65,642.0,9,21,37
9600.0,3226.6,742.0,9,21,37
11200.0,2817.16,606.0,9,21,37
10000.0,3024.3,706.0,9,21,37
10700.0,3412.45,706.0,9,21,37
10800.0,3118.68,630.0,9,21,37
9800.0,2907.67,542.0,9,27,56
9500.0,3027.92,642.0,9,27,56
10099.0,3096.02,706.0,9,24,42
9200.0,2807.37,770.0,9,25,48
9900.0,2554.48,638.0,8,21,38
9067.0,2721.76,642.0,8,21,38
10200.0,2916.3,806.0,8,21,38
9700.0,2842.42,642.0,8,21,38
9600.0,3095.19,742.0,8,27,56
8251.0,2820.36,542.0,8,21,38
10400.0,3006.63,742.0,8,24,42
9400.0,3110.64,506.0,8,27,56
8639.0,3241.55,742.0,8,21,38
10700.0,3531.49,606.0,8,28,58
10500.0,3815.51,742.0,8,28,58
10700.0,3532.56,874.0,8,28,58
9300.0,3159.65,802.0,8,28,58
11300.0,3785.75,742.0,8,28,58
11600.0,4182.3,642.0,8,28,58
10300.0,3564.99,670.0,8,28,58
10900.0,3923.87,806.0,8,28,57
11000.0,3980.05,642.0,8,28,57
11300.0,3751.02,642.0,8,28,57
10500.0,4270.38,542.0,8,28,58
9900.0,3669.69,642.0,9,28,58
10700.0,3855.31,738.0,8,28,58
10800.0,3382.64,802.0,8,28,58
11100.0,4017.2,742.0,9,28,58
10300.0,4279.09,742.0,9,28,58
10900.0,3383.72,606.0,9,28,58
11900.0,3547.23,742.0,9,28,58
10600.0,3425.84,642.0,8,28,58
10900.0,4162.35,706.0,8,28,58
11400.0,3987.33,706.0,8,28,58
11100.0,5209.4,742.0,8,28,58
10600.0,4563.48,742.0,7,28,58
10500.0,4585.44,742.0,7,28,58
10900.0,4940.45,638.0,7,28,58
10900.0,4893.45,742.0,7,28,58
11700.0,5437.42,834.0,7,28,58
11400.0,5416.98,742.0,7,21,37
11500.0,4955.2,838.0,6,21,37
12200.0,5547.16,542.0,6,21,37
12200.0,5602.33,774.0,6,21,37
10800.0,5232.15,774.0,6,21,37
11100.0,4960.26,442.0,6,21,37
11300.0,5053.98,642.0,6,28,58
11300.0,5443.71,674.0,6,28,58
11500.0,5567.82,806.0,6,21,36
12600.0,5342.31,742.0,6,21,36
11400.0,5072.74,742.0,6,21,37
11600.0,5573.61,642.0,6,21,37
11800.0,5440.29,706.0,6,21,37
12400.0,5680.01,742.0,6,21,37
12300.0,5535.84,642.0,6,21,36
11400.0,5637.08,906.0,6,29,59
11600.0,5695.5,742.0,6,21,36
11500.0,5325.06,706.0,6,24,51
11500.0,5491.63,642.0,6,29,59
12600.0,5134.3,742.0,6,21,36
11400.0,5549.5,542.0,6,29,59
11900.0,5519.53,642.0,6,21,36
12400.0,6026.55,674.0,5,21,36
11700.0,5845.04,742.0,5,21,36
11200.0,5710.61,670.0,5,24,52
11300.0,5909.03,742.0,5,21,36
11800.0,6123.25,642.0,5,24,52
11400.0,6198.68,542.0,5,21,36
11800.0,5836.21,642.0,5,21,37
11200.0,5814.1,902.0,5,21,37
12100.0,6050.14,574.0,5,30,61
11100.0,5848.13,642.0,5,21,37
11700.0,6012.55,906.0,5,21,37
11600.0,5906.43,706.0,5,21,37
11900.0,5965.64,742.0,5,21,37
10700.0,5698.84,542.0,5,30,61
11400.0,5669.73,506.0,5,22,38
11100.0,6237.35,642.0,5,22,38
12300.0,6841.22,806.0,6,22,38
11700.0,6019.77,706.0,6,22,38
11100.0,5478.93,742.0,6,30,62
11900.0,6212.27,642.0,6,22,38
12300.0,6173.81,742.0,6,22,38
12500.0,5873.48,642.0,6,22,38
12200.0,6243.83,642.0,6,22,38
11800.0,5868.37,642.0,6,22,38
12100.0,6135.2,742.0,6,30,62
11600.0,5730.7,374.0,6,30,62
12300.0,6260.07,642.0,6,30,62
12000.0,6062.99,642.0,6,22,38
12300.0,6087.56,1002.0,6,23,39
12400.0,5824.95,706.0,6,22,38
11700.0,5667.08,738.0,6,24,55
12000.0,5560.06,638.0,6,23,40
11700.0,6621.44,574.0,7,23,39
11700.0,5510.77,906.0,7,23,39
11700.0,5774.41,642.0,7,23,39
11600.0,5755.67,642.0,7,23,39
11200.0,5646.44,906.0,8,23,39
12000.0,5414.22,542.0,8,23,38
11800.0,5229.79,742.0,8,23,38
12200.0,5653.12,642.0,8,23,38
12600.0,5208.46,742.0,8,23,38
11900.0,5533.24,806.0,8,23,38
11700.0,6021.73,770.0,8,23,38
12400.0,5429.65,542.0,8,23,38
10900.0,4934.79,742.0,9,24,39
12000.0,4634.43,442.0,9,23,38
12400.0,5129.99,906.0,9,23,38
11800.0,5160.05,706.0,9,23,38
11500.0,5451.21,834.0,8,23,38
11700.0,5207.16,542.0,8,23,38
12000.0,5435.43,642.0,8,30,62
11700.0,5407.02,702.0,8,23,38
11600.0,5399.38,870.0,8,23,38
11800.0,5617.91,1002.0,8,23,38
11400.0,5242.26,642.0,8,23,38
11700.0,5079.44,674.0,8,23,38
11200.0,5231.19,806.0,8,23,38
11300.0,5385.73,806.0,8,23,38
11800.0,5028.97,774.0,8,23,38
11300.0,5041.63,742.0,8,30,63
11700.0,4776.27,742.0,8,30,63
11400.0,5139.41,742.0,8,23,38
12300.0,5716.32,742.0,8,23,38
11600.0,5343.17,642.0,8,23,38
11600.0,5666.05,506.0,8,23,38
11600.0,5568.07,770.0,8,23,38
11000.0,5130.25,642.0,8,30,63
12900.0,5264.37,838.0,8,23,38
11500.0,5466.57,870.0,8,30,63
12300.0,5226.95,806.0,8,23,38
11000.0,5233.46,906.0,8,23,38
11800.0,5677.06,742.0,8,23,38
11600.0,5081.14,742.0,8,30,63
10800.0,4998.7,642.0,8,32,71
11000.0,5498.39,642.0,8,30,63
11000.0,5401.33,706.0,8,30,64
10900.0,5775.07,706.0,8,24,58
9900.0,5071.54,742.0,8,23,38
10900.0,5512.12,742.0,7,23,38
11600.0,5689.04,602.0,7,23,38
11600.0,5111.93,742.0,7,23,38
11100.0,5993.93,706.0,8,23,38
12100.0,5351.94,770.0,8,23,38
11500.0,5291.58,606.0,8,34,96
11200.0,5495.28,506.0,8,23,38
11300.0,5147.4,742.0,8,23,38
11700.0,5302.68,642.0,8,23,38
11700.0,5575.94,1038.0,8,23,39
11300.0,5242.39,738.0,8,35,79
11100.0,5327.05,742.0,9,23,39
11200.0,5384.4,642.0,9,35,79
11100.0,5181.08,598.0,9,24,58
11700.0,5928.03,742.0,9,35,79
11800.0,5334.81,806.0,9,23,39
11000.0,5455.9,638.0,9,24,58
11300.0,5602.44,642.0,9,23,39
11400.0,5478.43,706.0,9,23,39
11600.0,5992.0,874.0,9,35,79
11100.0,5947.83,642.0,8,23,39
11000.0,6211.15,906.0,8,35,79
11000.0,5797.78,906.0,8,35,79
11000.0,5401.51,806.0,8,23,39
11600.0,5627.15,806.0,8,35,79
11600.0,5469.45,442.0,8,23,39
12600.0,5606.63,542.0,8,23,39
10700.0,5143.18,642.0,8,35,80
11500.0,5190.06,966.0,8,37,100
11600.0,5682.69,806.0,8,35,80
11800.0,6012.73,642.0,8,35,80
11300.0,5617.09,806.0,8,23,40
10800.0,5603.59,742.0,8,23,40
12200.0,5513.62,902.0,9,35,80
10803.0,5527.91,706.0,9,23,40
11800.0,5250.53,706.0,9,23,40
11600.0,5939.28,742.0,9,35,80
10700.0,5086.07,902.0,9,38,100
10600.0,5271.16,742.0,10,23,40
11200.0,5440.36,734.0,10,23,40
11200.0,4944.31,870.0,9,23,40
traininig time: 9169.51335001
