best,average,min,species,neurons,links
1202.0,107.51,-685.0,1,28,18
1812.0,527.49,-694.0,1,28,18
1747.0,779.87,-263.0,1,28,19
2440.0,915.84,-681.0,1,28,18
2555.0,1123.32,-138.0,1,28,18
2882.0,1226.26,-614.0,1,28,19
2872.0,1315.37,-198.0,2,28,18
2507.0,1151.52,-133.0,2,28,19
2762.0,1434.13,-67.0,3,28,19
2857.0,1336.52,107.0,3,28,19
2442.0,1463.31,-202.0,3,29,19
2872.0,1436.39,-209.0,4,28,19
2392.0,1317.29,-436.0,4,29,19
2412.0,1403.66,92.0,5,29,20
2922.0,1349.31,-408.0,5,30,21
2602.0,1412.83,-129.0,6,32,24
2382.0,1346.0,-918.0,7,30,20
2442.0,1485.12,-610.0,8,31,24
2822.0,1455.7,-37.0,6,31,24
2822.0,1587.44,242.0,7,30,21
2532.0,1380.82,-188.0,7,30,21
2852.0,1473.27,-216.0,7,31,23
2537.0,1570.97,-156.0,8,28,18
2812.0,1388.08,-739.0,8,28,18
2692.0,1539.8,-732.0,8,31,26
2902.0,1543.23,-585.0,8,29,21
2802.0,1439.76,-638.0,8,29,21
3022.0,1499.15,-588.0,9,30,22
2732.0,1510.3,-638.0,9,31,23
2502.0,1531.99,96.0,9,32,27
3137.0,1382.71,-163.0,9,32,27
2417.0,1358.5,-623.0,9,29,21
2427.0,1427.84,-563.0,10,31,23
2622.0,1455.1,-28.0,9,31,27
2377.0,1354.47,-698.0,9,28,18
2625.0,1471.62,-387.0,9,31,23
2447.0,1508.04,-113.0,10,33,29
2717.0,1378.7,-677.0,9,29,20
2587.0,1401.03,-333.0,7,31,27
2642.0,1523.62,-123.0,7,29,21
2622.0,1664.43,-8.0,7,32,28
2757.0,1553.42,-421.0,7,32,28
2417.0,1636.67,337.0,6,32,28
3087.0,1534.32,-222.0,6,31,24
2412.0,1570.23,157.0,6,29,22
2477.0,1525.28,17.0,6,32,28
2742.0,1696.31,-63.0,6,29,22
2657.0,1602.23,-17.0,6,32,29
2857.0,1606.78,-146.0,6,31,24
2852.0,1705.51,307.0,6,29,20
3027.0,1668.81,-552.0,6,31,24
2752.0,1653.99,-103.0,7,29,22
2942.0,1569.46,42.0,6,33,30
2997.0,1691.05,112.0,6,31,24
2652.0,1660.11,417.0,6,29,20
2642.0,1701.03,57.0,6,32,29
2967.0,1775.74,-228.0,6,33,30
2757.0,1672.74,-603.0,6,32,29
2567.0,1705.01,-93.0,6,32,29
2847.0,1737.84,-623.0,6,29,22
2872.0,1706.92,-421.0,6,31,24
2757.0,1659.62,-556.0,6,32,29
2672.0,1716.19,-28.0,6,32,29
2977.0,1631.46,77.0,6,31,22
2972.0,1705.82,377.0,6,29,20
2617.0,1694.42,-163.0,6,31,25
2802.0,1656.13,-58.0,6,31,24
2847.0,1588.61,-193.0,6,29,20
2797.0,1628.08,-360.0,6,29,20
2612.0,1708.18,353.0,6,29,21
2582.0,1654.83,-178.0,6,31,25
2697.0,1568.41,157.0,6,31,25
2822.0,1623.18,-753.0,6,30,22
3012.0,1618.0,-697.0,7,29,21
2672.0,1506.46,-148.0,7,29,21
2902.0,1659.24,517.0,7,32,30
3062.0,1645.42,-576.0,7,29,21
2692.0,1560.76,-625.0,7,31,26
2662.0,1646.47,-193.0,7,29,21
2817.0,1639.41,-624.0,7,30,21
3032.0,1745.91,-156.0,7,30,21
2887.0,1654.89,-623.0,7,30,22
3047.0,1744.35,409.0,7,31,27
3397.0,1667.74,-310.0,7,31,27
2872.0,1580.2,-188.0,7,30,23
2870.0,1746.72,-53.0,7,30,23
3042.0,1615.63,192.0,8,33,32
2527.0,1571.96,108.0,8,30,23
3077.0,1647.39,-597.0,8,34,34
