best,average,min,species,neurons,links
1082.0,-86.76,-833.0,1,22,6
1102.0,486.92,-868.0,1,22,7
1242.0,680.25,-798.0,1,22,7
1242.0,775.81,-1018.0,1,22,7
1312.0,926.71,-923.0,1,23,8
1312.0,863.48,-1088.0,2,23,8
1502.0,952.41,-1108.0,2,23,8
1502.0,821.16,-1108.0,2,23,8
1502.0,891.33,-838.0,3,23,8
1502.0,909.44,-958.0,3,23,8
1502.0,865.36,-908.0,3,23,8
1502.0,882.27,-838.0,3,23,8
1502.0,737.99,-998.0,3,23,8
1502.0,910.25,-528.0,3,23,8
1502.0,995.75,-868.0,3,23,8
1502.0,887.1,-908.0,3,23,8
1502.0,1007.71,-1123.0,3,23,8
1502.0,969.45,-1063.0,3,23,8
1502.0,964.52,-908.0,3,23,8
1502.0,993.42,-908.0,3,23,8
1502.0,994.8,-908.0,3,23,8
1502.0,985.1,-748.0,3,23,8
1502.0,1062.13,-993.0,4,23,8
1502.0,1017.29,-948.0,4,23,8
1502.0,1072.31,-868.0,4,23,8
1502.0,1025.59,-878.0,4,23,8
1502.0,1134.59,-878.0,5,23,8
1502.0,1036.68,-691.0,5,23,7
1502.0,1164.74,-358.0,5,23,8
1502.0,1082.41,-1078.0,5,23,7
1502.0,1162.3,-913.0,6,23,8
1502.0,1087.46,-436.0,8,23,8
1502.0,1002.95,-995.0,7,24,11
1502.0,1093.75,-228.0,8,24,11
1502.0,767.37,-908.0,8,24,12
1502.0,1009.72,-978.0,9,24,12
1502.0,940.77,-988.0,9,24,12
1502.0,1124.08,-908.0,10,24,12
1502.0,907.05,-908.0,10,24,12
1522.0,1198.87,-848.0,6,25,12
1522.0,1077.47,-868.0,6,25,12
1522.0,1114.27,-808.0,6,25,12
1522.0,1137.92,-698.0,6,25,12
1522.0,1112.87,-993.0,7,25,12
1522.0,1173.3,-608.0,5,25,12
1522.0,1113.28,-1108.0,5,25,12
1522.0,1141.0,-1088.0,5,25,12
1522.0,1168.73,-868.0,5,25,12
1522.0,1230.23,-344.0,6,25,12
1522.0,1149.0,-458.0,6,25,12
1522.0,1173.21,-468.0,6,25,12
1522.0,1115.99,-808.0,6,25,11
1522.0,1104.35,-668.0,6,25,12
1587.0,1103.62,-868.0,6,25,17
1653.0,1123.5,-908.0,6,25,17
1904.0,1181.61,-868.0,6,25,18
1647.0,1207.43,-308.0,6,25,18
1962.0,1137.24,-878.0,6,25,17
1581.0,1188.39,-728.0,7,25,17
1637.0,1135.38,-598.0,7,25,16
1632.0,1126.62,-958.0,7,25,16
1682.0,1287.68,-803.0,7,25,16
1897.0,1284.98,-457.0,7,25,16
1887.0,1304.67,-338.0,7,25,16
1792.0,1230.56,-487.0,8,25,16
1722.0,1173.5,-308.0,8,25,16
1892.0,1211.49,-288.0,8,25,16
1732.0,1124.21,-600.0,8,25,15
1522.0,1092.97,-461.0,8,25,10
1612.0,1202.76,-489.0,8,25,16
1522.0,1210.55,-708.0,9,25,10
1697.0,1103.26,-448.0,9,25,16
1797.0,1231.1,-1108.0,10,25,16
1607.0,1084.24,-1003.0,9,25,16
1972.0,1192.67,-545.0,9,25,16
1947.0,1212.2,-499.0,9,25,15
1732.0,1154.03,-476.0,8,25,15
1837.0,1168.19,-251.0,8,25,15
1987.0,1199.48,-487.0,8,25,15
1892.0,1257.46,-344.0,8,25,15
2152.0,1233.08,42.0,8,25,15
1971.0,1093.72,-503.0,9,25,15
2192.0,1201.53,-222.0,8,25,15
2157.0,1255.73,-470.0,8,25,15
1632.0,1166.22,-453.0,8,25,16
1729.0,1198.01,-578.0,8,23,11
2157.0,1258.02,-593.0,8,25,15
1827.0,1159.31,-279.0,8,25,15
2037.0,1214.19,-273.0,8,25,15
1617.0,1196.23,-583.0,8,25,15
1707.0,1246.45,-433.0,8,25,16
1702.0,1232.02,-158.0,8,25,16
1742.0,1221.97,-918.0,7,23,11
1712.0,1277.13,-103.0,7,25,16
1637.0,1232.07,-1108.0,7,25,16
1623.0,1277.07,-477.0,7,25,16
1697.0,1311.22,-838.0,7,25,16
1711.0,1310.4,182.0,7,23,12
1737.0,1255.37,-289.0,7,23,12
1878.0,1242.94,-808.0,7,23,12
1811.0,1319.79,-128.0,7,25,16
1707.0,1334.41,332.0,7,25,16
1902.0,1278.49,-838.0,7,25,16
1867.0,1316.51,-218.0,7,25,16
1887.0,1309.3,-278.0,7,25,16
1712.0,1320.55,72.0,7,25,16
1927.0,1305.5,-968.0,6,25,16
1706.0,1289.19,332.0,6,23,12
1767.0,1252.19,-248.0,6,25,16
1722.0,1281.14,132.0,6,25,16
1796.0,1141.08,-838.0,6,23,12
1726.0,1335.56,452.0,6,23,12
1947.0,1304.41,47.0,6,23,13
1672.0,1216.62,-668.0,7,25,16
1607.0,1211.63,-143.0,6,23,13
1587.0,1272.56,-908.0,7,25,16
1787.0,1277.7,-118.0,7,25,16
1692.0,1269.26,242.0,7,23,13
1832.0,1186.79,-83.0,7,23,13
1912.0,1134.33,172.0,7,24,14
1945.0,1170.16,-68.0,7,25,16
1888.0,1239.13,-58.0,7,25,16
1750.0,1158.47,-548.0,7,25,16
1852.0,1230.37,-73.0,7,25,16
1882.0,1235.25,-658.0,7,25,16
1812.0,1186.46,-278.0,8,25,16
1902.0,1219.94,-415.0,8,24,15
1987.0,1176.23,-278.0,8,28,32
2027.0,1163.63,-348.0,7,28,32
1952.0,1321.43,-32.0,7,26,24
1952.0,1303.27,-378.0,8,28,32
2342.0,1265.07,312.0,8,28,32
2062.0,1299.55,197.0,8,28,32
2047.0,1250.52,-568.0,9,28,32
2092.0,1259.93,-173.0,9,28,32
1837.0,1225.46,22.0,9,28,32
2067.0,1211.52,-728.0,10,26,24
2232.0,1132.85,-48.0,10,26,24
1977.0,1169.32,-379.0,10,30,36
2132.0,1269.47,221.0,9,26,25
2097.0,1245.58,-168.0,8,30,36
2192.0,1231.27,62.0,9,30,36
2082.0,1284.88,-103.0,9,30,36
2297.0,1254.15,-378.0,8,28,34
2272.0,1335.66,-113.0,8,28,35
2542.0,1369.98,558.0,8,28,35
2192.0,1309.45,-153.0,8,28,35
1997.0,1249.66,-458.0,9,28,35
2012.0,1256.84,192.0,8,29,39
2222.0,1290.54,444.0,8,30,36
2042.0,1291.22,-518.0,7,30,36
1907.0,1281.66,12.0,7,27,21
2402.0,1294.85,-583.0,8,29,40
2137.0,1389.98,542.0,7,29,39
2047.0,1288.16,-368.0,6,29,40
1932.0,1345.8,417.0,6,29,40
2052.0,1324.61,47.0,6,29,40
2077.0,1359.05,470.0,6,29,40
2517.0,1418.77,215.0,6,29,40
2287.0,1373.51,302.0,6,29,40
2162.0,1304.9,437.0,6,29,41
2442.0,1435.04,111.0,6,29,41
2101.0,1421.19,433.0,6,29,41
2552.0,1398.56,276.0,6,29,41
2287.0,1352.62,177.0,6,29,41
2302.0,1335.48,-184.0,6,29,41
2192.0,1323.29,483.0,6,27,22
2137.0,1427.51,420.0,6,29,41
2312.0,1344.17,521.0,6,29,41
2147.0,1303.49,530.0,6,29,41
2462.0,1410.26,543.0,6,29,41
2192.0,1352.15,192.0,6,29,41
2262.0,1393.29,438.0,6,29,41
2012.0,1421.42,515.0,6,27,22
2192.0,1447.69,567.0,6,27,22
2437.0,1376.66,382.0,6,29,41
2127.0,1379.47,537.0,6,26,25
2212.0,1414.95,422.0,6,26,25
2192.0,1406.57,502.0,6,26,25
2332.0,1449.49,387.0,6,29,41
2122.0,1527.84,502.0,6,28,32
2207.0,1438.75,142.0,6,26,26
2392.0,1437.05,107.0,6,27,21
2257.0,1463.62,498.0,6,29,41
2172.0,1515.4,598.0,6,28,32
2042.0,1416.8,342.0,5,26,26
2297.0,1486.8,377.0,5,29,42
2332.0,1536.05,372.0,5,28,33
2472.0,1507.64,475.0,6,29,42
2382.0,1479.72,421.0,6,28,33
2267.0,1513.71,282.0,5,28,33
2282.0,1431.6,207.0,5,28,35
2282.0,1614.31,512.0,5,28,35
2392.0,1516.23,272.0,5,28,22
2327.0,1583.89,460.0,5,29,43
2432.0,1543.96,142.0,5,28,35
2382.0,1475.17,307.0,5,28,35
2282.0,1500.61,457.0,5,28,35
2477.0,1437.03,22.0,5,29,44
2432.0,1465.81,315.0,5,28,35
2432.0,1546.32,485.0,6,28,35
2282.0,1377.9,485.0,6,28,35
2482.0,1311.55,427.0,6,28,35
2332.0,1404.95,555.0,6,28,35
2432.0,1390.01,314.0,6,28,35
2382.0,1420.51,572.0,6,28,35
2232.0,1422.94,542.0,6,28,35
2432.0,1376.81,507.0,6,28,35
2352.0,1426.65,612.0,6,29,44
2332.0,1438.34,471.0,6,28,35
2262.0,1447.49,402.0,7,27,29
2182.0,1299.15,-203.0,7,28,36
2262.0,1287.13,462.0,7,29,44
