best,average,min,species,neurons,links
1742.0,-98.89,-758.0,1,28,171
1662.0,283.06,-758.0,1,28,171
2027.0,714.82,-373.0,1,28,171
2467.0,943.1,-408.0,1,28,171
2602.0,1312.26,-358.0,1,28,171
2687.0,1240.2,-603.0,2,28,171
3207.0,1187.09,-253.0,2,29,172
3352.0,1510.59,2.0,3,29,172
3107.0,1891.64,138.0,2,29,171
2947.0,1802.72,-317.0,3,29,171
3357.0,1408.91,-342.0,3,29,171
3177.0,1696.34,12.0,3,29,173
2884.0,1653.91,-610.0,3,29,171
2672.0,1675.4,-8.0,3,29,171
2912.0,1619.0,-60.0,3,29,173
2887.0,1829.19,-353.0,4,29,171
2887.0,1437.8,-118.0,4,29,171
3032.0,1750.04,-285.0,4,29,171
2917.0,1805.52,-528.0,3,29,171
2987.0,1947.14,412.0,4,29,171
3207.0,1784.97,-8.0,4,29,174
3147.0,1827.53,-88.0,4,29,174
2912.0,1808.75,202.0,5,30,177
2767.0,1749.8,-383.0,5,29,171
3072.0,1876.67,108.0,5,29,174
3177.0,1900.03,247.0,5,29,174
2992.0,1889.36,-3.0,5,29,171
2828.0,1781.37,-633.0,5,29,171
3067.0,1953.86,-188.0,8,29,174
3442.0,1879.68,-128.0,8,29,172
3052.0,1924.07,-492.0,10,29,173
3242.0,1864.5,457.0,10,29,173
3287.0,1862.93,-488.0,12,29,173
2982.0,1782.52,87.0,12,29,172
2977.0,1844.89,187.0,13,31,180
2797.0,1840.94,457.0,13,29,172
2927.0,1805.42,181.0,11,31,180
2882.0,1928.12,-548.0,11,29,171
3022.0,1893.33,290.0,11,29,171
2987.0,1823.11,96.0,11,29,173
2942.0,2003.27,-258.0,11,29,173
3152.0,1980.01,92.0,11,32,175
3102.0,1868.29,57.0,11,32,183
2982.0,1881.69,407.0,10,32,183
3007.0,1752.23,-312.0,10,32,183
2892.0,1877.65,152.0,11,29,172
3287.0,1833.21,457.0,9,29,172
3007.0,1813.15,-133.0,9,29,171
3222.0,1873.12,-56.0,8,29,171
2927.0,1935.14,-18.0,8,29,172
3057.0,1923.87,-18.0,8,31,182
3052.0,1981.22,-74.0,8,31,182
2992.0,1896.34,89.0,8,29,172
3102.0,1882.45,-518.0,8,35,195
3017.0,2002.41,-547.0,8,29,172
2927.0,1916.21,-98.0,8,32,183
2912.0,1857.76,80.0,8,29,172
3172.0,1869.03,115.0,8,29,172
3152.0,1911.77,95.0,8,29,172
2972.0,1916.78,107.0,8,29,171
3077.0,1905.21,137.0,8,32,183
3202.0,1915.85,51.0,8,32,183
3447.0,1916.29,324.0,8,29,172
2962.0,1816.27,-173.0,8,35,194
3072.0,1982.76,517.0,8,29,172
3187.0,1783.4,-193.0,8,30,173
3247.0,1914.98,-83.0,8,30,173
2902.0,1828.39,-202.0,8,29,172
3132.0,1841.34,-28.0,8,32,183
3047.0,1917.38,162.0,8,30,174
3072.0,1798.82,122.0,8,29,172
3277.0,1814.09,322.0,8,30,172
3372.0,1908.98,-213.0,8,31,182
2967.0,1869.88,-177.0,8,30,175
3092.0,1940.95,237.0,8,30,175
3162.0,1771.26,32.0,8,29,172
2997.0,1884.99,-68.0,8,32,183
3022.0,1930.72,-42.0,8,31,182
2982.0,1938.78,137.0,8,29,172
3182.0,1941.91,207.0,8,30,176
2977.0,1984.12,172.0,8,32,183
2977.0,1853.3,332.0,8,30,176
3022.0,2063.0,645.0,9,30,176
2767.0,1866.07,76.0,9,30,176
3092.0,1962.17,392.0,9,29,172
3132.0,1738.8,-148.0,9,29,172
3277.0,1891.88,-215.0,9,29,173
3217.0,1889.58,267.0,9,29,173
2942.0,1929.95,131.0,10,31,183
3177.0,1815.57,-260.0,10,30,177
3042.0,1870.23,314.0,10,32,183
2972.0,1839.23,297.0,10,29,174
3212.0,1806.29,37.0,10,29,174
3472.0,1898.59,-218.0,9,29,174
2862.0,1914.13,-141.0,9,29,174
3452.0,1960.65,-452.0,9,33,186
2997.0,1918.61,360.0,9,35,194
3092.0,1914.73,512.0,8,29,174
3037.0,1945.27,693.0,8,30,176
2962.0,1975.69,70.0,9,29,175
3307.0,1741.33,-113.0,9,29,175
3217.0,1915.1,82.0,9,29,175
2912.0,1868.65,-220.0,9,29,175
3207.0,1897.22,-217.0,8,29,175
3282.0,1959.93,-193.0,7,29,175
3192.0,1977.15,132.0,6,30,176
3722.0,2076.19,-108.0,6,29,175
3092.0,1979.48,-59.0,6,29,176
2937.0,1911.83,112.0,6,29,176
3492.0,1959.55,-12.0,6,33,186
2877.0,1905.24,-553.0,6,33,186
3167.0,1902.56,-288.0,6,29,176
3237.0,2034.9,-379.0,6,30,177
3112.0,1988.85,-30.0,6,30,177
3502.0,2061.21,46.0,6,30,177
3562.0,1929.05,147.0,5,30,177
3227.0,1984.37,193.0,5,30,177
3312.0,1998.67,247.0,5,30,177
3352.0,2114.7,527.0,5,30,177
3092.0,1949.45,178.0,5,31,178
3267.0,2011.9,75.0,5,30,177
3272.0,2038.96,22.0,5,30,177
3357.0,2067.93,-133.0,5,30,177
3042.0,2070.56,94.0,5,30,178
3412.0,2039.02,-268.0,5,30,176
3272.0,1934.61,152.0,4,30,176
3247.0,2198.87,299.0,4,33,188
3192.0,1965.6,-15.0,4,30,177
3202.0,2131.86,80.0,4,33,188
3192.0,2056.45,522.0,4,30,176
3187.0,2073.36,-328.0,4,30,176
3522.0,2235.37,502.0,4,30,176
3197.0,2232.41,1002.0,4,30,176
3237.0,2194.41,458.0,4,33,188
3147.0,2183.66,-27.0,4,30,176
3172.0,2155.94,158.0,4,30,176
3052.0,2224.42,249.0,4,30,176
3207.0,2173.53,7.0,4,30,176
3532.0,2095.73,191.0,4,30,176
3382.0,2240.59,242.0,4,30,176
3442.0,2258.47,567.0,4,30,176
3647.0,2303.92,-148.0,4,30,176
3222.0,2302.31,317.0,4,30,176
3332.0,2194.31,-327.0,4,30,176
3407.0,2175.84,-113.0,4,30,176
3312.0,2235.37,862.0,4,33,188
3407.0,2215.97,582.0,4,33,188
3492.0,2128.61,57.0,4,33,188
3817.0,2229.68,677.0,4,33,188
3367.0,2274.14,-33.0,4,30,175
3537.0,2295.34,42.0,4,30,175
3287.0,2376.24,678.0,4,33,188
3477.0,2227.22,122.0,4,31,176
3452.0,2285.61,397.0,4,31,176
3217.0,2197.45,-58.0,4,31,176
3607.0,2252.21,337.0,4,31,176
3252.0,2206.26,302.0,4,31,175
3227.0,2245.13,432.0,5,31,175
3857.0,2186.02,707.0,4,31,175
3372.0,2209.51,342.0,4,31,175
3477.0,2229.62,558.0,4,31,175
3567.0,2285.06,67.0,4,31,175
3432.0,2288.05,697.0,4,39,211
3412.0,2209.4,87.0,4,33,188
3522.0,2252.94,1052.0,4,31,176
3587.0,2314.49,902.0,4,31,176
3327.0,2187.64,577.0,4,31,176
3357.0,2181.73,-618.0,4,31,176
3632.0,2379.63,1022.0,4,31,176
3362.0,2282.14,866.0,4,31,177
3312.0,2198.32,387.0,4,31,177
3447.0,2176.13,-23.0,4,31,177
3552.0,2176.31,-164.0,4,31,177
3637.0,2258.15,242.0,4,31,177
3412.0,2304.82,1117.0,4,31,177
3302.0,2166.38,135.0,4,31,177
3437.0,2343.79,837.0,4,31,177
3852.0,2257.75,182.0,4,31,177
3427.0,2235.17,397.0,5,39,212
3367.0,2105.14,-38.0,5,31,177
3172.0,2029.96,-318.0,5,31,177
3467.0,2057.01,-580.0,6,31,177
3747.0,2120.17,-223.0,6,31,177
3307.0,2180.76,287.0,6,31,177
3472.0,2187.24,21.0,6,31,177
3702.0,2364.83,1128.0,7,31,177
3562.0,2197.93,-15.0,7,31,177
3567.0,2312.46,397.0,7,31,177
3477.0,2162.17,612.0,7,34,190
3337.0,2190.55,121.0,7,31,177
3792.0,2195.86,-593.0,7,31,177
3197.0,2264.35,-653.0,7,34,190
3632.0,2293.49,692.0,7,31,177
3557.0,2304.2,223.0,7,31,177
3807.0,2241.97,227.0,7,31,177
3587.0,2362.21,937.0,7,31,177
3567.0,2203.75,107.0,7,31,176
3587.0,2176.53,-32.0,7,31,176
3617.0,2296.35,973.0,7,33,182
3602.0,2241.83,464.0,7,31,176
3497.0,2203.27,712.0,7,31,177
3332.0,2253.14,672.0,8,31,177
3527.0,2322.15,105.0,8,31,177
3117.0,2112.44,444.0,8,35,201
3277.0,2231.9,-53.0,8,31,177
3337.0,2176.7,222.0,8,34,190
3227.0,2173.17,169.0,8,34,190
3647.0,2196.83,356.0,8,31,177
3607.0,2198.45,67.0,8,31,177
3257.0,2293.2,22.0,8,31,177
3432.0,2282.71,-365.0,8,31,178
3572.0,2276.64,662.0,7,31,178
3567.0,2280.31,527.0,7,31,178
3587.0,2275.9,322.0,7,31,178
3652.0,2241.12,607.0,6,31,178
3342.0,2254.81,832.0,6,31,178
3422.0,2335.86,492.0,6,31,178
3302.0,2189.55,111.0,6,31,178
3427.0,2236.92,-234.0,6,33,182
3532.0,2214.33,582.0,6,44,244
3422.0,2261.14,-288.0,6,31,178
3377.0,2284.47,397.0,6,31,178
3352.0,2221.31,-78.0,6,31,178
3402.0,2180.66,122.0,6,31,178
3772.0,2242.68,752.0,6,31,178
3557.0,2333.13,1112.0,6,31,178
3667.0,2251.65,887.0,6,31,178
3882.0,2309.37,1082.0,6,31,178
3897.0,2330.62,1177.0,6,31,178
3397.0,2245.19,497.0,6,31,178
traininig time: 8741.22498918
