best,average,min,species,neurons,links
1069.0,89.16,-535.0,1,28,171
1807.0,416.9,-466.0,1,28,171
1817.0,530.39,-501.0,1,28,171
1967.0,595.73,-466.0,1,28,171
1989.0,644.52,-576.0,1,28,171
1897.0,720.44,-540.0,1,28,171
1827.0,846.37,-466.0,1,28,171
2003.0,912.81,26.0,2,28,171
2123.0,947.13,-466.0,4,28,171
1943.0,938.92,-2.0,7,29,172
1928.0,911.11,-222.0,8,30,173
1988.0,959.24,-187.0,8,30,173
2088.0,1059.19,-185.0,10,30,173
1862.0,933.41,-154.0,6,30,173
2108.0,1054.28,-162.0,8,31,174
2088.0,1052.87,-220.0,7,31,176
2058.0,1029.44,-166.0,8,31,176
2058.0,1194.82,12.0,8,30,173
1988.0,1212.97,-170.0,8,31,176
1923.0,1205.67,-466.0,8,30,172
2153.0,1126.83,-644.0,8,30,174
1897.0,1135.44,62.0,8,30,173
2093.0,1212.24,40.0,8,30,172
2088.0,1135.23,-143.0,8,30,173
2043.0,1215.94,-66.0,8,32,177
2478.0,1044.21,-413.0,9,30,172
2028.0,1140.88,-34.0,8,31,176
1958.0,1160.15,-160.0,9,29,172
1958.0,1170.95,-66.0,9,31,176
2093.0,1214.74,-88.0,9,31,176
2073.0,1181.4,94.0,6,32,177
2093.0,1138.31,34.0,8,31,174
2093.0,1130.22,-66.0,8,29,172
1997.0,1246.8,128.0,7,29,172
2007.0,1170.42,-95.0,9,29,172
1943.0,1218.84,34.0,10,31,177
2173.0,1077.63,-135.0,10,31,175
2088.0,1246.5,2.0,10,32,177
2299.0,1191.15,-763.0,10,32,177
2000.0,1067.6,-447.0,10,33,179
2137.0,1186.83,-466.0,10,30,173
2073.0,1132.7,-556.0,10,34,185
2132.0,1158.24,-466.0,10,30,173
1907.0,1192.16,-361.0,10,30,173
2038.0,1203.35,-242.0,10,32,177
1988.0,1247.27,-40.0,10,32,177
2028.0,1152.82,-384.0,10,32,178
1953.0,1186.17,-241.0,10,34,185
1928.0,1102.75,-466.0,10,32,178
1978.0,1203.76,-24.0,9,32,177
1928.0,1122.52,-708.0,9,32,177
2123.0,1207.89,-82.0,9,32,177
1893.0,1173.52,-84.0,9,31,177
1993.0,1254.34,58.0,9,32,177
1988.0,1178.17,-198.0,9,29,173
1958.0,1220.53,367.0,9,33,183
2028.0,1173.77,18.0,8,34,186
2138.0,1213.03,-484.0,8,34,186
2318.0,1180.46,-427.0,8,34,186
2043.0,1169.91,-366.0,8,34,186
1978.0,1149.69,175.0,8,32,177
2088.0,1202.99,-501.0,8,34,186
2253.0,1153.09,-126.0,8,31,177
2012.0,1306.72,-82.0,8,29,173
2008.0,1265.44,-47.0,8,33,179
2153.0,1168.14,-143.0,9,29,173
2443.0,1106.86,-466.0,7,29,173
1973.0,1293.28,36.0,7,34,186
2070.0,1270.51,18.0,7,33,184
2043.0,1248.92,-328.0,7,29,173
2043.0,1255.43,-27.0,7,29,173
1993.0,1174.5,-155.0,8,33,179
2023.0,1286.97,2.0,8,34,185
2123.0,1284.92,-137.0,8,29,173
2237.0,1244.22,-257.0,7,31,177
2033.0,1263.57,-80.0,8,31,177
2123.0,1187.84,-124.0,7,29,173
2328.0,1332.5,-154.0,7,34,185
2015.0,1250.07,-138.0,7,33,184
2167.0,1276.22,-198.0,7,32,177
2108.0,1251.57,-34.0,7,29,174
2092.0,1240.91,-130.0,6,32,178
2288.0,1278.49,92.0,6,32,177
1897.0,1233.47,-214.0,6,31,178
2157.0,1281.24,-211.0,6,31,178
2067.0,1228.84,-216.0,6,31,178
2108.0,1249.63,74.0,6,29,174
2075.0,1350.5,-324.0,6,29,174
2202.0,1239.84,-326.0,7,35,182
2107.0,1243.45,-70.0,7,31,178
1963.0,1272.82,-204.0,7,31,178
2128.0,1281.3,95.0,7,31,178
2237.0,1341.86,-354.0,7,32,178
2058.0,1346.76,286.0,7,29,173
2023.0,1248.67,-466.0,7,29,173
2288.0,1256.15,148.0,7,29,173
2008.0,1289.1,-325.0,9,34,184
2088.0,1172.38,-322.0,9,32,178
2073.0,1180.83,-407.0,9,35,183
1853.0,1226.0,-237.0,9,32,179
2008.0,1312.81,-182.0,10,35,183
2003.0,1175.68,-122.0,10,34,192
1936.0,1175.11,-339.0,10,30,175
1906.0,1270.6,-241.0,9,30,175
2023.0,1231.23,-195.0,10,35,183
2293.0,1223.41,41.0,9,30,175
1983.0,1229.99,-132.0,9,35,183
2083.0,1184.53,44.0,9,31,176
1993.0,1261.88,-268.0,8,34,184
2042.0,1194.59,-33.0,8,38,198
2222.0,1254.5,305.0,8,34,184
2218.0,1315.47,-174.0,8,35,183
2218.0,1214.37,-351.0,8,35,183
2155.0,1367.97,226.0,8,38,198
2058.0,1296.27,-252.0,7,31,176
2047.0,1245.43,-274.0,7,38,198
2108.0,1203.61,-154.0,7,34,184
2158.0,1276.1,-152.0,7,38,198
2023.0,1220.61,-168.0,6,38,196
1988.0,1296.19,-405.0,6,38,196
2108.0,1181.46,-547.0,6,38,198
