best,average,min,species,neurons,links
1572.0,257.3,-1098.0,1,28,171
1872.0,723.32,-1098.0,1,28,171
2142.0,875.15,-1098.0,1,28,171
1842.0,904.09,-1288.0,1,28,171
2372.0,1070.52,-1098.0,2,28,171
1967.0,937.79,-1098.0,2,29,171
2321.0,1004.66,-1098.0,3,28,171
2397.0,1002.31,-1098.0,3,28,171
2247.0,1079.76,-1098.0,3,28,170
2032.0,1146.22,-1098.0,4,30,173
2357.0,1027.07,-1098.0,5,28,170
2357.0,1157.61,-288.0,6,28,170
2347.0,1253.62,-1098.0,6,28,170
2272.0,1253.37,-1098.0,6,28,170
2352.0,1342.69,-389.0,8,29,171
2257.0,1296.61,-101.0,7,30,174
2232.0,1375.32,-1118.0,10,31,178
2622.0,1401.92,-288.0,11,31,178
2472.0,1416.88,-1098.0,10,29,171
2492.0,1483.71,-643.0,10,29,171
2462.0,1396.44,-506.0,11,29,171
2257.0,1370.74,-606.0,12,33,180
2372.0,1421.92,-958.0,12,29,171
2122.0,1440.46,-568.0,12,30,173
2327.0,1406.15,-257.0,12,29,172
2307.0,1345.0,-888.0,12,29,172
2541.0,1405.96,-1063.0,12,31,179
2117.0,1309.19,-1098.0,12,29,172
2234.0,1333.06,-606.0,11,32,178
2192.0,1361.22,-1098.0,10,29,172
2377.0,1439.96,17.0,10,29,172
2257.0,1469.81,-417.0,10,29,172
2297.0,1355.72,-598.0,9,29,172
2347.0,1395.74,-1098.0,9,29,173
2392.0,1306.7,-1098.0,9,30,176
2414.0,1390.3,-1063.0,8,32,179
2460.0,1365.42,-1168.0,8,30,176
2317.0,1433.28,-523.0,8,31,179
2162.0,1388.24,-1098.0,8,29,172
2237.0,1355.36,-993.0,8,29,173
2177.0,1499.81,-610.0,8,30,173
2257.0,1515.37,-321.0,8,31,179
2407.0,1473.33,-393.0,8,31,179
2267.0,1547.61,-603.0,8,30,176
2412.0,1426.17,-1098.0,8,31,179
2497.0,1424.35,-1098.0,8,37,196
2682.0,1478.21,-453.0,8,30,173
2402.0,1407.82,-1098.0,8,31,179
2372.0,1429.05,-993.0,8,31,179
2277.0,1476.74,-1098.0,8,31,179
2457.0,1507.37,-1098.0,9,30,173
2452.0,1337.86,-422.0,9,32,178
2722.0,1475.09,-1063.0,9,31,179
2617.0,1417.14,-1098.0,9,30,173
2657.0,1489.25,-239.0,9,30,173
2457.0,1381.87,-1063.0,9,30,176
2207.0,1339.56,-418.0,9,30,175
2562.0,1367.5,-483.0,9,30,173
2342.0,1456.44,-98.0,9,33,179
2252.0,1487.38,-1098.0,9,31,179
2377.0,1534.01,-88.0,9,33,179
2622.0,1402.41,-1028.0,9,31,178
2307.0,1515.24,-173.0,9,31,174
2167.0,1399.31,-1098.0,9,30,176
2221.0,1383.59,-853.0,9,34,180
2287.0,1482.47,-1063.0,10,31,174
2417.0,1407.79,-158.0,10,31,174
2252.0,1361.87,-1028.0,10,31,174
2572.0,1432.94,-288.0,10,31,174
2642.0,1484.34,-98.0,10,30,177
2397.0,1425.94,-163.0,9,31,174
2307.0,1374.99,-263.0,9,31,180
2387.0,1421.89,-1098.0,9,30,177
2324.0,1505.17,137.0,9,32,179
2372.0,1500.94,-468.0,8,43,213
2422.0,1489.91,-623.0,9,38,197
2562.0,1476.54,-288.0,8,31,181
2427.0,1491.43,-1098.0,8,38,197
2475.0,1400.46,-679.0,8,38,197
2602.0,1511.18,-1098.0,8,31,174
2292.0,1443.08,-642.0,8,43,213
2622.0,1442.7,-478.0,8,38,197
2442.0,1480.6,-888.0,9,38,197
2492.0,1491.08,-138.0,8,38,197
2352.0,1436.63,-1098.0,8,45,215
2337.0,1526.62,-833.0,8,34,181
2242.0,1462.24,-288.0,8,38,197
2202.0,1445.39,-210.0,8,34,181
2452.0,1429.14,-1098.0,8,38,198
2427.0,1432.16,-573.0,8,33,184
2317.0,1503.92,-53.0,8,31,181
2432.0,1407.24,-164.0,8,33,184
2392.0,1520.83,-113.0,8,33,184
2411.0,1415.48,-258.0,8,35,183
2607.0,1539.57,-503.0,9,38,198
2412.0,1343.94,-299.0,9,38,199
2387.0,1408.39,-360.0,9,36,196
2467.0,1507.1,-813.0,9,46,216
2422.0,1346.32,-628.0,9,39,201
2582.0,1419.86,-151.0,9,39,201
2377.0,1523.0,7.0,8,39,201
2362.0,1553.47,168.0,9,31,181
2162.0,1410.16,-19.0,9,39,201
2527.0,1389.83,-258.0,8,31,181
2372.0,1476.55,-1098.0,8,46,216
2402.0,1475.02,47.0,7,31,181
2197.0,1409.54,-503.0,7,31,181
2357.0,1464.84,-55.0,7,31,181
2507.0,1414.3,-573.0,7,39,201
2382.0,1421.49,-558.0,7,33,184
2432.0,1474.97,-684.0,7,35,185
2827.0,1551.82,-195.0,7,46,214
2512.0,1455.54,-512.0,7,46,214
2458.0,1490.83,-539.0,7,31,181
2507.0,1619.53,100.0,7,39,202
2312.0,1586.98,-110.0,7,31,182
2699.0,1561.32,-18.0,7,31,182
2497.0,1452.94,-538.0,7,31,182
2547.0,1590.33,-123.0,7,36,196
2412.0,1413.9,-124.0,7,36,196
2585.0,1502.9,182.0,7,35,186
2302.0,1528.38,-113.0,6,39,203
2582.0,1579.08,-75.0,6,36,196
2677.0,1467.57,-342.0,6,40,204
2572.0,1644.46,71.0,6,36,197
2487.0,1468.17,-836.0,6,40,204
2452.0,1481.99,-328.0,6,46,214
2517.0,1596.86,-24.0,6,35,187
2553.0,1604.15,-275.0,6,35,187
2395.0,1504.23,-758.0,6,35,187
2652.0,1556.65,-138.0,7,40,205
2647.0,1455.9,131.0,7,31,183
2377.0,1528.35,-26.0,7,40,204
2807.0,1553.31,-153.0,7,40,204
2537.0,1447.24,-269.0,7,40,204
2422.0,1428.5,-607.0,7,40,204
2547.0,1536.21,-1098.0,7,36,197
2442.0,1469.11,-543.0,7,35,187
2407.0,1503.87,13.0,7,40,204
2522.0,1493.75,-88.0,8,40,204
2522.0,1490.75,-143.0,7,40,204
2727.0,1480.5,-114.0,7,37,198
2507.0,1619.27,-11.0,7,40,203
2417.0,1451.83,-1098.0,8,37,198
2702.0,1568.45,-118.0,7,37,198
2457.0,1454.46,-312.0,7,37,198
3127.0,1520.35,-1028.0,7,37,198
2602.0,1597.22,187.0,7,37,198
2542.0,1638.77,-63.0,7,40,204
2602.0,1553.28,-258.0,7,40,204
2577.0,1657.11,-287.0,7,40,204
2662.0,1608.66,-453.0,7,38,199
2802.0,1665.08,-268.0,7,41,218
2645.0,1530.99,-178.0,7,38,199
2492.0,1487.06,-204.0,8,38,199
2761.0,1641.2,322.0,7,38,199
2627.0,1547.26,-322.0,7,38,199
2632.0,1522.04,-726.0,7,38,199
2792.0,1532.58,-118.0,7,38,200
2552.0,1540.11,-144.0,7,38,200
2701.0,1508.45,-153.0,8,38,200
2652.0,1604.8,-148.0,8,33,187
2692.0,1504.95,-322.0,8,38,201
2527.0,1579.53,-252.0,8,35,187
2662.0,1632.71,-269.0,7,38,211
2557.0,1552.51,-223.0,8,38,201
2547.0,1612.73,-235.0,8,38,201
2432.0,1512.91,-198.0,8,35,188
2462.0,1624.35,-218.0,8,50,244
2597.0,1552.68,83.0,8,38,201
2642.0,1606.18,-291.0,8,50,244
2582.0,1652.83,-138.0,8,38,201
2407.0,1586.1,-18.0,7,38,201
2797.0,1544.33,-260.0,7,38,201
2637.0,1655.3,-27.0,7,50,244
2447.0,1630.52,19.0,7,47,216
2652.0,1606.94,-14.0,8,38,200
2662.0,1584.84,-68.0,8,38,211
2502.0,1475.54,-658.0,8,47,216
2567.0,1604.62,-30.0,9,38,211
2582.0,1596.5,647.0,9,38,200
2777.0,1593.23,-490.0,9,38,200
2697.0,1605.68,-272.0,9,38,200
2692.0,1580.5,-705.0,9,38,200
2862.0,1538.56,62.0,9,39,201
2287.0,1423.4,-213.0,8,41,220
2492.0,1581.31,-252.0,9,39,201
2357.0,1543.15,-139.0,9,50,243
2537.0,1617.23,-228.0,10,39,201
2367.0,1460.69,-108.0,9,39,201
2887.0,1546.63,-398.0,8,39,201
2527.0,1527.34,37.0,8,39,201
2541.0,1480.22,-202.0,8,39,201
2562.0,1621.87,86.0,8,39,201
2162.0,1440.83,-202.0,8,39,201
2802.0,1683.7,414.0,8,39,201
2862.0,1662.91,530.0,8,39,201
2842.0,1629.65,-68.0,8,50,244
2682.0,1507.75,-235.0,8,39,201
2772.0,1542.62,-207.0,7,39,201
2552.0,1601.52,-19.0,7,50,244
2842.0,1572.24,-278.0,7,38,212
2692.0,1518.54,-342.0,7,39,201
2822.0,1610.45,-470.0,7,39,201
2557.0,1636.27,-103.0,6,39,201
2767.0,1492.88,-235.0,6,39,201
2548.0,1558.46,52.0,6,39,201
2422.0,1545.63,-353.0,7,39,201
2752.0,1512.79,-304.0,6,39,201
2747.0,1613.3,189.0,7,39,201
2617.0,1451.11,-291.0,7,39,201
2512.0,1502.92,-121.0,7,39,201
2527.0,1464.98,-606.0,7,39,201
2532.0,1402.68,-224.0,7,39,201
2517.0,1391.96,-265.0,7,39,201
2587.0,1450.34,-183.0,8,39,201
2475.0,1528.58,-238.0,7,38,213
2622.0,1592.84,242.0,7,39,201
2527.0,1460.58,-283.0,7,39,201
2460.0,1457.9,-140.0,7,39,201
2747.0,1458.94,-133.0,7,39,201
2797.0,1484.64,-458.0,8,39,201
2692.0,1565.77,-294.0,7,39,201
2607.0,1498.83,-108.0,7,38,213
2712.0,1591.97,-253.0,7,45,239
2392.0,1493.41,-281.0,7,54,269
2757.0,1492.46,-453.0,7,39,201
2477.0,1452.91,-412.0,7,39,201
2577.0,1515.57,-178.0,7,38,214
2502.0,1631.65,-238.0,7,39,202
traininig time: 3620.99115801
