best,average,min,species,neurons,links
1557.0,110.41,-1098.0,1,28,171
1852.0,640.52,-714.0,1,28,171
1803.0,849.77,-818.0,1,28,171
2237.0,1004.79,-658.0,2,28,171
2227.0,930.68,-762.0,2,29,173
1912.0,983.11,-1038.0,2,28,171
2062.0,1031.11,-721.0,2,28,171
2038.0,982.84,-614.0,3,29,173
2032.0,963.04,-573.0,2,29,173
1954.0,977.21,-623.0,2,30,175
2087.0,940.48,-697.0,3,29,173
2027.0,971.32,-978.0,5,31,176
2232.0,1116.43,-498.0,5,30,174
2212.0,1184.56,-715.0,7,32,176
2301.0,1176.32,-18.0,7,30,174
2237.0,1073.73,-856.0,8,32,176
2267.0,1172.08,-888.0,8,30,177
2227.0,1200.76,-748.0,7,32,176
2372.0,1283.02,-568.0,7,34,186
2192.0,1190.18,-718.0,8,31,177
2097.0,1284.2,-165.0,8,30,177
1967.0,1212.08,-423.0,9,31,177
2237.0,1169.17,-1098.0,10,32,176
2687.0,1099.76,-912.0,10,30,177
2297.0,1159.21,-953.0,11,30,177
1982.0,1152.11,-794.0,10,32,176
2607.0,1196.85,-555.0,12,30,177
2252.0,1280.81,-1113.0,10,30,177
2522.0,1315.84,-936.0,10,30,177
2777.0,1399.13,-278.0,10,30,177
2692.0,1214.06,-826.0,10,30,177
2482.0,1349.9,-768.0,10,30,177
3032.0,1483.13,142.0,10,30,178
2285.0,1457.75,-318.0,10,30,178
2367.0,1398.05,-558.0,10,30,178
2382.0,1388.07,-1148.0,10,30,178
2627.0,1443.61,-779.0,10,30,178
2612.0,1411.05,-178.0,10,30,178
2472.0,1430.52,-714.0,10,31,179
2507.0,1464.0,-578.0,11,31,179
2437.0,1470.98,-415.0,12,31,179
2517.0,1318.99,-693.0,12,31,179
2972.0,1434.51,-248.0,12,31,178
2417.0,1409.72,-418.0,12,31,178
3097.0,1531.06,-574.0,12,31,179
2472.0,1460.68,-683.0,12,31,182
2347.0,1530.9,-634.0,12,36,191
2592.0,1490.64,-529.0,12,36,191
2762.0,1334.79,-1098.0,12,31,179
2357.0,1354.09,-853.0,11,31,179
2397.0,1415.98,-890.0,11,36,192
2357.0,1410.84,-529.0,11,36,192
2537.0,1421.73,-516.0,11,36,192
2497.0,1366.79,-674.0,11,31,179
2377.0,1372.75,-592.0,11,31,179
2677.0,1380.92,-503.0,10,31,179
2577.0,1463.06,-736.0,10,31,179
2582.0,1360.66,-967.0,10,31,179
2997.0,1393.98,-888.0,10,31,179
2627.0,1440.92,-815.0,10,31,179
2632.0,1446.28,-923.0,10,31,179
2342.0,1420.64,-658.0,10,31,179
2532.0,1581.01,184.0,10,31,179
2577.0,1483.47,-658.0,10,31,179
2237.0,1336.08,-874.0,10,31,179
2477.0,1446.97,-836.0,10,32,180
2531.0,1420.54,-262.0,10,32,176
2527.0,1388.5,-758.0,9,36,192
2777.0,1511.09,-370.0,9,32,180
2637.0,1510.54,-263.0,9,32,180
2587.0,1587.9,-438.0,8,36,192
2392.0,1521.07,-124.0,8,36,192
2732.0,1535.06,-713.0,8,33,182
2597.0,1524.52,-683.0,8,36,192
2712.0,1571.71,-29.0,8,32,176
2702.0,1585.25,-288.0,8,33,182
2437.0,1482.28,-888.0,8,32,176
2627.0,1544.38,-433.0,8,33,182
2687.0,1562.34,-558.0,8,36,192
2617.0,1587.67,-261.0,8,32,176
2402.0,1499.48,-383.0,8,33,182
2532.0,1608.99,-328.0,8,32,177
2657.0,1531.39,-878.0,8,32,177
2581.0,1424.47,-783.0,8,32,177
2992.0,1592.18,-183.0,8,32,177
3047.0,1638.97,-71.0,8,33,182
2712.0,1663.07,1.0,8,33,182
2597.0,1576.97,-547.0,8,33,182
2847.0,1603.88,-549.0,8,33,182
2942.0,1594.66,-99.0,8,32,177
2827.0,1637.82,-513.0,8,33,182
2497.0,1546.54,-773.0,8,32,178
2727.0,1684.86,568.0,8,33,182
2707.0,1600.0,-258.0,8,33,182
2712.0,1677.22,172.0,7,33,179
2731.0,1629.1,-618.0,7,33,183
2632.0,1719.5,502.0,7,33,183
2562.0,1463.77,-663.0,7,33,179
2342.0,1608.92,-25.0,7,33,183
2757.0,1748.42,302.0,7,36,192
2692.0,1576.19,-625.0,7,33,183
3067.0,1646.54,-306.0,7,36,192
2582.0,1654.4,-511.0,7,36,192
2562.0,1639.9,-598.0,7,40,202
2607.0,1695.22,-1023.0,7,33,184
2717.0,1622.64,53.0,7,40,202
2477.0,1504.5,-969.0,7,33,184
2627.0,1584.1,-733.0,7,33,184
2682.0,1572.45,-948.0,7,33,184
2527.0,1615.46,-353.0,7,33,184
2712.0,1629.68,627.0,7,33,184
2727.0,1571.05,-542.0,7,36,192
2732.0,1423.09,-983.0,7,33,184
2632.0,1590.27,-188.0,7,34,185
2716.0,1537.55,-751.0,7,32,179
2747.0,1570.01,-581.0,7,34,185
2717.0,1642.13,27.0,7,34,185
2627.0,1532.32,-248.0,8,34,185
3172.0,1488.98,-478.0,9,34,185
2372.0,1450.7,27.0,9,44,220
2477.0,1535.41,-183.0,9,34,185
2502.0,1470.53,-304.0,9,34,185
2587.0,1551.28,75.0,9,32,179
2667.0,1520.66,92.0,9,36,195
2597.0,1487.63,-461.0,9,35,186
2732.0,1594.32,-289.0,9,35,186
2912.0,1562.4,-288.0,9,35,186
2347.0,1565.45,-318.0,9,33,180
2507.0,1541.95,-12.0,9,46,231
2428.0,1560.38,-80.0,9,32,180
2587.0,1601.34,-305.0,9,40,203
2727.0,1563.08,-773.0,9,35,186
2637.0,1649.63,-173.0,9,35,186
2572.0,1596.74,-303.0,9,35,186
2697.0,1632.5,-273.0,8,35,186
2747.0,1594.25,4.0,8,32,180
2547.0,1675.14,-314.0,6,35,186
3047.0,1682.35,-913.0,6,32,180
2597.0,1575.23,-515.0,6,35,186
2687.0,1609.06,-653.0,6,35,185
2762.0,1702.96,-558.0,6,33,181
2677.0,1706.52,-608.0,6,35,185
2667.0,1715.17,187.0,6,35,185
2707.0,1567.35,-355.0,6,48,231
2957.0,1693.14,-58.0,6,33,181
2702.0,1708.88,17.0,6,35,185
2687.0,1681.39,-818.0,6,48,232
2892.0,1811.23,-558.0,6,35,185
2597.0,1709.81,-682.0,6,47,233
2777.0,1568.99,-549.0,6,47,233
2727.0,1740.86,-3.0,6,47,233
2642.0,1715.46,-358.0,6,47,233
2982.0,1744.98,-203.0,6,48,232
2817.0,1770.74,-288.0,5,47,233
2852.0,1724.43,-402.0,5,47,233
2686.0,1826.21,-207.0,5,47,233
2587.0,1749.36,132.0,5,35,186
2557.0,1797.08,-493.0,5,35,186
2702.0,1731.04,-604.0,5,48,233
2652.0,1779.94,107.0,5,48,233
2652.0,1932.84,157.0,5,47,232
2617.0,1847.64,430.0,5,47,232
2962.0,1781.85,-773.0,5,35,186
2612.0,1771.45,-658.0,5,47,232
2847.0,1719.86,-234.0,5,35,186
2877.0,1813.93,-859.0,5,47,232
2722.0,1850.79,-522.0,5,35,186
2690.0,1705.22,-465.0,5,39,207
2817.0,1785.28,-63.0,5,48,233
