best,average,min,species,neurons,links
1078.0,307.64,42.0,1,44,315
1206.0,407.07,-13.0,1,44,315
1663.0,544.03,142.0,1,44,315
1939.0,597.14,-22.0,1,44,315
2270.0,800.24,79.0,1,44,315
2074.0,897.33,174.0,1,44,315
2535.0,937.7,225.0,1,44,315
2680.0,1122.94,188.0,3,44,315
2760.0,1265.81,187.0,3,44,315
2640.0,1174.34,230.0,3,44,315
2968.0,1239.39,257.0,4,44,315
2425.0,1036.76,168.0,6,44,315
2875.0,1174.94,-40.0,6,44,315
2900.0,1162.04,172.0,6,46,318
2715.0,1295.88,177.0,7,44,315
2705.0,1181.6,94.0,11,46,318
2660.0,1134.43,133.0,9,47,319
2645.0,1228.24,162.0,11,48,319
2600.0,1102.27,179.0,9,47,319
2790.0,1333.5,145.0,9,47,319
2733.0,1188.41,189.0,7,44,315
2485.0,1309.74,-28.0,7,46,317
2533.0,1243.2,243.0,7,46,317
2975.0,1343.58,120.0,8,44,315
2625.0,1238.68,239.0,8,44,315
2915.0,1317.3,92.0,8,44,315
2735.0,1360.39,136.0,8,49,325
2645.0,1250.3,78.0,8,46,319
2633.0,1272.23,171.0,8,44,315
2709.0,1373.75,93.0,8,47,319
2715.0,1153.02,106.0,8,46,319
2785.0,1324.4,114.0,8,46,319
2780.0,1197.26,34.0,8,46,319
2635.0,1310.36,193.0,8,46,319
2685.0,1213.61,58.0,8,46,319
2525.0,1175.08,95.0,8,44,315
2620.0,1175.06,140.0,9,46,317
2685.0,1196.93,107.0,9,47,319
2645.0,1244.49,135.0,9,46,319
2520.0,1326.77,68.0,8,48,320
2479.0,1351.92,269.0,10,44,315
2555.0,1213.41,150.0,9,44,315
2718.0,1298.54,122.0,10,47,319
2655.0,1192.44,130.0,8,47,319
2807.0,1236.53,201.0,8,44,315
2633.0,1199.77,-17.0,8,47,318
2590.0,1309.05,133.0,9,47,318
2542.0,1232.22,149.0,9,44,315
2865.0,1312.0,-54.0,9,45,316
2890.0,1383.13,191.0,9,44,315
2616.0,1359.65,214.0,9,49,327
2610.0,1223.74,-54.0,9,44,315
2695.0,1401.31,197.0,9,44,315
2685.0,1340.91,300.0,9,44,315
2960.0,1349.87,152.0,9,45,316
2719.0,1399.62,166.0,9,45,316
2685.0,1304.08,172.0,8,47,318
2955.0,1456.82,247.0,9,45,317
3020.0,1370.48,151.0,8,49,328
2850.0,1435.36,-40.0,8,49,328
2780.0,1432.03,282.0,8,45,317
2995.0,1403.68,195.0,8,45,317
2745.0,1351.51,133.0,8,45,317
2680.0,1436.49,227.0,8,46,320
2850.0,1371.54,210.0,8,46,320
2700.0,1328.37,113.0,7,45,317
2830.0,1377.99,-30.0,7,45,317
2865.0,1278.66,-136.0,7,45,317
2640.0,1350.0,130.0,7,45,317
2790.0,1446.52,298.0,7,45,317
2665.0,1369.67,193.0,7,45,317
2678.0,1366.29,233.0,7,47,321
2720.0,1379.01,-208.0,7,45,317
2635.0,1452.2,271.0,7,49,329
2663.0,1420.93,210.0,7,45,316
2650.0,1363.31,-26.0,7,45,317
2635.0,1413.36,256.0,7,45,317
2713.0,1313.1,178.0,7,45,317
2730.0,1393.74,96.0,7,45,317
2830.0,1461.59,200.0,6,49,329
2805.0,1354.28,247.0,7,45,317
2993.0,1338.92,124.0,7,53,344
2625.0,1418.87,170.0,8,45,317
2735.0,1513.3,170.0,7,53,344
2834.0,1679.06,188.0,7,46,318
2690.0,1518.1,259.0,7,47,319
2750.0,1572.9,166.0,7,53,344
2915.0,1598.65,220.0,7,46,318
2720.0,1520.11,164.0,7,53,344
2719.0,1420.79,342.0,7,53,344
2870.0,1424.43,245.0,7,53,344
2538.0,1440.93,269.0,7,50,333
2635.0,1498.51,123.0,7,53,344
2549.0,1355.74,157.0,7,49,330
2650.0,1479.14,60.0,7,53,344
2635.0,1459.53,71.0,7,51,338
2769.0,1440.71,150.0,7,49,330
2835.0,1532.05,244.0,7,51,339
2740.0,1517.52,232.0,7,46,318
2780.0,1430.68,-161.0,7,51,339
2586.0,1504.67,236.0,7,51,340
2930.0,1459.38,152.0,8,53,344
2695.0,1328.07,147.0,8,53,344
2600.0,1258.1,166.0,8,53,344
2468.0,1250.85,254.0,9,46,319
2624.0,1180.11,219.0,8,46,319
2700.0,1122.86,170.0,8,49,331
2653.0,1321.25,167.0,8,46,319
2545.0,1191.61,210.0,8,49,331
2575.0,1177.76,166.0,8,46,319
2577.0,1304.01,300.0,8,51,340
2604.0,1240.51,180.0,8,53,345
2680.0,1287.21,214.0,8,51,340
2410.0,1272.11,314.0,7,51,340
2560.0,1218.65,216.0,7,51,340
2659.0,1114.89,196.0,7,51,340
2530.0,1271.47,-170.0,6,51,340
2645.0,1248.45,195.0,6,51,340
2730.0,1254.69,150.0,6,53,345
2640.0,1189.26,306.0,7,53,345
2614.0,1085.41,38.0,7,53,345
2415.0,1166.53,168.0,7,53,345
2529.0,1107.71,162.0,7,51,340
2610.0,1081.95,200.0,8,53,345
2625.0,1159.44,164.0,8,53,345
2645.0,1200.89,180.0,8,61,368
2725.0,1158.16,215.0,8,53,345
2655.0,1162.62,190.0,8,61,368
2521.0,1098.49,137.0,8,53,345
2690.0,1125.69,211.0,8,53,345
2515.0,1197.73,-274.0,8,51,340
2684.0,1192.14,164.0,8,50,333
2755.0,1297.96,279.0,8,51,340
2359.0,1247.9,207.0,7,55,357
2555.0,1278.28,172.0,7,55,357
2420.0,1267.99,146.0,8,59,356
2445.0,1212.79,123.0,8,55,357
2406.0,1148.79,131.0,8,50,333
2460.0,1249.55,149.0,8,50,333
2535.0,1274.11,181.0,8,61,369
2465.0,1252.26,200.0,8,51,341
2553.0,1110.46,251.0,8,55,357
2510.0,1160.44,216.0,9,63,379
2407.0,1214.09,231.0,9,63,379
2314.0,1092.13,-208.0,9,63,379
2665.0,1149.42,181.0,9,50,333
2459.0,1198.06,213.0,9,63,379
2485.0,1255.25,181.0,9,55,357
2529.0,1149.08,231.0,9,50,333
2444.0,1290.53,197.0,9,49,331
2300.0,1202.52,175.0,8,55,357
2480.0,1132.71,201.0,8,55,357
2536.0,1200.18,276.0,8,49,331
2510.0,1217.29,188.0,8,55,357
2575.0,1367.25,105.0,8,61,369
2675.0,1256.34,225.0,8,50,335
2421.0,1202.81,203.0,8,50,335
2678.0,1312.78,239.0,8,59,370
2585.0,1269.24,142.0,7,63,378
2331.0,1270.35,231.0,7,63,378
2720.0,1319.76,177.0,7,63,379
2607.0,1399.68,81.0,7,63,379
2415.0,1259.06,70.0,7,63,379
2435.0,1170.6,191.0,7,63,379
2625.0,1336.36,195.0,7,63,379
2440.0,1250.22,142.0,7,63,379
2566.0,1301.97,205.0,6,59,370
2525.0,1254.39,139.0,6,55,357
2565.0,1253.45,219.0,6,63,379
2620.0,1377.53,329.0,6,59,370
2600.0,1243.58,249.0,7,63,379
2540.0,1289.1,170.0,7,55,357
2585.0,1344.71,100.0,7,59,370
2550.0,1332.6,80.0,7,55,357
2570.0,1287.02,319.0,7,61,370
2589.0,1404.05,202.0,7,63,380
2780.0,1350.35,210.0,7,59,370
2488.0,1295.2,134.0,7,63,380
2430.0,1164.42,170.0,7,63,380
2655.0,1215.43,57.0,6,63,380
2554.0,1334.31,195.0,6,59,370
2845.0,1358.95,149.0,6,59,370
2570.0,1336.42,322.0,6,63,380
2470.0,1254.78,-86.0,6,63,380
2465.0,1354.86,468.0,6,60,360
2382.0,1304.88,237.0,6,59,370
2517.0,1294.51,237.0,6,49,333
2634.0,1354.37,288.0,6,49,333
2522.0,1326.6,108.0,6,60,360
2628.0,1375.52,244.0,6,63,381
2583.0,1369.83,274.0,6,59,370
2780.0,1448.75,197.0,6,59,370
2475.0,1382.24,341.0,6,60,360
2670.0,1230.71,216.0,6,59,370
2472.0,1404.66,144.0,6,63,381
2610.0,1229.34,311.0,6,63,381
2485.0,1241.2,215.0,6,64,382
2650.0,1449.05,311.0,6,59,370
2680.0,1343.56,307.0,6,59,370
2530.0,1259.48,160.0,6,64,382
2736.0,1432.45,99.0,6,64,382
2598.0,1365.69,188.0,6,59,370
2700.0,1512.08,231.0,6,56,359
2635.0,1384.86,260.0,6,64,383
2780.0,1443.26,220.0,6,56,359
2495.0,1424.81,263.0,7,63,381
2750.0,1458.24,160.0,7,56,359
2620.0,1399.27,141.0,7,56,359
2770.0,1460.24,209.0,7,64,383
2565.0,1366.02,284.0,7,64,383
2628.0,1366.97,161.0,7,59,370
2705.0,1400.75,210.0,7,63,380
2661.0,1289.54,35.0,6,59,370
2728.0,1405.76,188.0,6,59,371
3080.0,1383.74,169.0,6,59,371
2960.0,1423.92,99.0,6,59,371
2653.0,1317.39,105.0,6,59,371
2510.0,1381.25,223.0,6,64,383
2690.0,1285.18,165.0,6,65,384
2680.0,1334.02,197.0,6,59,371
2595.0,1324.85,201.0,6,59,371
2605.0,1323.14,246.0,6,65,384
2885.0,1327.74,252.0,6,59,371
2710.0,1405.15,233.0,6,65,384
2524.0,1285.78,223.0,6,65,384
2575.0,1297.55,49.0,6,59,370
2965.0,1260.79,254.0,6,59,370
2865.0,1231.56,258.0,6,65,384
2520.0,1271.15,161.0,6,59,370
2525.0,1337.86,174.0,6,57,361
2670.0,1278.99,184.0,6,59,370
2435.0,1204.87,197.0,6,49,332
2525.0,1180.78,168.0,6,57,362
2340.0,1266.62,112.0,6,65,385
2583.0,1395.29,231.0,7,65,385
2560.0,1259.48,237.0,7,65,385
2595.0,1296.15,235.0,7,57,362
2440.0,1293.07,145.0,7,65,386
2745.0,1326.05,206.0,7,65,386
2560.0,1422.7,175.0,8,59,370
2450.0,1207.31,166.0,8,65,386
2475.0,1173.63,266.0,8,58,363
2760.0,1217.34,127.0,8,59,370
2635.0,1273.3,220.0,8,59,370
2670.0,1262.22,133.0,8,65,386
2591.0,1258.28,150.0,8,58,363
2465.0,1318.1,219.0,8,65,386
2675.0,1302.82,122.0,8,58,363
2608.0,1382.8,233.0,8,65,386
2845.0,1323.72,210.0,8,65,386
2715.0,1460.25,225.0,9,58,363
2455.0,1296.97,8.0,9,59,370
2456.0,1267.71,-249.0,9,65,386
2512.0,1283.33,154.0,9,66,395
2505.0,1385.04,167.0,9,58,363
2770.0,1334.9,267.0,9,59,370
2509.0,1264.53,4.0,7,67,396
2675.0,1216.87,161.0,7,65,386
2620.0,1154.43,211.0,7,65,386
2515.0,1190.39,249.0,7,67,396
2415.0,1079.34,117.0,7,59,370
2951.0,1178.26,99.0,7,59,370
2550.0,1228.73,145.0,7,59,370
2631.0,1106.77,174.0,7,65,386
2475.0,1156.94,206.0,7,60,371
2362.0,1081.81,221.0,7,67,396
2465.0,1101.95,182.0,7,67,395
2670.0,1242.89,165.0,6,67,395
2610.0,1288.82,198.0,6,65,386
2675.0,1221.02,168.0,6,65,386
2635.0,1216.48,268.0,7,67,395
2401.0,1070.87,86.0,7,65,386
2770.0,1118.23,115.0,7,67,395
2745.0,1169.99,-23.0,7,60,371
2668.0,1236.85,295.0,7,60,371
2800.0,1330.1,210.0,7,67,394
2635.0,1232.43,209.0,7,60,371
2615.0,1233.33,97.0,7,60,371
2840.0,1188.26,60.0,7,65,388
2404.0,1161.61,99.0,6,60,371
2648.0,1144.68,171.0,6,60,371
2725.0,1249.01,213.0,6,60,371
2370.0,1176.96,187.0,6,60,371
2395.0,1234.39,182.0,6,67,404
2650.0,1254.43,211.0,6,67,394
2520.0,1287.61,111.0,6,70,412
2455.0,1352.03,26.0,6,70,412
2480.0,1174.35,217.0,7,60,371
2600.0,1248.41,267.0,7,60,371
2468.0,1362.86,204.0,7,60,371
2635.0,1274.42,197.0,7,60,371
2795.0,1258.46,219.0,7,60,371
2645.0,1299.21,195.0,7,60,371
2390.0,1167.62,219.0,7,70,411
2490.0,1247.84,158.0,7,67,404
2385.0,1195.81,223.0,6,67,404
