best,average,min,species,neurons,links
1802.0,240.27,-1113.0,1,44,315
1807.0,590.44,-678.0,1,44,315
1917.0,903.15,-1028.0,1,44,315
2397.0,1066.89,-458.0,1,44,315
2267.0,1088.79,-551.0,1,44,315
2207.0,1087.43,-480.0,1,44,315
2475.0,1222.03,-501.0,1,44,315
2467.0,1251.39,-238.0,4,44,315
2467.0,1205.27,-631.0,7,44,315
2437.0,1089.98,-843.0,10,46,318
2452.0,1158.73,-748.0,10,45,315
2367.0,1308.49,-178.0,9,46,318
2247.0,1232.33,-665.0,10,47,317
2317.0,1352.76,-302.0,10,46,318
2422.0,1409.26,-855.0,10,46,318
2422.0,1236.12,-660.0,10,45,316
2642.0,1312.67,-1098.0,10,44,315
2642.0,1291.33,-590.0,8,44,315
2587.0,1409.94,-451.0,10,44,315
2667.0,1432.56,-420.0,10,47,319
2387.0,1283.39,-789.0,10,44,315
2427.0,1376.08,-683.0,9,48,319
2721.0,1370.1,-154.0,9,49,322
2817.0,1390.73,-403.0,10,46,318
2392.0,1357.59,-433.0,10,45,317
2357.0,1416.51,-288.0,11,49,319
2642.0,1457.04,-113.0,11,45,317
2797.0,1450.78,-672.0,13,45,317
2752.0,1331.11,-1098.0,12,46,318
3042.0,1446.66,-148.0,12,50,330
2552.0,1435.18,-288.0,12,49,319
2442.0,1368.01,-678.0,11,50,330
2452.0,1427.36,-583.0,10,52,331
2747.0,1477.39,-468.0,10,50,323
2377.0,1494.91,47.0,10,45,319
2597.0,1465.21,-503.0,10,49,319
2272.0,1587.9,-13.0,10,50,319
2687.0,1597.48,-21.0,10,45,320
2442.0,1512.15,-243.0,9,49,319
2706.0,1478.44,-543.0,9,49,329
2692.0,1446.38,-458.0,8,49,328
2538.0,1515.46,-337.0,8,50,324
2892.0,1526.69,-713.0,8,49,319
2707.0,1552.5,-688.0,8,49,319
2882.0,1519.03,-138.0,9,49,329
2727.0,1544.71,-503.0,9,50,319
2542.0,1515.16,-558.0,9,51,320
2622.0,1503.56,-473.0,9,51,320
2552.0,1527.03,-453.0,9,49,319
2682.0,1418.89,-454.0,9,49,319
2447.0,1481.4,-523.0,9,50,326
2542.0,1437.25,-543.0,9,55,338
2901.0,1537.02,-743.0,9,51,320
3202.0,1458.12,-303.0,9,51,320
2646.0,1472.72,-646.0,9,51,320
2652.0,1555.43,-208.0,9,51,340
2687.0,1556.35,-463.0,9,51,320
2777.0,1433.72,-539.0,9,51,320
2817.0,1546.22,-665.0,9,51,320
2647.0,1542.12,-475.0,9,51,320
2452.0,1593.99,-328.0,9,55,339
2617.0,1559.87,-713.0,9,49,318
2612.0,1510.49,-498.0,9,52,330
2916.0,1582.41,-1023.0,9,52,342
2931.0,1576.42,-338.0,9,51,319
2412.0,1436.4,-207.0,9,50,330
2717.0,1636.26,-439.0,8,51,319
2597.0,1566.68,-402.0,8,55,340
3032.0,1601.72,-563.0,8,49,319
2659.0,1624.92,-338.0,8,50,330
3406.0,1611.0,-333.0,8,51,319
2557.0,1543.67,-310.0,8,50,330
2692.0,1682.91,-171.0,8,50,331
2846.0,1602.07,-542.0,8,50,331
2792.0,1628.68,-315.0,8,50,331
2877.0,1637.11,-688.0,9,50,332
2842.0,1555.82,-829.0,9,51,333
2936.0,1600.38,-458.0,9,49,319
2807.0,1460.58,-868.0,9,51,333
2582.0,1519.69,-213.0,8,49,319
2482.0,1468.34,-323.0,8,49,319
2567.0,1682.75,-303.0,6,52,319
2902.0,1528.44,-3.0,6,49,319
2752.0,1554.07,-235.0,6,52,319
2522.0,1530.55,-249.0,6,49,320
2842.0,1515.83,-758.0,6,49,320
2817.0,1578.43,-288.0,7,49,320
2772.0,1572.79,-307.0,6,49,320
2822.0,1641.09,-3.0,6,52,320
2922.0,1708.67,212.0,6,52,320
2767.0,1619.48,-318.0,6,60,358
2657.0,1548.97,-509.0,6,52,320
2667.0,1673.23,-243.0,6,52,340
2902.0,1657.03,-498.0,6,52,320
2959.0,1658.95,-208.0,6,49,321
2617.0,1644.15,-28.0,6,61,359
2672.0,1608.33,-212.0,5,49,322
2802.0,1758.56,188.0,5,52,320
2642.0,1689.43,299.0,5,52,320
3142.0,1721.96,172.0,5,53,341
3092.0,1634.98,2.0,5,52,320
2907.0,1631.24,-138.0,5,52,320
2761.0,1611.67,217.0,5,49,321
2837.0,1693.39,-588.0,5,52,320
3017.0,1641.66,-366.0,5,52,320
2767.0,1657.65,-388.0,5,62,360
3087.0,1671.92,63.0,5,52,320
2972.0,1724.69,-23.0,5,52,320
2697.0,1669.07,-168.0,5,52,320
3172.0,1509.03,-488.0,4,52,321
2882.0,1598.76,-63.0,4,52,321
2887.0,1754.45,-248.0,4,53,321
2972.0,1634.72,-553.0,4,53,321
2992.0,1615.94,-238.0,4,53,321
2927.0,1704.5,-248.0,4,53,321
3237.0,1735.72,-303.0,4,53,321
3122.0,1523.7,-542.0,5,53,321
2552.0,1479.59,-413.0,5,50,323
2937.0,1544.59,47.0,5,53,321
2632.0,1497.65,102.0,5,53,321
3432.0,1655.26,-13.0,4,53,320
3162.0,1663.45,-218.0,4,53,320
3117.0,1797.3,20.0,4,53,321
3212.0,1727.44,-158.0,4,53,320
2862.0,1786.23,-148.0,4,53,322
2787.0,1685.73,-18.0,4,53,322
3626.0,1579.41,-853.0,4,53,321
2857.0,1774.66,-143.0,4,53,322
2707.0,1594.4,7.0,4,53,322
2722.0,1667.36,-210.0,4,53,322
2653.0,1722.54,512.0,4,53,322
3257.0,1670.28,47.0,4,53,322
3320.0,1751.09,207.0,4,53,323
3451.0,1802.99,27.0,4,53,322
3027.0,1780.32,177.0,4,53,323
3276.0,1885.44,152.0,4,53,324
2987.0,1847.13,122.0,4,53,324
3702.0,1848.46,343.0,4,53,324
2962.0,1834.25,-331.0,4,53,324
3176.0,1892.58,52.0,4,53,324
3102.0,1792.32,216.0,5,53,324
3402.0,1820.0,-43.0,5,53,324
3122.0,1696.56,-413.0,5,53,324
3566.0,1736.67,-158.0,5,53,324
3072.0,1720.15,37.0,5,53,324
3087.0,1751.69,-189.0,5,53,324
3252.0,1816.71,-33.0,5,53,324
3382.0,1784.56,-32.0,5,53,324
3102.0,1719.48,-39.0,5,53,324
3527.0,1776.81,224.0,5,53,324
3681.0,1871.07,227.0,5,53,324
3532.0,1744.54,-318.0,4,53,324
3067.0,1834.86,-116.0,4,53,324
3411.0,1873.38,307.0,4,53,324
3297.0,1905.91,522.0,4,53,324
2936.0,1920.44,-208.0,4,53,325
3301.0,1896.27,-356.0,4,53,325
3426.0,1794.1,-348.0,4,53,325
3277.0,1898.56,382.0,4,53,325
3262.0,1861.14,292.0,4,53,325
3152.0,1825.3,-243.0,4,53,325
3227.0,1905.11,-8.0,5,53,325
3486.0,1807.15,457.0,5,53,325
3307.0,1829.76,412.0,5,53,325
3097.0,1943.36,598.0,5,53,325
3332.0,1849.0,154.0,4,53,325
3086.0,1859.38,-758.0,4,53,325
3137.0,1900.83,655.0,4,53,325
3642.0,1724.52,-580.0,4,53,325
3242.0,1939.17,17.0,4,53,324
3636.0,1902.12,-158.0,4,53,324
3262.0,1884.28,92.0,4,54,325
3142.0,1971.82,601.0,4,55,326
3422.0,1936.2,-243.0,4,55,325
3307.0,1875.05,672.0,4,55,325
3522.0,1796.76,-348.0,4,55,325
3547.0,1932.51,-148.0,4,55,325
3152.0,1857.58,-108.0,4,55,325
3327.0,1912.87,-138.0,4,55,326
