best,average,min,species,neurons,links
1419.0,625.02,-668.0,1,20,99
1692.0,915.88,-422.0,1,20,99
2462.0,947.7,-112.0,1,20,99
2352.0,1093.64,-518.0,1,20,99
2597.0,1141.27,-865.0,2,20,99
2532.0,1433.36,-150.0,4,20,99
2837.0,1267.33,-58.0,4,20,99
2487.0,1510.85,-408.0,4,20,99
2267.0,1459.69,-787.0,4,22,101
2507.0,1334.53,-55.0,5,20,99
2602.0,1275.5,-151.0,5,20,99
2897.0,1454.81,-368.0,6,20,99
2956.0,1487.02,-584.0,6,20,99
3057.0,1366.04,-638.0,6,20,99
3302.0,1425.4,451.0,7,20,99
3112.0,1521.99,95.0,7,20,99
3027.0,1507.16,423.0,7,20,99
2742.0,1509.68,212.0,7,20,99
2662.0,1552.6,332.0,8,20,99
3062.0,1383.32,-389.0,8,20,99
3292.0,1562.13,257.0,8,23,102
3621.0,1523.27,-717.0,9,20,99
3171.0,1397.48,115.0,9,23,103
3456.0,1584.95,-258.0,9,20,99
3292.0,1457.62,-271.0,9,23,103
2762.0,1482.87,-23.0,9,23,103
2762.0,1470.17,-584.0,6,20,99
3292.0,1562.56,587.0,7,23,103
3415.0,1630.95,13.0,7,23,104
3292.0,1621.75,-42.0,7,23,103
3102.0,1644.05,-488.0,8,23,100
3292.0,1634.83,117.0,8,23,103
2697.0,1581.4,325.0,9,20,98
3292.0,1540.74,-69.0,9,23,103
3292.0,1679.45,462.0,9,23,103
3292.0,1570.43,-609.0,9,23,103
3292.0,1603.47,-850.0,9,23,103
3141.0,1737.42,672.0,9,21,99
3292.0,1628.9,-228.0,9,23,103
3292.0,1502.57,-158.0,8,23,103
3047.0,1693.69,112.0,8,23,100
2732.0,1703.87,39.0,8,21,99
3037.0,1679.23,-140.0,8,23,103
3237.0,1722.87,297.0,8,23,102
3292.0,1746.43,215.0,8,23,102
2772.0,1600.11,242.0,8,21,99
3292.0,1808.49,422.0,8,23,103
3421.0,1648.08,27.0,8,23,103
3202.0,1709.11,-102.0,8,21,99
3292.0,1714.55,542.0,8,23,104
2642.0,1605.31,106.0,8,23,104
2907.0,1731.3,363.0,9,23,103
3292.0,1719.91,136.0,8,23,103
3292.0,1646.45,208.0,8,23,103
3292.0,1760.78,-585.0,8,23,103
2917.0,1780.57,193.0,8,21,99
3292.0,1778.18,-162.0,8,23,103
3121.0,1790.91,-615.0,8,21,99
3117.0,1668.37,-108.0,8,21,99
3237.0,1671.85,-493.0,8,23,103
3292.0,1807.99,-456.0,8,23,103
3017.0,1672.94,179.0,8,23,103
3361.0,1696.58,360.0,8,23,103
3292.0,1764.97,139.0,8,23,103
3292.0,1735.65,-258.0,8,23,103
3292.0,1755.67,264.0,8,23,103
3292.0,1801.4,-759.0,8,23,103
3292.0,1656.0,186.0,8,23,103
3302.0,1745.52,494.0,8,23,103
3212.0,1682.78,-103.0,9,23,103
3292.0,1801.07,494.0,9,23,103
3292.0,1743.63,-457.0,9,23,103
3057.0,1789.6,-395.0,9,23,106
3292.0,1644.37,122.0,9,23,103
3292.0,1692.61,588.0,9,23,103
2757.0,1655.78,-302.0,8,23,99
3292.0,1582.16,-134.0,8,23,103
3207.0,1716.8,379.0,7,26,115
3292.0,1787.58,-702.0,7,23,103
3292.0,1684.51,-639.0,7,23,103
2707.0,1663.72,187.0,7,23,103
3292.0,1680.66,549.0,7,23,103
3137.0,1716.02,-48.0,6,23,103
2972.0,1765.51,-63.0,6,23,103
3405.0,1835.64,136.0,6,22,102
2837.0,1642.76,-763.0,6,23,107
2922.0,1804.46,292.0,6,25,109
3325.0,1767.57,134.0,7,22,102
3052.0,1652.0,-537.0,7,23,104
3323.0,1716.71,154.0,7,26,115
3221.0,1741.88,292.0,7,22,103
3132.0,1741.45,-543.0,7,25,109
2972.0,1666.81,-580.0,7,23,104
3292.0,1929.38,466.0,8,23,104
3292.0,1708.19,-617.0,8,23,104
2982.0,1849.77,236.0,8,23,104
