best,average,min,species,neurons,links
1118.0,242.71,-421.0,1,20,99
1524.0,448.06,-466.0,1,20,99
1562.0,651.62,-238.0,1,20,99
1600.0,610.85,-466.0,1,20,99
1987.0,782.66,-162.0,1,20,99
1617.0,799.99,-51.0,1,20,99
1863.0,833.73,-212.0,1,20,98
1858.0,808.43,-725.0,3,20,99
1922.0,827.65,-412.0,5,21,100
1526.0,791.9,-387.0,5,20,99
1878.0,950.06,-71.0,5,21,101
1811.0,958.01,-2.0,5,22,102
2062.0,936.5,-661.0,6,21,101
1798.0,1022.39,297.0,7,21,101
1895.0,948.43,-283.0,11,22,102
2128.0,969.97,-527.0,8,21,100
2183.0,878.85,-83.0,9,23,103
2105.0,1060.25,17.0,6,23,103
1964.0,993.31,-270.0,7,23,104
1873.0,913.92,-254.0,6,21,100
1763.0,1053.27,-318.0,7,21,100
2023.0,944.77,-310.0,7,22,101
2083.0,1024.17,-373.0,8,23,104
2385.0,1062.75,22.0,8,23,104
1695.0,1017.57,-382.0,8,22,101
2006.0,1043.48,-192.0,8,23,104
2088.0,1032.37,-319.0,8,23,102
2094.0,1066.43,-33.0,8,23,103
2406.0,1144.62,126.0,9,22,101
1711.0,1107.64,405.0,9,24,109
2301.0,1050.87,-35.0,10,24,109
1947.0,1148.49,-36.0,10,24,109
1988.0,1081.19,-57.0,10,23,103
2530.0,1114.49,157.0,12,23,103
1979.0,1108.36,-125.0,11,22,102
1899.0,1050.7,-51.0,12,25,110
2548.0,1036.52,49.0,11,23,103
2110.0,1052.84,-107.0,11,23,103
2329.0,1129.7,-466.0,10,22,102
2187.0,1070.19,393.0,11,23,104
1953.0,1115.58,181.0,10,23,102
1899.0,1029.46,-126.0,9,23,103
2228.0,1063.74,1.0,9,23,102
2467.0,1137.51,314.0,10,24,103
2114.0,1079.71,-217.0,9,22,103
2235.0,1133.12,-249.0,9,23,104
2392.0,1170.42,311.0,9,22,103
2359.0,1107.2,-352.0,9,22,103
2219.0,1167.86,-258.0,10,23,104
1848.0,1004.6,-317.0,10,24,103
2370.0,1019.77,-232.0,9,29,118
1891.0,1042.89,-387.0,9,29,118
1858.0,972.65,-466.0,8,23,102
2133.0,1071.56,-293.0,8,22,101
2343.0,1107.51,-164.0,8,22,101
2460.0,1146.36,169.0,9,24,106
2141.0,959.48,-330.0,9,30,122
2087.0,1042.75,57.0,8,30,122
2028.0,1107.39,-184.0,8,24,106
2120.0,1059.22,-1.0,9,24,104
2245.0,1042.72,-25.0,8,24,104
1731.0,1076.3,-560.0,8,22,102
2059.0,1127.71,186.0,8,22,102
1935.0,1147.73,246.0,8,27,116
2232.0,1165.95,264.0,8,22,105
2336.0,1214.38,-132.0,8,22,102
2331.0,1182.91,300.0,8,27,116
2482.0,1094.31,-424.0,8,24,106
2227.0,1058.63,-101.0,8,23,102
1833.0,1135.77,157.0,9,23,102
2457.0,1099.71,-82.0,8,23,102
2270.0,1115.2,-239.0,8,24,106
2055.0,1066.38,-364.0,8,24,106
2097.0,1038.9,-277.0,8,24,104
2295.0,1149.05,62.0,8,24,106
2045.0,1042.44,-247.0,8,23,102
1994.0,1038.72,-135.0,8,30,123
2403.0,1104.2,25.0,8,32,129
2558.0,1087.92,-472.0,8,23,102
2695.0,1121.42,-10.0,8,23,104
2292.0,1129.81,-295.0,8,30,123
2360.0,1120.7,212.0,8,26,109
2385.0,1107.55,-195.0,8,25,107
2070.0,1090.18,193.0,8,25,107
2347.0,1142.09,236.0,8,32,129
2154.0,1071.48,57.0,8,27,117
2184.0,1130.81,49.0,8,25,107
2103.0,1190.88,144.0,8,25,107
2014.0,1095.03,-382.0,8,27,117
2132.0,1132.18,343.0,8,25,108
2738.0,1114.48,165.0,8,23,104
2005.0,1110.96,117.0,8,23,102
2092.0,1046.51,-380.0,8,27,117
1868.0,1036.61,-330.0,8,27,117
2350.0,1142.26,219.0,8,32,130
1895.0,1083.52,-393.0,7,23,102
2073.0,1097.81,-105.0,7,27,117
2460.0,1108.95,-28.0,7,23,102
1945.0,1139.35,-347.0,6,27,117
1938.0,1055.02,33.0,6,25,107
2048.0,1087.73,10.0,6,25,107
1866.0,1098.73,173.0,7,26,108
2019.0,996.28,161.0,6,25,107
2283.0,1096.38,163.0,6,25,107
1993.0,1099.75,-92.0,6,38,150
1962.0,1014.96,269.0,6,25,107
2138.0,1085.46,168.0,6,25,107
2066.0,1069.44,58.0,6,25,107
1853.0,1044.08,59.0,6,25,107
2093.0,1112.99,44.0,6,38,150
2093.0,1127.69,263.0,6,25,107
1866.0,1041.18,-210.0,6,25,107
2099.0,1059.77,247.0,6,25,107
2425.0,1127.43,-220.0,6,28,119
1945.0,1091.01,357.0,7,25,107
2468.0,954.89,80.0,7,32,131
2003.0,1014.45,-108.0,7,23,105
2067.0,1079.07,-32.0,7,25,107
2144.0,1082.85,201.0,7,38,151
1893.0,1070.94,-296.0,7,25,107
2223.0,1108.12,318.0,7,38,151
1909.0,1127.87,64.0,7,26,108
2080.0,1106.79,-135.0,7,25,107
2212.0,1080.24,199.0,7,38,151
2011.0,1071.11,-49.0,7,38,151
2444.0,1065.85,-302.0,7,25,107
2059.0,1090.89,100.0,7,25,107
1899.0,1140.63,357.0,7,25,107
2425.0,1069.75,193.0,7,28,120
2198.0,1117.02,92.0,7,28,121
2035.0,1122.32,417.0,7,28,119
1866.0,1078.09,231.0,6,28,119
2383.0,1071.44,118.0,6,28,121
2171.0,1089.27,4.0,6,28,121
2492.0,1083.67,317.0,6,28,118
2184.0,1072.02,347.0,6,28,118
2091.0,1026.87,-72.0,6,28,121
2188.0,1032.16,130.0,6,28,121
2053.0,1002.44,68.0,6,28,121
2067.0,1101.01,162.0,7,28,118
2028.0,1036.84,-9.0,7,28,118
2157.0,1056.76,321.0,7,28,118
2425.0,1058.73,195.0,7,28,121
2250.0,1118.42,119.0,7,39,158
2103.0,1103.83,65.0,7,39,158
2425.0,1126.93,225.0,8,28,121
2307.0,1099.73,363.0,8,23,105
2237.0,1070.25,-122.0,8,28,118
2590.0,1086.85,65.0,8,39,158
2174.0,1100.9,350.0,7,39,158
2168.0,1090.61,318.0,7,37,149
2450.0,1097.06,330.0,7,39,158
2123.0,1022.93,-178.0,7,37,149
