best,average,min,species,neurons,links
1426.0,-60.39,-1083.0,1,22,57
2127.0,481.16,-633.0,1,22,57
2642.0,938.46,-358.0,1,22,57
3137.0,1216.88,-738.0,1,22,57
3072.0,1521.93,-433.0,1,22,57
3067.0,1717.09,-49.0,1,22,57
4362.0,1875.95,-323.0,1,22,57
3417.0,1791.16,-693.0,1,22,57
3732.0,2035.25,-258.0,2,22,57
3402.0,1694.31,-133.0,3,22,57
3757.0,1504.01,-273.0,4,25,60
3277.0,1687.45,2.0,5,23,58
3207.0,1845.0,-168.0,10,24,60
3307.0,1596.82,-513.0,9,27,62
3751.0,1878.29,-568.0,10,25,59
3672.0,1830.29,-110.0,10,24,60
3397.0,1860.72,-258.0,11,27,64
3886.0,1898.09,-390.0,11,27,63
3317.0,2054.4,-458.0,11,27,61
3402.0,1771.62,-153.0,11,28,66
3572.0,1946.41,-683.0,11,28,66
3632.0,1849.46,-718.0,11,27,63
3867.0,1951.26,110.0,11,28,64
4011.0,1954.59,-544.0,11,28,64
3367.0,1979.41,157.0,11,28,64
3987.0,2022.17,-58.0,11,28,64
3781.0,2074.33,-178.0,12,28,64
3700.0,1942.6,-173.0,11,24,61
4382.0,2140.45,-363.0,10,28,64
3906.0,2152.13,262.0,10,29,64
3817.0,2040.93,-678.0,10,28,62
4246.0,1977.79,-378.0,10,28,64
3862.0,1938.16,-16.0,11,22,57
3683.0,2078.33,-238.0,11,28,64
3597.0,2141.06,247.0,11,29,65
4047.0,2066.62,-453.0,12,28,64
3647.0,2067.74,-263.0,12,22,57
4017.0,2082.9,-219.0,12,25,67
3547.0,2113.0,-72.0,12,25,64
3277.0,2103.85,-202.0,12,29,65
3491.0,2069.73,-454.0,12,29,65
3547.0,2086.08,-11.0,10,28,64
3967.0,2102.12,-155.0,11,28,64
3951.0,1945.96,-133.0,10,28,65
3762.0,1940.63,-474.0,10,28,65
3227.0,1891.11,12.0,9,28,65
3591.0,2007.75,-143.0,9,29,65
3682.0,1943.02,-403.0,9,28,65
3816.0,2091.24,-458.0,9,28,66
3942.0,2300.63,242.0,9,29,65
3942.0,2057.95,-5.0,9,32,82
3692.0,2066.53,252.0,9,32,82
3907.0,2118.17,-643.0,9,28,66
3847.0,2156.55,-445.0,9,28,66
3802.0,2326.94,452.0,9,32,83
3981.0,1945.89,-536.0,9,29,66
3972.0,2124.65,-515.0,9,29,66
3582.0,2209.1,-150.0,9,32,83
3787.0,2079.5,138.0,8,32,83
3847.0,2224.91,414.0,8,32,83
3862.0,2179.08,-448.0,8,29,66
4047.0,2138.47,-393.0,8,32,83
4377.0,2232.48,422.0,8,32,83
3762.0,2165.72,269.0,8,30,67
3712.0,2228.41,-566.0,8,32,82
4067.0,2209.26,732.0,8,32,82
4217.0,2330.91,157.0,8,32,82
3726.0,2383.97,-533.0,8,30,68
3432.0,2185.75,207.0,8,28,71
3917.0,2239.46,192.0,8,32,83
4522.0,2191.31,-39.0,8,32,84
4842.0,2234.6,-158.0,8,32,85
3757.0,2263.58,627.0,8,32,85
3571.0,2065.65,-28.0,8,30,69
3992.0,2248.7,-333.0,7,30,82
4182.0,2319.62,352.0,7,32,85
4017.0,2275.12,197.0,7,32,86
4057.0,2256.15,-499.0,6,30,69
3881.0,2236.12,620.0,6,30,69
3817.0,2299.82,-103.0,5,28,65
3827.0,2120.35,1.0,5,32,86
4102.0,2258.0,-194.0,5,32,86
3932.0,2215.34,254.0,4,32,86
4220.0,2257.53,-471.0,4,30,71
3901.0,2252.51,417.0,4,30,71
4046.0,2197.83,107.0,5,30,71
3942.0,2131.69,-463.0,5,32,87
3960.0,2279.37,-174.0,5,30,71
3727.0,2279.02,-393.0,5,32,86
3637.0,2143.05,-313.0,5,30,71
4097.0,2184.17,-333.0,5,32,86
3742.0,2153.31,-149.0,5,31,71
4242.0,2163.02,-223.0,6,32,86
