train_mean,train_st_dev,train_max,train_min,train_loss,train_epsilon,test_mean,test_st_dev,test_max,test_min
375.0,198.43134833,900.0,100.0,126.168815085,1.0,0.0,0.0,0.0,0.0
456.25,153.983562434,800.0,200.0,33.3306,1.0,240.0,142.828568571,500.0,0.0
268.75,156.998208589,600.0,100.0,1.15987,0.91,280.0,203.960780544,800.0,0.0
281.25,206.817401347,600.0,0.0,0.165676,0.82,230.0,148.660687473,500.0,0.0
356.25,145.639752472,700.0,100.0,0.135133,0.730000000001,220.0,124.899959968,400.0,0.0
375.0,156.12494996,700.0,100.0,0.0978775,0.640000000001,210.0,94.3398113206,400.0,0.0
293.75,108.79309491,600.0,200.0,0.075352,0.550000000001,200.0,126.491106407,400.0,0.0
381.25,215.692924084,800.0,100.0,0.0624219,0.460000000001,470.0,219.317121995,900.0,100.0
350.0,154.110350074,700.0,100.0,0.0622,0.370000000001,250.0,191.049731745,600.0,0.0
368.75,140.172884325,700.0,100.0,0.046457,0.280000000001,300.0,219.089023002,800.0,100.0
381.25,194.353897568,700.0,100.0,0.0406381,0.190000000001,250.0,174.642491966,600.0,0.0
331.25,208.322916406,800.0,0.0,0.0331212,0.100000000001,150.0,120.415945788,300.0,0.0
412.5,189.98355192,700.0,0.0,0.0284971,0.1,240.0,162.480768093,500.0,0.0
400.0,150.0,700.0,200.0,0.0245465,0.1,130.0,90.0,300.0,0.0
400.0,176.776695297,800.0,100.0,0.0216373,0.1,90.0,94.3398113206,300.0,0.0
412.5,149.478259289,700.0,200.0,0.0203556,0.1,350.0,92.1954445729,500.0,200.0
350.0,200.0,800.0,100.0,0.0192888,0.1,430.0,155.241746963,700.0,200.0
325.0,143.614066163,600.0,100.0,0.0177483,0.1,160.0,66.3324958071,300.0,100.0
462.5,234.18742494,900.0,100.0,0.0184299,0.1,240.0,149.666295471,600.0,0.0
500.0,196.85019685,800.0,200.0,0.0181742,0.1,0.0,0.0,0.0,0.0
362.5,211.763429326,900.0,100.0,0.0188017,0.1,40.0,66.3324958071,200.0,0.0
450.0,127.47548784,700.0,300.0,0.0205054,0.1,390.0,130.0,600.0,200.0
356.25,193.54828209,700.0,0.0,0.021161,0.1,330.0,141.774468788,500.0,100.0
387.5,161.535599792,800.0,200.0,0.0207569,0.1,200.0,204.939015319,500.0,0.0
400.0,162.01851746,800.0,200.0,0.0190407,0.1,20.0,60.0,200.0,0.0
425.0,192.028643697,800.0,200.0,0.0191705,0.1,120.0,107.703296143,300.0,0.0
437.5,217.586189819,900.0,200.0,0.019037,0.1,370.0,141.774468788,700.0,200.0
481.25,215.692924084,1100.0,200.0,0.0188831,0.1,130.0,78.1024967591,300.0,0.0
343.75,176.666175314,800.0,100.0,0.0201027,0.1,180.0,124.899959968,400.0,0.0
431.25,121.030729569,600.0,200.0,0.0197336,0.1,340.0,120.0,500.0,200.0
368.75,222.819293375,800.0,0.0,0.0199819,0.1,170.0,173.493515729,500.0,0.0
412.5,169.096865731,700.0,200.0,0.0196531,0.1,320.0,132.664991614,600.0,100.0
443.75,237.08845923,900.0,100.0,0.0193091,0.1,410.0,197.230829233,800.0,200.0
393.75,151.940572264,700.0,100.0,0.0190802,0.1,330.0,134.536240471,600.0,100.0
387.5,99.2156741649,600.0,200.0,0.017619,0.1,230.0,155.241746963,500.0,0.0
462.5,226.0392665,900.0,100.0,0.0175847,0.1,200.0,134.16407865,400.0,0.0
506.25,191.92690666,800.0,300.0,0.0173084,0.1,690.0,211.896201004,1100.0,400.0
412.5,169.096865731,800.0,100.0,0.0163514,0.1,370.0,223.830292856,900.0,100.0
543.75,196.750952984,900.0,300.0,0.0169035,0.1,440.0,228.910462845,800.0,200.0
531.25,239.057393736,900.0,100.0,0.0169646,0.1,480.0,302.654919008,1000.0,0.0
456.25,161.897923087,700.0,200.0,0.0172091,0.1,520.0,188.679622641,800.0,300.0
462.5,223.257138744,800.0,100.0,0.0162211,0.1,160.0,185.47236991,500.0,0.0
468.75,249.29588344,1000.0,0.0,0.0173984,0.1,400.0,223.60679775,900.0,100.0
575.0,182.002747232,900.0,300.0,0.015599,0.1,250.0,229.128784748,700.0,0.0
593.75,303.04444806,1200.0,100.0,0.0165371,0.1,410.0,270.0,1100.0,100.0
450.0,229.128784748,1000.0,200.0,0.016556,0.1,110.0,181.383571472,500.0,0.0
425.0,225.0,1000.0,100.0,0.0169689,0.1,370.0,134.536240471,600.0,200.0
550.0,111.803398875,800.0,300.0,0.016465,0.1,280.0,177.763888346,700.0,0.0
506.25,207.571523818,800.0,200.0,0.0161662,0.1,520.0,213.541565041,900.0,200.0
518.75,229.724699369,1100.0,200.0,0.0160906,0.1,600.0,167.332005307,800.0,300.0
531.25,307.649861856,1200.0,100.0,0.0158388,0.1,690.0,211.896201004,1000.0,300.0
556.25,271.497582862,1100.0,100.0,0.0171406,0.1,350.0,143.178210633,600.0,200.0
431.25,168.518359534,700.0,100.0,0.0168199,0.1,290.0,144.568322948,600.0,100.0
506.25,246.142108344,1000.0,100.0,0.0168341,0.1,600.0,260.768096208,1100.0,300.0
525.0,296.858552176,1300.0,200.0,0.0159411,0.1,440.0,190.787840283,800.0,200.0
