train_mean,train_st_dev,train_max,train_min,train_loss,train_epsilon,test_mean,test_st_dev,test_max,test_min
428.043478261,70.9019397913,691.0,371.0,5.59034945694,1.0,406.2,58.0427428711,563.0,371.0
417.29787234,78.8847570136,691.0,371.0,57.5017,1.0,380.6,20.4899975598,435.0,371.0
409.0,41.1339276024,531.0,371.0,317.668,0.91,380.6,22.8525709713,435.0,371.0
409.666666667,55.0232274186,627.0,371.0,845.693,0.82,406.2,46.2618633434,531.0,371.0
407.666666667,46.1832100323,531.0,371.0,861.297,0.730000000001,391.8,27.2939553748,435.0,371.0
399.081632653,30.0691968868,435.0,371.0,81.7917,0.640000000001,387.0,29.5025422633,467.0,371.0
424.565217391,90.2767850591,755.0,371.0,0.341139,0.550000000001,420.6,61.9470741843,595.0,371.0
461.046511628,106.077188545,851.0,371.0,0.0723084,0.460000000001,468.6,124.131543131,851.0,371.0
499.0,181.30195807,1107.0,371.0,0.0449666,0.370000000001,993.65,677.756318672,2100.0,371.0
484.951219512,112.871597935,787.0,371.0,0.0356134,0.280000000001,497.4,161.42564852,915.0,371.0
547.888888889,186.359535692,1267.0,371.0,0.0281741,0.190000000001,643.05,390.599599974,2100.0,371.0
573.352941176,217.55024874,1171.0,371.0,0.024445,0.100000000001,854.3,580.809443794,2100.0,371.0
681.068965517,427.355132222,1907.0,371.0,0.0236671,0.1,729.4,368.431051894,1971.0,371.0
700.142857143,343.78541005,1491.0,371.0,0.0321387,0.1,515.0,167.044904143,1075.0,371.0
971.15,587.80619893,2100.0,371.0,0.0330953,0.1,1345.8,710.757736504,2100.0,371.0
1299.33333333,623.784756324,2100.0,531.0,0.0314722,0.1,1629.2,652.016380162,2100.0,531.0
998.777777778,655.235458574,2100.0,371.0,0.0312461,0.1,934.35,536.018029081,2100.0,435.0
835.782608696,500.687002508,2100.0,371.0,0.0349364,0.1,676.6,341.887466866,1587.0,371.0
947.142857143,603.643641778,2100.0,371.0,0.0359668,0.1,750.2,371.981935045,1683.0,371.0
1094.0,578.296585825,2100.0,371.0,0.0305848,0.1,1166.45,682.570690478,2100.0,371.0
974.105263158,576.052436825,2100.0,371.0,0.0327241,0.1,900.7,540.015194231,2100.0,371.0
891.818181818,532.021328722,2100.0,371.0,0.0352934,0.1,1534.65,635.443095407,2100.0,435.0
975.736842105,518.91017802,2100.0,435.0,0.0329672,0.1,1475.4,657.004292223,2100.0,435.0
933.333333333,413.791681351,2100.0,371.0,0.0304103,0.1,883.15,592.264913278,2100.0,371.0
1017.89473684,600.260811274,2100.0,371.0,0.0298181,0.1,1248.15,733.855726625,2100.0,371.0
1044.78947368,590.282232134,2100.0,435.0,0.0297679,0.1,798.3,546.611754356,2100.0,435.0
900.590909091,569.354791057,2100.0,371.0,0.0321348,0.1,699.0,396.835482285,1875.0,371.0
896.181818182,548.431949567,2100.0,371.0,0.0313348,0.1,1001.55,523.01323836,2100.0,371.0
896.181818182,563.584117813,2100.0,371.0,0.0305447,0.1,828.65,483.966659492,2100.0,371.0
1239.1875,573.929135298,2100.0,371.0,0.0294349,0.1,1176.0,613.439483568,2100.0,371.0
1043.16666667,587.06362044,2100.0,371.0,0.0297075,0.1,1337.8,715.509720409,2100.0,371.0
1194.73333333,727.745144646,2100.0,371.0,0.0362676,0.1,1621.15,589.757176726,2100.0,531.0
995.15,585.585627812,2100.0,371.0,0.0472854,0.1,1457.8,663.989578231,2100.0,435.0
1322.66666667,674.863014907,2100.0,371.0,0.045387,0.1,1357.1,768.056827325,2100.0,371.0
1576.91666667,700.830157543,2100.0,435.0,0.0326313,0.1,1824.45,465.805697153,2100.0,691.0
1756.45454545,594.886140922,2100.0,371.0,0.0367026,0.1,1851.65,426.576402887,2100.0,531.0
1526.16666667,615.645844261,2100.0,595.0,0.0370012,0.1,1653.2,572.765012898,2100.0,659.0
1372.5,667.739336439,2100.0,371.0,0.0410445,0.1,1577.95,625.32827179,2100.0,435.0
1284.46666667,698.806875244,2100.0,435.0,0.0366557,0.1,1225.7,688.276841104,2100.0,371.0
1324.57142857,735.872826191,2100.0,371.0,0.0330139,0.1,1273.7,650.430173039,2100.0,371.0
964.0,556.071180601,2100.0,371.0,0.0342297,0.1,1041.6,664.152873968,2100.0,371.0
1163.76470588,674.558638223,2100.0,371.0,0.039849,0.1,1430.65,715.526049491,2100.0,371.0
1097.82352941,636.00427628,2100.0,371.0,0.0389509,0.1,1395.45,655.819676054,2100.0,531.0
1456.92307692,558.729115808,2100.0,723.0,0.0382779,0.1,1288.1,664.724822765,2100.0,371.0
1520.75,608.040037744,2100.0,371.0,0.0417871,0.1,1120.05,701.390296126,2100.0,435.0
1631.27272727,700.61675309,2100.0,467.0,0.0575702,0.1,1673.9,577.797966421,2100.0,435.0
1425.0,711.945654797,2100.0,371.0,0.05919,0.1,1472.2,576.826282342,2100.0,435.0
1510.08333333,632.39985483,2100.0,563.0,0.0579897,0.1,1225.7,678.16001799,2100.0,371.0
1416.0,682.541887778,2100.0,435.0,0.0596168,0.1,1952.7,442.015848132,2100.0,595.0
1595.58333333,638.474413261,2100.0,435.0,0.0607497,0.1,1641.9,575.339282511,2100.0,531.0
1659.66666667,637.9385202,2100.0,531.0,0.0360212,0.1,1102.4,616.377676429,2100.0,371.0
1600.91666667,633.010987047,2100.0,563.0,0.0360869,0.1,1808.55,572.269471054,2100.0,403.0
1245.375,747.794580333,2100.0,371.0,0.0374386,0.1,1348.95,693.935838172,2100.0,435.0
1501.30769231,693.503966448,2100.0,435.0,0.0373511,0.1,1126.4,595.079692142,2100.0,371.0
1286.6,727.328793142,2100.0,371.0,0.0392328,0.1,1456.2,624.691091661,2100.0,435.0
1923.5,385.360415715,2100.0,787.0,0.03986,0.1,1408.1,549.473830132,2100.0,499.0
1638.33333333,666.781490112,2100.0,371.0,0.0372791,0.1,1696.4,563.520576377,2100.0,371.0
1062.72222222,588.813194821,2100.0,371.0,0.0367923,0.1,1453.1,721.095340437,2100.0,467.0
1303.53333333,600.370537437,2100.0,435.0,0.0365921,0.1,1491.5,692.409308141,2100.0,371.0
1666.18181818,583.120105854,2100.0,787.0,0.0393349,0.1,1813.3,509.432831686,2100.0,659.0
2100.0,0.0,2100.0,2100.0,0.0545522,0.1,2047.1,159.424245333,2100.0,1523.0
1638.33333333,673.023195902,2100.0,403.0,0.0603158,0.1,1680.45,625.86176389,2100.0,435.0
1695.27272727,605.012861007,2100.0,531.0,0.0436428,0.1,956.7,550.951549594,2100.0,371.0
1156.29411765,727.947377276,2100.0,371.0,0.0416063,0.1,1526.55,564.037363567,2100.0,595.0
