best,average,worse
12.0844382352,4.15872767366,1.81158017569
12.0844382352,4.49331618462,1.81158017569
12.0844382352,4.78658029357,0.96926918537
12.0844382352,4.76051530302,1.51613285582
12.0844382352,5.20045636383,2.61036073562
12.0844382352,5.63501426071,2.4106699632
12.0844382352,6.19791867245,1.67977924882
12.0844382352,6.24302416695,2.56290937161
12.1136981951,6.38336336061,2.26342009291
12.1136981951,7.27094568184,1.76339781308
12.1175658738,8.31842523774,2.95967055459
12.1335823286,9.12767286501,2.9276474051
12.5068938019,9.33249434572,2.56093461868
12.6060724469,9.89357462845,2.56093461868
12.6060724469,10.50850338,3.78419143967
12.6667498567,10.4051852968,3.49385396939
12.6667498567,10.2657078232,3.49385396939
12.6667498567,10.679815167,3.53511146425
12.6667498567,11.3925618366,3.53511146425
12.666753143,11.3614210662,3.43824304728
12.666753143,11.664132997,3.43824304728
12.6679476147,11.9027522947,5.46714964339
12.6679476147,11.8836925662,5.30090221401
12.6679476147,12.0057941976,8.90970587851
12.6679476147,12.0141234084,9.80123947628
12.7235635935,12.0259385347,10.3759196552
12.7235635935,12.0540046137,7.74233948093
12.7235635935,12.0764567455,7.53720093972
12.7397581842,12.0736853229,10.36967948
13.0680409747,12.1203859168,7.68462943824
13.0723444234,12.1714755215,10.3643249616
13.0723444234,12.0421134606,7.8153456204
13.0723444234,12.1079622094,7.79884662284
13.0723444234,12.1593036159,10.3219452253
13.0723444234,12.233519206,10.8546423494
13.1340000869,12.1820412545,7.62176238675
13.1340000869,12.167519939,10.036570884
13.1375888211,12.1749229414,7.72973383542
13.1375888211,12.0635883126,7.73025221631
13.1375888211,12.1789499457,9.0224240265
13.1375888211,12.2237434973,7.83308743915
13.1409096643,12.1525414595,5.22593885565
13.140909681,12.2217648392,9.70362916058
13.140909681,12.1905264193,9.70362916058
13.140909681,12.1704093533,7.8277629776
13.1409548971,12.2997478146,7.75893542153
13.1409548971,12.3061634279,7.75893542153
13.1409548971,12.3109522136,7.75893542153
13.1409548971,12.4053461059,7.80048780398
13.1409548971,12.5689403192,11.1035690034
13.1409548971,12.6060555626,11.1042924897
13.1509190385,12.5151993816,8.14510647987
13.1509190385,12.4715830911,8.14510647987
13.1509190385,12.5469344178,9.7265917929
13.1509190385,12.5962410251,9.71761947226
13.1509190385,12.5578010966,7.34256352862
13.1509190385,12.504045434,9.70726359425
13.1509190385,12.3918247686,9.70787956319
13.5021961191,12.5144023705,9.70954270936
13.5021961191,12.523888168,9.71112781888
13.5007177061,12.5482517521,9.70480138056
13.5007177061,12.5398163211,9.72714559186
13.5007177061,12.5703626549,9.72714559186
13.5007177061,12.6675393645,10.4264381966
13.5007177061,12.6297035061,11.1300979173
13.5016700359,12.6466622269,10.3323882848
13.5016700359,12.6775869067,11.2787214646
13.5016700359,12.7281606591,7.71103501113
13.5057874584,12.7378395849,11.6832006848
13.5057874584,12.6828747692,11.3207524041
13.5057874584,12.6323309109,7.57099347302
13.5057874584,12.4751748661,7.56578915438
13.5057874584,12.6803046396,7.76223118681
13.508095747,12.8504110257,8.61317321516
13.508095747,12.9306764319,11.4132952162
13.508095747,12.972486125,11.8176323786
13.5116958635,12.987253301,10.9996022177
13.5117389468,12.9611598199,11.5300573244
13.5121414261,12.8273212567,7.78656719681
13.5142483576,12.7855212849,7.78913649747
13.5142483576,12.7685260529,10.9801344389
13.5143624981,12.7313755,7.58289948633
13.5143624981,12.7881209817,11.002689573
13.5143624981,12.8016491211,11.7029054608
13.5143771986,12.7676997367,11.3145146529
13.5144577698,12.7492955226,7.74874018564
13.5165792602,12.754201902,7.83868913922
13.5165792602,12.6391095118,7.83328495085
13.5181017295,12.7500889286,9.85121668398
13.5181017295,12.5601737494,7.84140246055
13.5181017295,12.6435812872,7.83084478577
13.5181017295,12.6613027089,9.97132579812
13.5181017295,12.5951544341,7.81359061905
13.5181017295,12.7280871969,10.3683932003
13.5181017295,12.7028773108,9.73776366603
13.5181017295,12.5638410666,6.89188118707
13.520722286,12.7063640053,10.5810083721
13.520722286,12.621119868,5.05907029277
13.520722286,12.7307148213,5.30836711851
13.520722286,12.8923782994,10.5340474921
13.5213733353,12.8106396414,3.31496605461
13.5215160256,12.9148265817,7.80265942102
